cid,name,category,material,shape,volume_cm3,mass_kg
C001,TES_Ta_Absorber_Stack_side_entry,detector,Ta,x_disc_stack,15.227999999999998,0.25415531999999996
C002,Si_Substrate_Stack_side_entry,substrate,Silicon,x_disc_stack,2.7369555198074282,0.0063743694056315
C003,Cu_SubstrateSupport_OpenRing_L1,thermal_link,Copper,x_annulus,1.3359622759390597,0.011970221992413975
C004,Cu_SubstrateSupport_OpenRing_L2,thermal_link,Copper,x_annulus,1.3359622759390597,0.011970221992413975
C005,Cu_SubstrateSupport_OpenRing_L3,thermal_link,Copper,x_annulus,1.3359622759390597,0.011970221992413975
C006,Cu_SubstrateSupport_OpenRing_L4,thermal_link,Copper,x_annulus,1.3359622759390597,0.011970221992413975
C007,Cu_SubstrateSupport_OpenRing_L5,thermal_link,Copper,x_annulus,1.3359622759390597,0.011970221992413975
C008,Cu_SubstrateSupport_SolidDisk_L0_deepest,thermal_link,Copper,x_disc,5.32185795518111,0.047683847278422745
C009,Cu_SubstrateSupport_EdgeRod_1,thermal_link,Copper,x_cylinder_offaxis,0.2057743188101315,0.0018437378965387786
C010,Cu_SubstrateSupport_EdgeRod_2,thermal_link,Copper,x_cylinder_offaxis,0.2057743188101315,0.0018437378965387786
C011,Cu_SubstrateSupport_EdgeRod_3,thermal_link,Copper,x_cylinder_offaxis,0.2057743188101315,0.0018437378965387786
C012,Cu_SubstrateSupport_EdgeRod_4,thermal_link,Copper,x_cylinder_offaxis,0.2057743188101315,0.0018437378965387786
C013,Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem,thermal_link,Copper,x_cylinder_offaxis,0.21151715018089362,0.001895193665620807
C014,Cu_ColdFinger_OffAxis_YM_ZP_from_Disk_to_Stem,thermal_link,Copper,x_cylinder_offaxis,0.21151715018089362,0.001895193665620807
C015,Cu_ColdFinger_OffAxis_YP_ZM_from_Disk_to_Stem,thermal_link,Copper,x_cylinder_offaxis,0.27585696772641255,0.0024716784308286568
C016,Cu_ColdFinger_OffAxis_YM_ZM_from_Disk_to_Stem,thermal_link,Copper,x_cylinder_offaxis,0.27585696772641255,0.0024716784308286568
C017,Cu_ColdFinger_Stem_YP_ZP_to_MXC,thermal_link,Copper,z_cylinder_offaxis,0.3056141333412151,0.0027383026347372877
C018,Cu_ColdFinger_Stem_YM_ZP_to_MXC,thermal_link,Copper,z_cylinder_offaxis,0.3056141333412151,0.0027383026347372877
C019,Cu_ColdFinger_Stem_YP_ZM_to_MXC,thermal_link,Copper,z_cylinder_offaxis,0.4825486315913924,0.004323635739058876
C020,Cu_ColdFinger_Stem_YM_ZM_to_MXC,thermal_link,Copper,z_cylinder_offaxis,0.4825486315913924,0.004323635739058876
C021,Cu_MXC_Clamp_Pad_YP_ZP_for_OffAxisStem,thermal_link,Copper,z_cylinder_offaxis,0.07696902001294993,0.0006896424193160314
C022,Cu_MXC_Clamp_Pad_YM_ZP_for_OffAxisStem,thermal_link,Copper,z_cylinder_offaxis,0.07696902001294993,0.0006896424193160314
C023,Cu_MXC_Clamp_Pad_YP_ZM_for_OffAxisStem,thermal_link,Copper,z_cylinder_offaxis,0.07696902001294993,0.0006896424193160314
C024,Cu_MXC_Clamp_Pad_YM_ZM_for_OffAxisStem,thermal_link,Copper,z_cylinder_offaxis,0.07696902001294993,0.0006896424193160314
C025,Nb_SideEntry_Sample_Can_with_side_aperture,magnetic_sample_can,Nb,x_can,19.729594563625596,0.16908262541027136
C026,Cryoperm_Horizontal_Sleeve_1p2mm,magnetic_shield,Cryoperm,x_can,53.910974006291724,0.469025473854738
C027,Al_50mK_Local_Can_side_entry,cryostat_shell,Aluminium,x_can,40.624135665499516,0.10968516629684871
C028,ColdPlate_MXC_50mK_SD_anchor,cold_plate,Copper,z_cylinder,103.22016822634625,0.9248527073080625
C029,ColdPlate_CP_100mK_intercept,cold_plate,Copper,z_cylinder,95.56724852220151,0.8562825467589256
C030,ColdPlate_Still_0p7K,cold_plate,Copper,z_cylinder,145.97096105639616,1.3078998110653097
C031,ColdPlate_4K,cold_plate,Copper,z_cylinder,203.8767968473632,1.8267360997523745
C032,ColdPlate_60K,cold_plate,Aluminium,z_cylinder,311.4166549723954,0.8408249684254676
C033,Plate_300K_Top_Service_Lid,vacuum_jacket,Aluminium,z_cylinder,598.2849049496402,1.6153692433640288
C034,Still_Shield_Al_side_window,cryostat_shell,Aluminium,z_can_open_top,136.58702380012303,0.36878496426033225
C035,Shield_4K_Al_side_window,cryostat_shell,Aluminium,z_can_open_top,271.4005808481822,0.732781568290092
C036,Shield_60K_Al_side_window,cryostat_shell,Aluminium,z_can_open_top,506.81743484037275,1.3684070740690064
