particle,bin_id,theta_mid_deg,flux_cm2_s
gamma,0,18.194872,4.323745326736e-02
gamma,1,31.788331,5.695983240931e-02
gamma,2,41.409622,7.120765493338e-02
gamma,3,49.458398,8.612491504375e-02
gamma,4,56.632987,1.019197897684e-01
gamma,5,63.256316,1.189113247918e-01
gamma,6,69.512685,1.376301465793e-01
gamma,7,75.522488,1.590750875935e-01
gamma,8,81.373073,1.855743690582e-01
gamma,9,87.134016,2.261108736236e-01
gamma,10,92.865984,4.652308488518e-01
gamma,11,98.626927,4.170179593624e-01
gamma,12,104.477512,3.895986108144e-01
gamma,13,110.487315,3.697937703255e-01
gamma,14,116.743684,3.542574628794e-01
gamma,15,123.367013,3.415685430590e-01
gamma,16,130.541602,3.309762940732e-01
gamma,17,138.590378,3.220307329032e-01
gamma,18,148.211669,3.144386490560e-01
gamma,19,161.805128,3.079972593917e-01
n,0,18.194872,6.116695448128e-03
n,1,31.788331,7.200248385120e-03
n,2,41.409622,8.347838357042e-03
n,3,49.458398,9.573742764815e-03
n,4,56.632987,1.089831345741e-02
n,5,63.256316,1.235227836269e-02
n,6,69.512685,1.398591868257e-02
n,7,75.522488,1.589214197902e-02
n,8,81.373073,1.828254046184e-02
n,9,87.134016,2.194312236699e-02
n,10,92.865984,3.457131091761e-02
n,11,98.626927,3.403303904615e-02
n,12,104.477512,3.379997556758e-02
n,13,110.487315,3.367241032263e-02
n,14,116.743684,3.360224715374e-02
n,15,123.367013,3.356956753888e-02
n,16,130.541602,3.356379604403e-02
n,17,138.590378,3.357821558128e-02
n,18,148.211669,3.360777815944e-02
n,19,161.805128,3.364800163266e-02
eminus,0,18.194872,3.082979360568e-03
eminus,1,31.788331,3.849602225368e-03
eminus,2,41.409622,4.665889685647e-03
eminus,3,49.458398,5.543839545185e-03
eminus,4,56.632987,6.500793746710e-03
eminus,5,63.256316,7.563355220854e-03
eminus,6,69.512685,8.775876267653e-03
eminus,7,75.522488,1.022221339029e-02
eminus,8,81.373073,1.209929431926e-02
eminus,9,87.134016,1.517745942405e-02
eminus,10,92.865984,2.066710752001e-02
eminus,11,98.626927,1.750850758120e-02
eminus,12,104.477512,1.537121971023e-02
eminus,13,110.487315,1.363397540425e-02
eminus,14,116.743684,1.212613739141e-02
eminus,15,123.367013,1.077172194223e-02
eminus,16,130.541602,9.529138828057e-03
eminus,17,138.590378,8.372725337717e-03
eminus,18,148.211669,7.285340265368e-03
eminus,19,161.805128,6.254867406085e-03
eplus,0,18.194872,1.045762145133e-03
eplus,1,31.788331,1.622214660656e-03
eplus,2,41.409622,2.246511348448e-03
eplus,3,49.458398,2.930304069038e-03
eplus,4,56.632987,3.690478084777e-03
eplus,5,63.256316,4.553013553733e-03
eplus,6,69.512685,5.561379836456e-03
eplus,7,75.522488,6.798129507522e-03
eplus,8,81.373073,8.458274801601e-03
eplus,9,87.134016,1.131200914123e-02
eplus,10,92.865984,1.383987094306e-02
eplus,11,98.626927,1.117720777379e-02
eplus,12,104.477512,9.420504124204e-03
eplus,13,110.487315,8.013570283820e-03
eplus,14,116.743684,6.805406690707e-03
eplus,15,123.367013,5.729266489743e-03
eplus,16,130.541602,4.748821783872e-03
eplus,17,138.590378,3.841761777568e-03
eplus,18,148.211669,2.993244091673e-03
eplus,19,161.805128,2.192814615731e-03
p,0,18.194872,4.289902799552e-03
p,1,31.788331,5.106991084624e-03
p,2,41.409622,5.968548929939e-03
p,3,49.458398,6.883777083477e-03
p,4,56.632987,7.865607531759e-03
p,5,63.256316,8.933250060889e-03
p,6,69.512685,1.011753536865e-02
p,7,75.522488,1.147407775541e-02
p,8,81.373073,1.312551320065e-02
p,9,87.134016,1.550358095221e-02
p,10,92.865984,4.817367829333e-03
p,11,98.626927,3.804712064989e-03
p,12,104.477512,3.173584800644e-03
p,13,110.487315,2.679258447168e-03
p,14,116.743684,2.259588399632e-03
p,15,123.367013,1.888090562594e-03
p,16,130.541602,1.550717854223e-03
p,17,138.590378,1.239013785822e-03
p,18,148.211669,9.474431607313e-04
p,19,161.805128,6.721599590378e-04
alpha,0,18.194872,1.176042179996e-03
alpha,1,31.788331,1.197064529584e-03
alpha,2,41.409622,1.199557420369e-03
alpha,3,49.458398,1.188194835414e-03
alpha,4,56.632987,1.166672656944e-03
alpha,5,63.256316,1.137770761265e-03
alpha,6,69.512685,1.103388913908e-03
alpha,7,75.522488,1.064512995404e-03
