transport_stage,band,filter_stage,baseline_events,candidate_events,baseline_rate_s-1,candidate_rate_s-1,baseline_sigma_s-1,candidate_sigma_s-1,absolute_delta_s-1,delta_sigma_s-1_independent,z_delta_independent,relative_delta,relative_delta_sigma_independent,relative_delta_ci95_lo,relative_delta_ci95_hi
S0,all_50_8000,raw,225,160,0.18571922502025248,0.21633098828333652,0.012381281668016834,0.017102466286263565,0.03061176326308404,0.021113751178214436,1.4498495792954986,0.16482818760279588,0.1136864057876184,-0.05799716774093619,0.387653542946528
S0,all_50_8000,active_veto_pass,156,115,0.12876532934737506,0.15548789782864808,0.010309477231249588,0.014499321234839307,0.026722568481273024,0.017790886348147912,1.5020369394948627,0.20752922092236917,0.13816519119174364,-0.06327455381344835,0.47833299565818665
S0,all_50_8000,side_compton_fov_pass,137,101,0.11308237256788706,0.13655893635385613,0.009661279095615411,0.013588122032760585,0.023476563785969073,0.016672653482291563,1.4080880293532227,0.20760586511284349,0.14743812942448145,-0.08137286855914014,0.4965845987848271
S0,b100_300,raw,60,50,0.049525126672067314,0.06760343383854268,0.0063936663606576506,0.009560569299745927,0.01807830716647537,0.01150145446744235,1.5718279125175336,0.3650330323470273,0.2322347309397048,-0.09014704029479409,0.8202131049888486
S0,b100_300,active_veto_pass,44,39,0.03631842622618269,0.05273067839406328,0.00547520876220233,0.008443666180131149,0.016412252167880587,0.010063469061471184,1.630874211231616,0.4518987707691106,0.27708989918225657,-0.09119743162811228,0.9949949731663335
S0,b100_300,side_compton_fov_pass,41,36,0.033842169892579335,0.04867447236375072,0.005285258982597439,0.00811241206062512,0.014832302471171385,0.009682210075933223,1.5319128953873444,0.4382787072534526,0.2860989737557067,-0.1224752813077325,0.9990326958146376
S0,b300_480,raw,28,15,0.023111725780298086,0.020281030151562796,0.004367705627442068,0.005236539468062215,-0.0028306956287352907,0.006818958721723018,-0.4151213908536506,-0.12247876491976885,0.29504325148820926,-0.700763537836659,0.45580600799712134
S0,b300_480,active_veto_pass,8,7,0.0066033502229423105,0.009464480737395975,0.002334636860596104,0.003577237474215852,0.0028611305144536645,0.00427166913720951,0.6697921638010366,0.4332846839643781,0.6468942268680922,-0.8346280006970825,1.7011973686258386
S0,b300_480,side_compton_fov_pass,8,6,0.0066033502229423105,0.00811241206062512,0.002334636860596104,0.00331187835528863,0.0015090618376828102,0.004052044855512258,0.37241982541973495,0.22852972911232394,0.6136347034016248,-0.9741942895548606,1.4312537477795084
S0,b480_550,raw,10,10,0.008254187778677887,0.013520686767708533,0.0026102033615347945,0.004275616571565891,0.005266498989030645,0.005009397035134709,1.051323932220322,0.6380396388164319,0.6068915766703199,-0.5514678514573951,1.827547129090259
