mode,band,stage,baseline_events,candidate_events,baseline_rate_s-1,candidate_rate_s-1,baseline_sigma_s-1,candidate_sigma_s-1,absolute_delta_s-1,delta_sigma_s-1_independent,z_delta_independent,relative_delta,relative_delta_sigma_independent,relative_delta_ci95_lo,relative_delta_ci95_hi
instant,all_50_8000,raw,422,470,3.1014087204560243,3.472168977786594,0.1841882756294169,0.19758969718717193,0.3707602573305695,0.27012406281902457,1.372555460114519,0.1195457583146454,0.08709721522267021,-0.051164783521788215,0.290256300151079
instant,all_50_8000,active_veto_pass,77,111,0.7125241508649224,0.8957812898095308,0.12303378423296074,0.11758573243274378,0.18325713894460838,0.17018729839335117,1.0767968037253233,0.257194284182726,0.2388512700752155,-0.21095420516469637,0.7253427735301483
instant,all_50_8000,side_compton_fov_pass,53,84,0.5496741181838628,0.7126821625095046,0.11845803657659039,0.11218166745696186,0.16300804432564175,0.1631472737835518,0.9991466026082989,0.296553974315226,0.29680726886431275,-0.28518827265882696,0.878296221289279
instant,b100_300,raw,135,150,1.0111766316277064,1.0649631832349455,0.10960553794616788,0.09902703933707133,0.05378655160723911,0.14771502451793697,0.3641237699602306,0.05319204372895572,0.14608231628153615,-0.23312929618285513,0.33951338364076655
instant,b100_300,active_veto_pass,18,41,0.16965032070777564,0.3259035096404222,0.06104744259145927,0.06924775601713788,0.15625318893264656,0.09231490649059107,1.6926105964107998,0.9210309080511214,0.5441481401594543,-0.14549944666140902,1.9875612627636519
instant,b100_300,side_compton_fov_pass,12,36,0.12894017288922893,0.29200063054012326,0.05874156016872717,0.06756752675029001,0.16306045765089433,0.08953179079079872,1.8212576360937955,1.2646210563947184,0.6943669206005678,-0.0963381079823944,2.6255802207718313
instant,b300_480,raw,87,79,0.6380669096131402,0.6306739914798162,0.0831066309023092,0.09716912218879736,-0.007392918133323989,0.1278614500421221,-0.05781975826872368,-0.01158643086162596,0.20038878073091812,-0.40434844109422546,0.3811755793709735
instant,b300_480,active_veto_pass,18,19,0.16969362889041353,0.1764714598565762,0.06105225617478196,0.06148374985366942,0.006777830966162662,0.08664657800571121,0.07822387360428601,0.03994157594767284,0.5106059583513693,-0.9608461024210111,1.0407292543163569
instant,b300_480,side_compton_fov_pass,17,15,0.1629086042539891,0.14934915657633704,0.06067405891082543,0.059969547791043715,-0.013559447677652048,0.08530936693573919,-0.15894441800120196,-0.08323346541298492,0.5236639729767388,-1.109614852447393,0.9431479216214231
instant,b480_550,raw,28,31,0.19002789685424765,0.30531513707410624,0.035911902043138565,0.08506733233800115,0.11528724021985859,0.09233696843334156,1.2485491150067909,0.6066858715396113,0.48591269998722597,-0.3457030204353516,1.559074763514574
instant,b480_550,active_veto_pass,6,10,0.04075735485290974,0.06785651304828831,0.016639122674722683,0.021458203577536136,0.027099158195378573,0.027153543123494127,0.9979971332702987,0.6648900129357613,0.6662243715640832,-0.6409097553298417,1.9706897812013644
