catalog_index,local_id,tes_total_keV,bgo_total_keV,rate_hz,side_compton_class,pix_count,source_x_cm,source_y_cm,source_z_cm,ZA,source_match_status,source_match_count,source_match_distance_cm,VN,source_ZA,source_sim,sample_weight,is_w_or_collimator_origin
1065221,27607,510.99889600000006,0.0,0.0001423071684854045,single,1,-9.37362,-11.63276,-4.36267,29064,KEY_MATCH,1,2.8284271238854676e-06,Cu_50mK_StillLike_Can_bottom_cap_2mm,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz,6.784305758406e-04,False
1069983,34483,510.99886999999995,0.0,0.0001423071684854045,single,1,1.91793,3.83876,-1.7105,29064,KEY_MATCH,1,7.071067811786192e-06,ColdPlate_MXC_50mK_SD_anchor,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz,6.784262066574e-04,False
1092937,68118,510.99890000000005,0.0,0.0001423071684854045,single,1,-0.32496,-0.20059,-5.03114,29064,KEY_MATCH,1,6.480740698752681e-06,Cu_SubstrateSupport_SolidDisk_L0_deepest,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz,6.784329540513e-04,False
1104086,84472,510.99889,13.24033,0.0001423071684854045,keep,2,7.082,-7.14856,-7.05314,29064,KEY_MATCH,1,4.472135954830275e-06,ColdPlate_MXC_50mK_SD_anchor,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep06_part01.inc1.id1.sim.gz,6.784262066574e-04,False
1108399,90811,510.99890501599975,0.0,0.0001423071684854045,keep,2,-4.66425,8.55043,11.64913,29064,KEY_MATCH,1,4.472135954035864e-06,ColdPlate_CP_100mK_intercept,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep07_part01.inc1.id1.sim.gz,6.784322185724e-04,False
1131952,125182,510.999,0.0,0.0001423071684854045,single,1,-0.46993,-1.79048,0.41388,29061,KEY_MATCH,1,2.828427124631262e-06,ColdPlate_MXC_50mK_SD_anchor,29061,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep05_part01.inc1.id1.sim.gz,6.783606450000e-04,False
1144941,143993,510.99895000000004,0.0,0.0001423071684854045,single,1,-5.90792,1.65501,5.65198,29064,KEY_MATCH,1,2.2360679778123426e-06,ColdPlate_MXC_50mK_SD_anchor,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz,6.784262066574e-04,False
1164636,172893,510.99890000000005,0.0,0.0001423071684854045,keep,2,-7.60866,-2.93388,7.22291,29061,KEY_MATCH,1,3.162277660189096e-06,ColdPlate_MXC_50mK_SD_anchor,29061,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep03_part01.inc1.id1.sim.gz,6.783606450000e-04,False
1200771,225698,510.998913,0.0,0.0001423071684854045,single,1,9.53564,-6.93524,5.64923,29064,KEY_MATCH,1,4.123105624255245e-06,ColdPlate_Still_0p7K,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep08_part01.inc1.id1.sim.gz,6.784283106973e-04,False
1285310,349779,510.99894099999995,0.0,0.0001423071684854045,single,1,-0.61756,3.42671,-13.35095,29064,KEY_MATCH,1,3.605551275352125e-06,Cu_50mK_StillLike_Can_bottom_cap_2mm,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep08_part01.inc1.id1.sim.gz,6.784305758406e-04,False
1309759,385550,510.99890000000005,0.0,0.0001423071684854045,single,1,-1.49682,2.94718,-12.35207,29064,KEY_MATCH,1,4.123105625440028e-06,Cu_50mK_StillLike_Can_bottom_cap_2mm,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep06_part01.inc1.id1.sim.gz,6.784305758406e-04,False
1322783,404729,510.9989029999999,0.0,0.0001423071684854045,single,1,-6.51654,3.91095,6.65574,29064,KEY_MATCH,1,4.582575694627301e-06,ColdPlate_MXC_50mK_SD_anchor,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz,6.784262066574e-04,False
1342028,432873,510.998924,0.0,0.0001423071684854045,single,1,3.42069,10.43551,-3.10028,29064,KEY_MATCH,1,2.828427124513505e-06,ColdPlate_MXC_50mK_SD_anchor,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep04_part01.inc1.id1.sim.gz,6.784262066574e-04,False
1347836,441340,510.99891,0.0,0.0001423071684854045,keep,2,1.66938,10.78784,5.55811,29064,KEY_MATCH,1,4.000000000115023e-06,ColdPlate_CP_100mK_intercept,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep04_part01.inc1.id1.sim.gz,6.784322185724e-04,False
1350067,444670,510.99890000000005,0.0,0.0001423071684854045,single,1,-7.60187,-3.34851,-6.36996,29064,KEY_MATCH,1,1.000000000139778e-06,Cu_50mK_StillLike_Can_bottom_cap_2mm,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep06_part01.inc1.id1.sim.gz,6.784305758406e-04,False
1355763,453075,510.9989,0.0,0.0001423071684854045,single,1,-0.32496,-0.20059,-5.03114,29064,KEY_MATCH,1,6.480740698752681e-06,Cu_SubstrateSupport_SolidDisk_L0_deepest,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz,6.784329540513e-04,False
1373545,479289,510.99890200000004,0.0,0.0001423071684854045,single,1,-4.13792,4.97913,4.08837,29064,KEY_MATCH,1,4.47213595522748e-06,ColdPlate_MXC_50mK_SD_anchor,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep03_part01.inc1.id1.sim.gz,6.784262066574e-04,False
1423077,551889,510.998956,0.0,0.0001423071684854045,single,1,5.54636,1.18877,-5.43935,29064,KEY_MATCH,1,6.403124237634314e-06,ColdPlate_MXC_50mK_SD_anchor,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz,6.784262066574e-04,False
1436142,570941,510.9989,0.0,0.0001423071684854045,single,1,-2.21432,-6.77629,2.39898,29064,KEY_MATCH,1,1.4142135622567524e-06,ColdPlate_MXC_50mK_SD_anchor,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep06_part01.inc1.id1.sim.gz,6.784262066574e-04,False
1451457,593421,510.99895197199993,0.0,0.0001423071684854045,keep,2,-9.02911,5.35789,9.39505,29064,KEY_MATCH,1,5.830951894441768e-06,ColdPlate_MXC_50mK_SD_anchor,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep05_part01.inc1.id1.sim.gz,6.784262066574e-04,False
1469553,619928,510.998956,0.0,0.0001423071684854045,single,1,5.7972,2.74167,-0.86055,29064,KEY_MATCH,1,5.744562646374667e-06,DR_Continuous_HEX_CuNi_MXC_to_CP,29064,runs/Mass_model_511_nearfield_migration_20260701/step02_buildup_candidate_Mass_model_511_fullstat_v1/Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz,6.784329540556e-04,False
