stage,stream,energy_lo_keV,energy_hi_keV,energy_center_keV,events,rate_cps,sigma_cps
final_selected,prompt,480.0,481.0,480.5,0,0.0,0.0
final_selected,prompt,481.0,482.0,481.5,0,0.0,0.0
final_selected,prompt,482.0,483.0,482.5,0,0.0,0.0
final_selected,prompt,483.0,484.0,483.5,2,0.0013567720317219818,0.0009593827041548628
final_selected,prompt,484.0,485.0,484.5,0,0.0,0.0
final_selected,prompt,485.0,486.0,485.5,2,0.0013529929829864595,0.0009567105131675405
final_selected,prompt,486.0,487.0,486.5,0,0.0,0.0
final_selected,prompt,487.0,488.0,487.5,0,0.0,0.0
final_selected,prompt,488.0,489.0,488.5,2,0.0013566588206564876,0.0009593026518427465
final_selected,prompt,489.0,490.0,489.5,3,0.0020351014420502255,0.0011749663653958934
final_selected,prompt,490.0,491.0,490.5,1,0.0006784426213937381,0.0006784426213937381
final_selected,prompt,491.0,492.0,491.5,0,0.0,0.0
final_selected,prompt,492.0,493.0,492.5,0,0.0,0.0
final_selected,prompt,493.0,494.0,493.5,0,0.0,0.0
final_selected,prompt,494.0,495.0,494.5,1,0.0006783294103282438,0.0006783294103282438
final_selected,prompt,495.0,496.0,495.5,0,0.0,0.0
final_selected,prompt,496.0,497.0,496.5,2,0.0013567720317219818,0.0009593827041548628
final_selected,prompt,497.0,498.0,497.5,0,0.0,0.0
final_selected,prompt,498.0,499.0,498.5,1,0.0006783294103282438,0.0006783294103282438
final_selected,prompt,499.0,500.0,499.5,1,0.0006784426213937381,0.0006784426213937381
final_selected,prompt,500.0,501.0,500.5,0,0.0,0.0
final_selected,prompt,501.0,502.0,501.5,1,0.0006784426213937381,0.0006784426213937381
final_selected,prompt,502.0,503.0,502.5,1,0.0006784426213937381,0.0006784426213937381
final_selected,prompt,503.0,504.0,503.5,0,0.0,0.0
final_selected,prompt,504.0,505.0,504.5,0,0.0,0.0
final_selected,prompt,505.0,506.0,505.5,0,0.0,0.0
final_selected,prompt,506.0,507.0,506.5,1,0.0006783294103282438,0.0006783294103282438
final_selected,prompt,507.0,508.0,507.5,0,0.0,0.0
final_selected,prompt,508.0,509.0,508.5,1,0.0006784426213937381,0.0006784426213937381
final_selected,prompt,509.0,510.0,509.5,0,0.0,0.0
final_selected,prompt,510.0,511.0,510.5,65,0.044088948071811976,0.0054685609724045925
final_selected,prompt,511.0,512.0,511.5,0,0.0,0.0
final_selected,prompt,512.0,513.0,512.5,0,0.0,0.0
final_selected,prompt,513.0,514.0,513.5,1,0.0006783294103282438,0.0006783294103282438
final_selected,prompt,514.0,515.0,514.5,0,0.0,0.0
final_selected,prompt,515.0,516.0,515.5,1,0.0006783294103282438,0.0006783294103282438
final_selected,prompt,516.0,517.0,516.5,0,0.0,0.0
final_selected,prompt,517.0,518.0,517.5,0,0.0,0.0
final_selected,prompt,518.0,519.0,518.5,0,0.0,0.0
final_selected,prompt,519.0,520.0,519.5,0,0.0,0.0
final_selected,prompt,520.0,521.0,520.5,0,0.0,0.0
final_selected,prompt,521.0,522.0,521.5,1,0.0006783294103282438,0.0006783294103282438
final_selected,prompt,522.0,523.0,522.5,0,0.0,0.0
final_selected,prompt,523.0,524.0,523.5,0,0.0,0.0
final_selected,prompt,524.0,525.0,524.5,0,0.0,0.0
final_selected,prompt,525.0,526.0,525.5,0,0.0,0.0
final_selected,prompt,526.0,527.0,526.5,0,0.0,0.0
final_selected,prompt,527.0,528.0,527.5,0,0.0,0.0
final_selected,prompt,528.0,529.0,528.5,0,0.0,0.0
final_selected,prompt,529.0,530.0,529.5,0,0.0,0.0
final_selected,prompt,530.0,531.0,530.5,0,0.0,0.0
final_selected,prompt,531.0,532.0,531.5,1,0.0006783294103282438,0.0006783294103282438
final_selected,prompt,532.0,533.0,532.5,0,0.0,0.0
final_selected,prompt,533.0,534.0,533.5,2,0.0013566588206564876,0.0009593026518427465
final_selected,prompt,534.0,535.0,534.5,0,0.0,0.0
final_selected,prompt,535.0,536.0,535.5,0,0.0,0.0
final_selected,prompt,536.0,537.0,536.5,1,0.0006783294103282438,0.0006783294103282438
final_selected,prompt,537.0,538.0,537.5,1,0.0006783294103282438,0.0006783294103282438
final_selected,prompt,538.0,539.0,538.5,0,0.0,0.0
final_selected,prompt,539.0,540.0,539.5,0,0.0,0.0
final_selected,prompt,540.0,541.0,540.5,0,0.0,0.0
final_selected,prompt,541.0,542.0,541.5,0,0.0,0.0
final_selected,prompt,542.0,543.0,542.5,0,0.0,0.0
final_selected,prompt,543.0,544.0,543.5,0,0.0,0.0
final_selected,prompt,544.0,545.0,544.5,0,0.0,0.0
final_selected,prompt,545.0,546.0,545.5,0,0.0,0.0
final_selected,prompt,546.0,547.0,546.5,0,0.0,0.0
final_selected,prompt,547.0,548.0,547.5,0,0.0,0.0
final_selected,prompt,548.0,549.0,548.5,0,0.0,0.0
final_selected,prompt,549.0,550.0,549.5,0,0.0,0.0
final_selected,delayed,480.0,481.0,480.5,0,0.0,0.0
final_selected,delayed,481.0,482.0,481.5,0,0.0,0.0
final_selected,delayed,482.0,483.0,482.5,0,0.0,0.0
final_selected,delayed,483.0,484.0,483.5,0,0.0,0.0
final_selected,delayed,484.0,485.0,484.5,0,0.0,0.0
final_selected,delayed,485.0,486.0,485.5,0,0.0,0.0
final_selected,delayed,486.0,487.0,486.5,0,0.0,0.0
final_selected,delayed,487.0,488.0,487.5,0,0.0,0.0
final_selected,delayed,488.0,489.0,488.5,1,0.0001423071684854045,0.0001423071684854045
final_selected,delayed,489.0,490.0,489.5,0,0.0,0.0
final_selected,delayed,490.0,491.0,490.5,0,0.0,0.0
final_selected,delayed,491.0,492.0,491.5,1,0.0001423071684854045,0.0001423071684854045
final_selected,delayed,492.0,493.0,492.5,0,0.0,0.0
final_selected,delayed,493.0,494.0,493.5,0,0.0,0.0
final_selected,delayed,494.0,495.0,494.5,1,0.0001423071684854045,0.0001423071684854045
final_selected,delayed,495.0,496.0,495.5,0,0.0,0.0
final_selected,delayed,496.0,497.0,496.5,1,0.0001423071684854045,0.0001423071684854045
final_selected,delayed,497.0,498.0,497.5,0,0.0,0.0
final_selected,delayed,498.0,499.0,498.5,0,0.0,0.0
final_selected,delayed,499.0,500.0,499.5,1,0.0001423071684854045,0.0001423071684854045
final_selected,delayed,500.0,501.0,500.5,0,0.0,0.0
final_selected,delayed,501.0,502.0,501.5,0,0.0,0.0
final_selected,delayed,502.0,503.0,502.5,0,0.0,0.0
final_selected,delayed,503.0,504.0,503.5,0,0.0,0.0
final_selected,delayed,504.0,505.0,504.5,0,0.0,0.0
final_selected,delayed,505.0,506.0,505.5,0,0.0,0.0
final_selected,delayed,506.0,507.0,506.5,0,0.0,0.0
final_selected,delayed,507.0,508.0,507.5,1,0.0001423071684854045,0.0001423071684854045
