policy,k,event_id,stratum,current_keep,new_keep,transition
current,,30621,S1_short,0,0,0->0
current,,283167,S2_medium,0,0,0->0
current,,426168,S3_long,1,1,1->1
current,,513083,single,1,1,1->1
current,,754641,single,1,1,1->1
current,,1549617,single,1,1,1->1
current,,2291363,S1_short,1,1,1->1
current,,2547196,S0_fluorescence,1,1,1->1
literal_brief,2.0,30621,S1_short,0,1,0->1
literal_brief,2.0,283167,S2_medium,0,0,0->0
literal_brief,2.0,426168,S3_long,1,1,1->1
literal_brief,2.0,513083,single,1,1,1->1
literal_brief,2.0,754641,single,1,1,1->1
literal_brief,2.0,1549617,single,1,1,1->1
literal_brief,2.0,2291363,S1_short,1,1,1->1
literal_brief,2.0,2547196,S0_fluorescence,1,1,1->1
monotonic_frozen,2.0,30621,S1_short,0,0,0->0
monotonic_frozen,2.0,283167,S2_medium,0,0,0->0
monotonic_frozen,2.0,426168,S3_long,1,1,1->1
monotonic_frozen,2.0,513083,single,1,1,1->1
monotonic_frozen,2.0,754641,single,1,1,1->1
monotonic_frozen,2.0,1549617,single,1,1,1->1
monotonic_frozen,2.0,2291363,S1_short,1,1,1->1
monotonic_frozen,2.0,2547196,S0_fluorescence,1,1,1->1
literal_brief,2.5,30621,S1_short,0,1,0->1
literal_brief,2.5,283167,S2_medium,0,0,0->0
literal_brief,2.5,426168,S3_long,1,1,1->1
literal_brief,2.5,513083,single,1,1,1->1
literal_brief,2.5,754641,single,1,1,1->1
literal_brief,2.5,1549617,single,1,1,1->1
literal_brief,2.5,2291363,S1_short,1,1,1->1
literal_brief,2.5,2547196,S0_fluorescence,1,1,1->1
monotonic_frozen,2.5,30621,S1_short,0,0,0->0
monotonic_frozen,2.5,283167,S2_medium,0,0,0->0
monotonic_frozen,2.5,426168,S3_long,1,1,1->1
monotonic_frozen,2.5,513083,single,1,1,1->1
monotonic_frozen,2.5,754641,single,1,1,1->1
monotonic_frozen,2.5,1549617,single,1,1,1->1
monotonic_frozen,2.5,2291363,S1_short,1,1,1->1
monotonic_frozen,2.5,2547196,S0_fluorescence,1,1,1->1
literal_brief,3.0,30621,S1_short,0,1,0->1
literal_brief,3.0,283167,S2_medium,0,0,0->0
literal_brief,3.0,426168,S3_long,1,1,1->1
literal_brief,3.0,513083,single,1,1,1->1
literal_brief,3.0,754641,single,1,1,1->1
literal_brief,3.0,1549617,single,1,1,1->1
literal_brief,3.0,2291363,S1_short,1,1,1->1
literal_brief,3.0,2547196,S0_fluorescence,1,1,1->1
monotonic_frozen,3.0,30621,S1_short,0,0,0->0
monotonic_frozen,3.0,283167,S2_medium,0,0,0->0
monotonic_frozen,3.0,426168,S3_long,1,1,1->1
monotonic_frozen,3.0,513083,single,1,1,1->1
monotonic_frozen,3.0,754641,single,1,1,1->1
monotonic_frozen,3.0,1549617,single,1,1,1->1
monotonic_frozen,3.0,2291363,S1_short,1,1,1->1
monotonic_frozen,3.0,2547196,S0_fluorescence,1,1,1->1
