scope,energy_bin_low_keV,energy_bin_high_keV,two_hit_events
all_energy,0,1,0
all_energy,1,2,0
all_energy,2,3,1
all_energy,3,4,0
all_energy,4,5,0
all_energy,5,6,0
all_energy,6,7,0
all_energy,7,8,0
all_energy,8,9,0
all_energy,9,10,0
all_energy,10,11,0
all_energy,11,12,0
all_energy,12,13,0
all_energy,13,14,0
all_energy,14,15,0
all_energy,15,16,0
all_energy,16,17,0
all_energy,17,18,0
all_energy,18,19,0
all_energy,19,20,0
all_energy,20,21,0
all_energy,21,22,0
all_energy,22,23,0
all_energy,23,24,0
all_energy,24,25,0
all_energy,25,26,0
all_energy,26,27,0
all_energy,27,28,0
all_energy,28,29,0
all_energy,29,30,0
all_energy,30,31,0
all_energy,31,32,0
all_energy,32,33,0
all_energy,33,34,0
all_energy,34,35,0
all_energy,35,36,0
all_energy,36,37,0
all_energy,37,38,0
all_energy,38,39,0
all_energy,39,40,0
all_energy,40,41,0
all_energy,41,42,0
all_energy,42,43,0
all_energy,43,44,0
all_energy,44,45,0
all_energy,45,46,0
all_energy,46,47,0
all_energy,47,48,0
all_energy,48,49,1
all_energy,49,50,0
all_energy,50,51,0
all_energy,51,52,0
all_energy,52,53,0
all_energy,53,54,0
all_energy,54,55,0
all_energy,55,56,0
all_energy,56,57,0
all_energy,57,58,0
all_energy,58,59,0
all_energy,59,60,0
all_energy,60,61,0
all_energy,61,62,0
all_energy,62,63,0
all_energy,63,64,0
all_energy,64,65,0
all_energy,65,66,0
all_energy,66,67,0
all_energy,67,68,0
all_energy,68,69,1
all_energy,69,70,0
all_energy,70,71,0
all_energy,71,72,0
all_energy,72,73,0
all_energy,73,74,0
all_energy,74,75,0
all_energy,75,76,1
all_energy,76,77,0
all_energy,77,78,0
all_energy,78,79,0
all_energy,79,80,0
all_energy,80,81,0
all_energy,81,82,0
all_energy,82,83,0
all_energy,83,84,0
all_energy,84,85,0
all_energy,85,86,0
all_energy,86,87,0
all_energy,87,88,0
all_energy,88,89,0
all_energy,89,90,0
all_energy,90,91,0
all_energy,91,92,0
all_energy,92,93,0
all_energy,93,94,0
all_energy,94,95,0
all_energy,95,96,0
all_energy,96,97,0
all_energy,97,98,0
all_energy,98,99,0
all_energy,99,100,0
all_energy,100,101,0
all_energy,101,102,0
all_energy,102,103,0
all_energy,103,104,0
all_energy,104,105,0
all_energy,105,106,0
all_energy,106,107,0
all_energy,107,108,0
all_energy,108,109,0
all_energy,109,110,0
all_energy,110,111,0
all_energy,111,112,0
all_energy,112,113,0
all_energy,113,114,0
all_energy,114,115,0
all_energy,115,116,0
all_energy,116,117,0
all_energy,117,118,0
all_energy,118,119,0
all_energy,119,120,0
all_energy,120,121,0
all_energy,121,122,0
all_energy,122,123,0
all_energy,123,124,0
all_energy,124,125,0
all_energy,125,126,0
all_energy,126,127,0
all_energy,127,128,0
all_energy,128,129,0
all_energy,129,130,0
all_energy,130,131,0
all_energy,131,132,0
all_energy,132,133,0
all_energy,133,134,0
all_energy,134,135,0
all_energy,135,136,0
all_energy,136,137,0
