source_file,production_tag,manifest_job_name,manifest_events,manifest_rep,manifest_part,TT_file_s,TT_line_count,raw_rp_rows,raw_rp_total
runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep01_part01.dat.inc1.dat,alpha,Background_alpha_fullsphere20_rep01_part01,23933,1,1,183.853,1,11,12
runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep02_part01.dat.inc1.dat,alpha,Background_alpha_fullsphere20_rep02_part01,23933,2,1,184.443,1,15,17
runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat,alpha,Background_alpha_fullsphere20_rep03_part01,23933,3,1,184.037,1,17,19
runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,alpha,Background_alpha_fullsphere20_rep04_part01,23933,4,1,184.046,1,22,23
runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep05_part01.dat.inc1.dat,alpha,Background_alpha_fullsphere20_rep05_part01,23933,5,1,183.72,1,13,13
runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,alpha,Background_alpha_fullsphere20_rep06_part01,23933,6,1,185.196,1,19,23
runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,alpha,Background_alpha_fullsphere20_rep07_part01,23933,7,1,184.367,1,20,21
runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep08_part01.dat.inc1.dat,alpha,Background_alpha_fullsphere20_rep08_part01,23933,8,1,183.734,1,17,17
runs/step02_buildup_fix5_fullstat_v2/Background_eminus_fullsphere20_rep01_part01.dat.inc1.dat,eminus,Background_eminus_fullsphere20_rep01_part01,414617,1,1,184.51,1,0,0
runs/step02_buildup_fix5_fullstat_v2/Background_eminus_fullsphere20_rep02_part01.dat.inc1.dat,eminus,Background_eminus_fullsphere20_rep02_part01,414617,2,1,183.849,1,0,0
runs/step02_buildup_fix5_fullstat_v2/Background_eminus_fullsphere20_rep03_part01.dat.inc1.dat,eminus,Background_eminus_fullsphere20_rep03_part01,414617,3,1,184.296,1,0,0
runs/step02_buildup_fix5_fullstat_v2/Background_eminus_fullsphere20_rep04_part01.dat.inc1.dat,eminus,Background_eminus_fullsphere20_rep04_part01,414617,4,1,184.298,1,0,0
runs/step02_buildup_fix5_fullstat_v2/Background_eminus_fullsphere20_rep05_part01.dat.inc1.dat,eminus,Background_eminus_fullsphere20_rep05_part01,414617,5,1,184.057,1,0,0
runs/step02_buildup_fix5_fullstat_v2/Background_eminus_fullsphere20_rep06_part01.dat.inc1.dat,eminus,Background_eminus_fullsphere20_rep06_part01,414617,6,1,184.309,1,0,0
