production_tag,source_file,source_files_count,source_files,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_raw_token,exc_keV_decimal,state_id,nubase_line,production_count_raw,TT_file_s,TT_tag_sum_s,production_rate_s-1,half_life_s,half_life_authority,activity_day15_direct_Bq,state_class,source_row_count
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep05_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep05_part01.dat.inc1.dat,ColdPlate_4K,ColdPlate_4K,27060,Co-60,0.00,0,gs,835,1,183.72,1473.396,0.0006787041637143035545094462046,166352732.64,NUBASE2020_STATE,0.00000365518153477369797393233048,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,ColdPlate_4K,ColdPlate_4K,28059,Ni-59,0.00,0,gs,818,1,184.046,1473.396,0.0006787041637143035545094462046,2556165600000,NUBASE2020_STATE,0.0000000002385184145219738617452470348,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat,ColdPlate_4K,ColdPlate_4K,30062,Zn-62,0.00,0,gs,883,1,184.037,1473.396,0.0006787041637143035545094462046,33094.8,NUBASE2020_STATE,0.0006787041637131987598717520613,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,ColdPlate_4K,ColdPlate_4K,30063,Zn-63,0.00,0,gs,898,1,184.367,1473.396,0.0006787041637143035545094462046,2308.2,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep05_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep05_part01.dat.inc1.dat,ColdPlate_60K,ColdPlate_60K,11025,Na-25,0.00,0,gs,238,1,183.72,1473.396,0.0006787041637143035545094462046,59.1,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep02_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep02_part01.dat.inc1.dat,ColdPlate_60K,ColdPlate_60K,13026,Al-26,0.00,0,gs,252,1,184.443,1473.396,0.0006787041637143035545094462046,22626799200000,NUBASE2020_STATE,0.00000000002694559910986569123304257647,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep01_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep01_part01.dat.inc1.dat,ColdPlate_CP_100mK_intercept,ColdPlate_CP_100mK_intercept,25054,Mn-54,0.00,0,gs,720,1,183.853,1473.396,0.0006787041637143035545094462046,26963798.4,NUBASE2020_STATE,0.00002223901612328696155005171726,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep02_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep02_part01.dat.inc1.dat,ColdPlate_MXC_50mK_SD_anchor,ColdPlate_MXC_50mK_SD_anchor,29062,Cu-62,0.00,0,gs,881,1,184.443,1473.396,0.0006787041637143035545094462046,580.32,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,25054,Mn-54,0.00,0,gs,720,1,184.046,1473.396,0.0006787041637143035545094462046,26963798.4,NUBASE2020_STATE,0.00002223901612328696155005171726,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,26055,Fe-55,0.00,0,gs,738,1,184.037,1473.396,0.0006787041637143035545094462046,86979057.12,NUBASE2020_STATE,0.000006973575649685694137896397167,EMITTED_CANDIDATE,1
