production_tag,raw_volume,ZA,exc_keV_decimal,dat_production_count_raw,rpip_count,delta_rpip_minus_dat,status
alpha,ColdPlate_4K,27060,0,1,1,0,PASS
alpha,ColdPlate_4K,28059,0,1,1,0,PASS
alpha,ColdPlate_4K,30062,0,1,1,0,PASS
alpha,ColdPlate_4K,30063,0,1,1,0,PASS
alpha,ColdPlate_60K,11025,0,1,1,0,PASS
alpha,ColdPlate_60K,13026,0,1,1,0,PASS
alpha,ColdPlate_CP_100mK_intercept,25054,0,1,1,0,PASS
alpha,ColdPlate_MXC_50mK_SD_anchor,29062,0,1,1,0,PASS
alpha,ColdPlate_Still_0p7K,25054,0,1,1,0,PASS
alpha,ColdPlate_Still_0p7K,26055,0,1,1,0,PASS
alpha,CsI_Bottom_Quadrant_00,53126,0,2,2,0,PASS
alpha,CsI_Bottom_Quadrant_01,50113,0,2,2,0,PASS
alpha,CsI_Bottom_Quadrant_01,51115,0,1,1,0,PASS
alpha,CsI_Bottom_Quadrant_01,53125,0,1,1,0,PASS
alpha,CsI_Bottom_Quadrant_01,53128,0,2,2,0,PASS
alpha,CsI_Bottom_Quadrant_01,54121,0,1,1,0,PASS
alpha,CsI_Bottom_Quadrant_01,55126,0,1,1,0,PASS
alpha,CsI_Bottom_Quadrant_01,55131,0,1,1,0,PASS
alpha,CsI_Bottom_Quadrant_01,55132,0,2,2,0,PASS
alpha,CsI_Bottom_Quadrant_02,53125,0,1,1,0,PASS
alpha,CsI_Bottom_Quadrant_02,53126,0,1,1,0,PASS
alpha,CsI_Bottom_Quadrant_02,55132,0,1,1,0,PASS
alpha,CsI_Bottom_Quadrant_03,51118,0,1,1,0,PASS
alpha,CsI_Bottom_Quadrant_03,52114,0,1,1,0,PASS
alpha,CsI_Bottom_Quadrant_03,53126,0,1,1,0,PASS
alpha,CsI_Bottom_Quadrant_03,55131,0,1,1,0,PASS
alpha,CsI_Bottom_Quadrant_03,55132,0,1,1,0,PASS
alpha,CsI_Side_Segment_00,53126,0,1,1,0,PASS
alpha,CsI_Side_Segment_01,48107,0,1,1,0,PASS
alpha,CsI_Side_Segment_01,52127,0,2,2,0,PASS
alpha,CsI_Side_Segment_01,54123,0,1,1,0,PASS
alpha,CsI_Side_Segment_01,55132,0,1,1,0,PASS
alpha,CsI_Side_Segment_01,55134,0,1,1,0,PASS
alpha,CsI_Side_Segment_02,51114,0,1,1,0,PASS
alpha,CsI_Side_Segment_02,53126,0,1,1,0,PASS
alpha,CsI_Side_Segment_02,55124,0,1,1,0,PASS
alpha,CsI_Side_Segment_02,55132,0,1,1,0,PASS
alpha,CsI_Side_Segment_03_below_side_port,55131,0,1,1,0,PASS
alpha,CsI_Side_Segment_04_below_side_port,51120,0,1,1,0,PASS
alpha,CsI_Side_Segment_04_rectcut_window_band,53122,0,1,1,0,PASS
alpha,CsI_Side_Segment_05,53128,0,1,1,0,PASS
alpha,CsI_Side_Segment_06,50111,0,1,1,0,PASS
alpha,CsI_TopAnnulus_Segment_00,56131,0,1,1,0,PASS
alpha,CsI_TopAnnulus_Segment_02,54125,0,1,1,0,PASS
alpha,CsI_TopAnnulus_Segment_04,48109,0,1,1,0,PASS
alpha,CsI_TopAnnulus_Segment_04,53124,0,1,1,0,PASS
alpha,CsI_TopAnnulus_Segment_05,53125,0,1,1,0,PASS
alpha,CsI_TopAnnulus_Segment_07,55131,0,1,1,0,PASS
alpha,Cu_50mK_StillLike_Can_side_wall_below_side_port,28063,0,1,1,0,PASS
alpha,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,26055,0,1,1,0,PASS
alpha,G10_Support_Ring_60K_Top,6011,0,1,1,0,PASS
alpha,NbTi_Bundle_4K_60K,23048,0,1,1,0,PASS
alpha,NbTi_Bundle_4K_60K,41092,0,1,1,0,PASS
alpha,Nb_MagShield_Inner_Cylinder_2mm,31068,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13026,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,14025,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,9022,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11022,0,2,2,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13026,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13028,0,2,2,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,15030,0,2,2,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11022,0,3,3,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11024,0,2,2,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,12027,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13026,0,4,4,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13028,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13029,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,14027,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,15030,0,3,3,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,11025,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,13026,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,13028,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,15030,0,2,2,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,11022,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12023,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12027,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13026,0,3,3,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13028,0,1,1,0,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,15030,0,3,3,0,PASS
alpha,Passive_W_Bottom_Plate_detector_bay,74183,0,3,3,0,PASS
alpha,Plate_300K_Top_Service_Lid,9018,0,1,1,0,PASS
alpha,Plate_300K_Top_Service_Lid,11022,0,1,1,0,PASS
alpha,Plate_300K_Top_Service_Lid,11024,0,1,1,0,PASS
alpha,Plate_300K_Top_Service_Lid,12027,0,1,1,0,PASS
alpha,Plate_300K_Top_Service_Lid,13026,0,4,4,0,PASS
alpha,Plate_300K_Top_Service_Lid,13028,0,1,1,0,PASS
alpha,Plate_300K_Top_Service_Lid,15029,0,1,1,0,PASS
alpha,Plate_300K_Top_Service_Lid,15030,0,2,2,0,PASS
alpha,Shield_4K_Al_side_window_side_wall_above_side_port,13026,0,1,1,0,PASS
alpha,Shield_4K_Al_side_window_side_wall_above_side_port,14027,0,1,1,0,PASS
alpha,Shield_60K_Al_side_window_side_wall_above_side_port,13026,0,1,1,0,PASS
alpha,Shield_60K_Al_side_window_side_wall_above_side_port,13028,0,1,1,0,PASS
alpha,Shield_60K_Al_side_window_side_wall_above_side_port,15030,0,1,1,0,PASS
alpha,Shield_60K_Al_side_window_side_wall_below_side_port,13025,0,1,1,0,PASS
alpha,Still_Shield_Al_side_window_side_wall_below_side_port,13026,0,1,1,0,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,11024,0,1,1,0,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,13026,0,1,1,0,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,9018,0,1,1,0,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11022,0,2,2,0,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,0,2,2,0,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13026,0,8,8,0,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13028,0,1,1,0,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,14027,0,1,1,0,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,15030,0,5,5,0,PASS
