production_tag,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,state_id,state_class,dat_production_count_raw,rpip_count,coverage_fraction,activity_day15_direct_Bq,source_files_count,rpip_volume_count,rpip_volume_examples,centroid_x_cm,centroid_y_cm,centroid_z_cm,effective_sample_size,dominant_cproc,dominant_sproc,dominant_prim,status
alpha,ColdPlate_4K,ColdPlate_4K,27060,Co-60,0,gs,EMITTED_CANDIDATE,1,1,1,0.00000365518153477369797393233048,1,1,ColdPlate_4K,8.063246,5.849871,19.98214,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,ColdPlate_4K,ColdPlate_4K,28059,Ni-59,0,gs,EMITTED_CANDIDATE,1,1,1,0.0000000002385184145219738617452470348,1,1,ColdPlate_4K,15.72309,1.107551,12.41175,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,ColdPlate_4K,ColdPlate_4K,30062,Zn-62,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637131987598717520613,1,1,ColdPlate_4K,7.500527,-4.748238,20.36568,1,protonInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,ColdPlate_4K,ColdPlate_4K,30063,Zn-63,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,ColdPlate_4K,12.74142,0.6605003,15.83292,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,ColdPlate_60K,ColdPlate_60K,11025,Na-25,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,ColdPlate_60K,16.35585,8.211248,24.3202,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,ColdPlate_60K,ColdPlate_60K,13026,Al-26,0,gs,EMITTED_CANDIDATE,1,1,1,0.00000000002694559910986569123304257647,1,1,ColdPlate_60K,21.75865,-2.066243,19.38052,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,ColdPlate_CP_100mK_intercept,ColdPlate_CP_100mK_intercept,25054,Mn-54,0,gs,EMITTED_CANDIDATE,1,1,1,0.00002223901612328696155005171726,1,1,ColdPlate_CP_100mK_intercept,7.722347,4.39085,-0.7687516,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,ColdPlate_MXC_50mK_SD_anchor,ColdPlate_MXC_50mK_SD_anchor,29062,Cu-62,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,ColdPlate_MXC_50mK_SD_anchor,0.07274368,2.168976,0.246969,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,25054,Mn-54,0,gs,EMITTED_CANDIDATE,1,1,1,0.00002223901612328696155005171726,1,1,ColdPlate_Still_0p7K,11.48135,-1.4178,3.903004,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,26055,Fe-55,0,gs,EMITTED_CANDIDATE,1,1,1,0.000006973575649685694137896397167,1,1,ColdPlate_Still_0p7K,6.802059,5.525464,8.849312,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Bottom_Quadrant_00,CsI_Bottom_Quadrant_00,53126,I-126,0,gs,EMITTED_CANDIDATE,2,2,1,0.0007499901611455050780645529104,2,1,CsI_Bottom_Quadrant_00,-5.746779,6.6521795,-21.74181,2,neutronInelastic:2,RadioactiveDecay:2,alpha:2,PASS
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,50113,Sn-113,0,gs,EMITTED_CANDIDATE,2,2,1,0.000117261739335365794396075461,1,1,CsI_Bottom_Quadrant_01,-23.833855,4.2741235,-3.707288,2,alphaInelastic:1,RadioactiveDecay:2,alpha:2,PASS
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,51115,Sb-115,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,CsI_Bottom_Quadrant_01,-15.59988,15.37068,-5.699273,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,53125,I-125,0,gs,EMITTED_CANDIDATE,1,1,1,0.0001089957958824253357549497895,1,1,CsI_Bottom_Quadrant_01,-18.43063,0.6689293,-5.890418,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,53128,I-128,0,gs,EMITTED_CANDIDATE,2,2,1,0.001357408327428607109018892409,2,1,CsI_Bottom_Quadrant_01,-19.27961,7.511147,-5.0469325,2,nCapture:2,RadioactiveDecay:2,alpha:2,PASS
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,54121,Xe-121,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,CsI_Bottom_Quadrant_01,-16.87157,14.59961,-5.808828,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,55126,Cs-126,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,CsI_Bottom_Quadrant_01,-11.8138,11.27442,-11.40172,1,protonInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,55131,Cs-131,0,gs,EMITTED_CANDIDATE,1,1,1,0.0004466220274868972767674135128,1,1,CsI_Bottom_Quadrant_01,-15.87818,15.16376,-5.662752,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
