production_tag,ZA,nuclide,exc_keV_decimal,state_id,is_ground_state,would_fold_to_ground_if_exc_ignored,activity_day15_direct_Bq
alpha,6011,C-11,0,gs,True,False,0.0006787041637143035545094462046
alpha,9018,F-18,0,gs,True,False,0.001357408327428607109018892409
alpha,9020,F-20,0,gs,True,False,0.0006787041637143035545094462046
alpha,9022,F-22,0,gs,True,False,0.0006787041637143035545094462046
alpha,11022,Na-22,0,gs,True,False,0.00006646383410578423926765105921
alpha,11024,Na-24,0,gs,True,False,0.00271481650077030289209418242
alpha,11025,Na-25,0,gs,True,False,0.001357408327428607109018892409
alpha,12023,Mg-23,0,gs,True,False,0.0006787041637143035545094462046
alpha,12027,Mg-27,0,gs,True,False,0.003393520818571517772547231023
alpha,13025,Al-25,0,gs,True,False,0.0006787041637143035545094462046
alpha,13026,Al-26,0,gs,True,False,0.0000000007275311759663736632921495648
alpha,13028,Al-28,0,gs,True,False,0.005429633309714428436075569639
alpha,13029,Al-29,0,gs,True,False,0.0006787041637143035545094462046
alpha,14025,Si-25,0,gs,True,False,0.0006787041637143035545094462046
alpha,14027,Si-27,0,gs,True,False,0.002036112491142910663528338614
alpha,15029,P-29,0,gs,True,False,0.0006787041637143035545094462046
alpha,15030,P-30,0,gs,True,False,0.01221667494685746398117003168
alpha,23048,V-48,0,gs,True,False,0.000324709514514696320608987672
alpha,25054,Mn-54,0,gs,True,False,0.00004447803224657392310010343452
alpha,26055,Fe-55,0,gs,True,False,0.00001394715129937138827579279433
alpha,27060,Co-60,0,gs,True,False,0.00000365518153477369797393233048
alpha,28059,Ni-59,0,gs,True,False,0.0000000002385184145219738617452470348
alpha,28063,Ni-63,0,gs,True,False,0.0000001908821938318160019438087249
alpha,29062,Cu-62,0,gs,True,False,0.0006787041637143035545094462046
alpha,30062,Zn-62,0,gs,True,False,0.0006787041637131987598717520613
alpha,30063,Zn-63,0,gs,True,False,0.0006787041637143035545094462046
alpha,31068,Ga-68,0,gs,True,False,0.0006787041637143035545094462046
alpha,41092,Nb-92,0,gs,True,False,0.0000000000005567721795900592915957420816
alpha,48107,Cd-107,0,gs,True,False,0.0006787041637143035545094462046
alpha,48109,Cd-109,0,gs,True,False,0.00001512616054103533876839627636
alpha,50111,Sn-111,0,gs,True,False,0.0006787041637143035545094462046
alpha,50113,Sn-113,0,gs,True,False,0.000117261739335365794396075461
alpha,51114,Sb-114,0,gs,True,False,0.0006787041637143035545094462046
alpha,51115,Sb-115,0,gs,True,False,0.0006787041637143035545094462046
alpha,51118,Sb-118,0,gs,True,False,0.0006787041637143035545094462046
alpha,51120,Sb-120,0,gs,True,False,0.0006787041637143035545094462046
alpha,52114,Te-114,0,gs,True,False,0.0006787041637143035545094462046
alpha,52127,Te-127,0,gs,True,False,0.001357408327425121691656553975
alpha,53122,I-122,0,gs,True,False,0.0006787041637143035545094462046
alpha,53124,I-124,0,gs,True,False,0.0006224189124019870421801063666
alpha,53125,I-125,0,gs,True,False,0.0003269873876472760072648493685
alpha,53126,I-126,0,gs,True,False,0.002249970483436515234193658731
alpha,53128,I-128,0,gs,True,False,0.002036112491142910663528338614
alpha,54121,Xe-121,0,gs,True,False,0.0006787041637143035545094462046
alpha,54123,Xe-123,0,gs,True,False,0.0006787041637143035545094462046
alpha,54125,Xe-125,0,gs,True,False,0.0006787039079712173102139547006
alpha,55124,Cs-124,0,gs,True,False,0.0006787041637143035545094462046
alpha,55126,Cs-126,0,gs,True,False,0.0006787041637143035545094462046
alpha,55131,Cs-131,0,gs,True,False,0.001786488109947589107069654051
alpha,55132,Cs-132,0,gs,True,False,0.003253754408028421687041365663
alpha,55134,Cs-134,0,gs,True,False,0.00000929173936383665083928556885
alpha,56131,Ba-131,0,gs,True,False,0.000403462373866759445525846412
alpha,74183,W-183,0,gs,True,False,0
eplus,53125,I-125,0,gs,True,False,0.0001089638476606374420895789739
