production_tag,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,raw_volume_count,raw_volumes,dat_production_count_raw,activity_day15_direct_Bq,canonicalization_would_merge_raw_volumes
alpha,ColdPlate_4K,27060,Co-60,0,1,ColdPlate_4K,1,0.00000365518153477369797393233048,False
alpha,ColdPlate_4K,28059,Ni-59,0,1,ColdPlate_4K,1,0.0000000002385184145219738617452470348,False
alpha,ColdPlate_4K,30062,Zn-62,0,1,ColdPlate_4K,1,0.0006787041637131987598717520613,False
alpha,ColdPlate_4K,30063,Zn-63,0,1,ColdPlate_4K,1,0.0006787041637143035545094462046,False
alpha,ColdPlate_60K,11025,Na-25,0,1,ColdPlate_60K,1,0.0006787041637143035545094462046,False
alpha,ColdPlate_60K,13026,Al-26,0,1,ColdPlate_60K,1,0.00000000002694559910986569123304257647,False
alpha,ColdPlate_CP_100mK_intercept,25054,Mn-54,0,1,ColdPlate_CP_100mK_intercept,1,0.00002223901612328696155005171726,False
alpha,ColdPlate_MXC_50mK_SD_anchor,29062,Cu-62,0,1,ColdPlate_MXC_50mK_SD_anchor,1,0.0006787041637143035545094462046,False
alpha,ColdPlate_Still_0p7K,25054,Mn-54,0,1,ColdPlate_Still_0p7K,1,0.00002223901612328696155005171726,False
alpha,ColdPlate_Still_0p7K,26055,Fe-55,0,1,ColdPlate_Still_0p7K,1,0.000006973575649685694137896397167,False
alpha,CsI_Bottom_Quadrant_00,53126,I-126,0,1,CsI_Bottom_Quadrant_00,2,0.0007499901611455050780645529104,False
alpha,CsI_Bottom_Quadrant_01,50113,Sn-113,0,1,CsI_Bottom_Quadrant_01,2,0.000117261739335365794396075461,False
alpha,CsI_Bottom_Quadrant_01,51115,Sb-115,0,1,CsI_Bottom_Quadrant_01,1,0.0006787041637143035545094462046,False
alpha,CsI_Bottom_Quadrant_01,53125,I-125,0,1,CsI_Bottom_Quadrant_01,1,0.0001089957958824253357549497895,False
alpha,CsI_Bottom_Quadrant_01,53128,I-128,0,1,CsI_Bottom_Quadrant_01,2,0.001357408327428607109018892409,False
alpha,CsI_Bottom_Quadrant_01,54121,Xe-121,0,1,CsI_Bottom_Quadrant_01,1,0.0006787041637143035545094462046,False
alpha,CsI_Bottom_Quadrant_01,55126,Cs-126,0,1,CsI_Bottom_Quadrant_01,1,0.0006787041637143035545094462046,False
alpha,CsI_Bottom_Quadrant_01,55131,Cs-131,0,1,CsI_Bottom_Quadrant_01,1,0.0004466220274868972767674135128,False
alpha,CsI_Bottom_Quadrant_01,55132,Cs-132,0,1,CsI_Bottom_Quadrant_01,2,0.001084584802676140562347121887,False
alpha,CsI_Bottom_Quadrant_02,53125,I-125,0,1,CsI_Bottom_Quadrant_02,1,0.0001089957958824253357549497895,False
alpha,CsI_Bottom_Quadrant_02,53126,I-126,0,1,CsI_Bottom_Quadrant_02,1,0.0003749950805727525390322764552,False
alpha,CsI_Bottom_Quadrant_02,55132,Cs-132,0,1,CsI_Bottom_Quadrant_02,1,0.0005422924013380702811735609436,False
alpha,CsI_Bottom_Quadrant_03,51118,Sb-118,0,1,CsI_Bottom_Quadrant_03,1,0.0006787041637143035545094462046,False
alpha,CsI_Bottom_Quadrant_03,52114,Te-114,0,1,CsI_Bottom_Quadrant_03,1,0.0006787041637143035545094462046,False
alpha,CsI_Bottom_Quadrant_03,53126,I-126,0,1,CsI_Bottom_Quadrant_03,1,0.0003749950805727525390322764552,False
alpha,CsI_Bottom_Quadrant_03,55131,Cs-131,0,1,CsI_Bottom_Quadrant_03,1,0.0004466220274868972767674135128,False
alpha,CsI_Bottom_Quadrant_03,55132,Cs-132,0,1,CsI_Bottom_Quadrant_03,1,0.0005422924013380702811735609436,False
alpha,CsI_Side_Segment_00,53126,I-126,0,1,CsI_Side_Segment_00,1,0.0003749950805727525390322764552,False
alpha,CsI_Side_Segment_01,48107,Cd-107,0,1,CsI_Side_Segment_01,1,0.0006787041637143035545094462046,False
alpha,CsI_Side_Segment_01,52127,Te-127,0,1,CsI_Side_Segment_01,2,0.001357408327425121691656553975,False
alpha,CsI_Side_Segment_01,54123,Xe-123,0,1,CsI_Side_Segment_01,1,0.0006787041637143035545094462046,False
alpha,CsI_Side_Segment_01,55132,Cs-132,0,1,CsI_Side_Segment_01,1,0.0005422924013380702811735609436,False
alpha,CsI_Side_Segment_01,55134,Cs-134,0,1,CsI_Side_Segment_01,1,0.00000929173936383665083928556885,False
alpha,CsI_Side_Segment_02,51114,Sb-114,0,1,CsI_Side_Segment_02,1,0.0006787041637143035545094462046,False
alpha,CsI_Side_Segment_02,53126,I-126,0,1,CsI_Side_Segment_02,1,0.0003749950805727525390322764552,False
alpha,CsI_Side_Segment_02,55124,Cs-124,0,1,CsI_Side_Segment_02,1,0.0006787041637143035545094462046,False
alpha,CsI_Side_Segment_02,55132,Cs-132,0,1,CsI_Side_Segment_02,1,0.0005422924013380702811735609436,False
alpha,CsI_Side_Segment_03_below_side_port,55131,Cs-131,0,1,CsI_Side_Segment_03_below_side_port,1,0.0004466220274868972767674135128,False
alpha,CsI_Side_Segment_04_below_side_port,51120,Sb-120,0,1,CsI_Side_Segment_04_below_side_port,1,0.0006787041637143035545094462046,False
alpha,CsI_Side_Segment_05,53128,I-128,0,1,CsI_Side_Segment_05,1,0.0006787041637143035545094462046,False
