production_tag,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,state_id,inventory_activity_Bq,source_activity_Bq,relative_delta,activity_fraction,rpip_count,source_rows,status
alpha,ColdPlate_4K,ColdPlate_4K,27060,Co-60,0,gs,0.00000365518153477369797393233048,0.00000365518153477369797393233048,0,0.000000042013657127779146448704510874832742116852360602305659621104309623437890716997324,1,1,PASS
alpha,ColdPlate_4K,ColdPlate_4K,28059,Ni-59,0,gs,0.0000000002385184145219738617452470348,0.0000000002385184145219738617452470348,0,0.00000000000274159594839607246156305674201303865347887553031906885994708875916105891870415,1,1,PASS
alpha,ColdPlate_4K,ColdPlate_4K,30062,Zn-62,0,gs,0.0006787041637131987598717520613,0.0006787041637131987598717520613,0,0.0000078012114457696415771840630665093090233674250481297714894821536237534365122054725,1,1,PASS
alpha,ColdPlate_4K,ColdPlate_4K,30063,Zn-63,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,ColdPlate_60K,ColdPlate_60K,11025,Na-25,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,ColdPlate_60K,ColdPlate_60K,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,0.00000000002694559910986569123304257647,0,0.00000000000030972009224011863113342530008387588197193973543735050174809068768042336585803633,1,1,PASS
alpha,ColdPlate_CP_100mK_intercept,ColdPlate_CP_100mK_intercept,25054,Mn-54,0,gs,0.00002223901612328696155005171726,0.00002223901612328696155005171726,0,0.00000025562133901532150308204721423277168194188016103263617106928373076890412306607124,1,1,PASS
alpha,ColdPlate_MXC_50mK_SD_anchor,ColdPlate_MXC_50mK_SD_anchor,29062,Cu-62,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,25054,Mn-54,0,gs,0.00002223901612328696155005171726,0.00002223901612328696155005171726,0,0.00000025562133901532150308204721423277168194188016103263617106928373076890412306607124,1,1,PASS
alpha,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,26055,Fe-55,0,gs,0.000006973575649685694137896397167,0.000006973575649685694137896397167,0,0.000000080156187459691783311874856863446747494011212519136459959407319792479367836061313,1,1,PASS
alpha,CsI_Bottom_Quadrant_00,CsI_Bottom_Quadrant_00,53126,I-126,0,gs,0.0007499901611455050780645529104,0.0007499901611455050780645529104,0,0.0000086205922140405914371642561093996299938040420446387029318286792915692716582339498,2,2,PASS
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,50113,Sn-113,0,gs,0.000117261739335365794396075461,0.000117261739335365794396075461,0,0.0000013478385310753354987735723313009080251904985384837953498644640125553181219876253,2,2,PASS
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,51115,Sb-115,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,53125,I-125,0,gs,0.0001089957958824253357549497895,0.0001089957958824253357549497895,0,0.0000012528275143130852880263855442600456119380792274415695524993968830508240912626059,1,1,PASS
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,53128,I-128,0,gs,0.001357408327428607109018892409,0.001357408327428607109018892409,0,0.000015602422891564680778351015117492360235626254785556872937839765694944799285002779,2,2,PASS
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,54121,Xe-121,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,55126,Cs-126,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,55131,Cs-131,0,gs,0.0004466220274868972767674135128,0.0004466220274868972767674135128,0,0.0000051335958419667927048267406200848505825109751063455556708277102425022183169056994,1,1,PASS
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,55132,Cs-132,0,gs,0.001084584802676140562347121887,0.001084584802676140562347121887,0,0.000012466514615520065961081560330248277983058562665132898923171612441394232857979454,2,2,PASS
alpha,CsI_Bottom_Quadrant_02,CsI_Bottom_Quadrant_02,53125,I-125,0,gs,0.0001089957958824253357549497895,0.0001089957958824253357549497895,0,0.0000012528275143130852880263855442600456119380792274415695524993968830508240912626059,1,1,PASS
alpha,CsI_Bottom_Quadrant_02,CsI_Bottom_Quadrant_02,53126,I-126,0,gs,0.0003749950805727525390322764552,0.0003749950805727525390322764552,0,0.0000043102961070202957185821280546998149969020210223193514659143396457846358291169749,1,1,PASS
alpha,CsI_Bottom_Quadrant_02,CsI_Bottom_Quadrant_02,55132,Cs-132,0,gs,0.0005422924013380702811735609436,0.0005422924013380702811735609436,0,0.0000062332573077600329805407801662735663654662730525714130751740979298346922427820747,1,1,PASS
alpha,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,51118,Sb-118,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,52114,Te-114,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,53126,I-126,0,gs,0.0003749950805727525390322764552,0.0003749950805727525390322764552,0,0.0000043102961070202957185821280546998149969020210223193514659143396457846358291169749,1,1,PASS
alpha,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,55131,Cs-131,0,gs,0.0004466220274868972767674135128,0.0004466220274868972767674135128,0,0.0000051335958419667927048267406200848505825109751063455556708277102425022183169056994,1,1,PASS
alpha,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,55132,Cs-132,0,gs,0.0005422924013380702811735609436,0.0005422924013380702811735609436,0,0.0000062332573077600329805407801662735663654662730525714130751740979298346922427820747,1,1,PASS
alpha,CsI_Side_Segment_00,CsI_Side_Segment_00,53126,I-126,0,gs,0.0003749950805727525390322764552,0.0003749950805727525390322764552,0,0.0000043102961070202957185821280546998149969020210223193514659143396457846358291169749,1,1,PASS
alpha,CsI_Side_Segment_01,CsI_Side_Segment_01,48107,Cd-107,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,CsI_Side_Segment_01,CsI_Side_Segment_01,52127,Te-127,0,gs,0.001357408327425121691656553975,0.001357408327425121691656553975,0,0.000015602422891524618437092344492104094888018784276571373930797031757858880136724055,2,2,PASS
alpha,CsI_Side_Segment_01,CsI_Side_Segment_01,54123,Xe-123,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,CsI_Side_Segment_01,CsI_Side_Segment_01,55132,Cs-132,0,gs,0.0005422924013380702811735609436,0.0005422924013380702811735609436,0,0.0000062332573077600329805407801662735663654662730525714130751740979298346922427820747,1,1,PASS
alpha,CsI_Side_Segment_01,CsI_Side_Segment_01,55134,Cs-134,0,gs,0.00000929173936383665083928556885,0.00000929173936383665083928556885,0,0.00000010680179576281735623677386472772964339134615483862064078580802128545726453728372,1,1,PASS
alpha,CsI_Side_Segment_02,CsI_Side_Segment_02,51114,Sb-114,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,CsI_Side_Segment_02,CsI_Side_Segment_02,53126,I-126,0,gs,0.0003749950805727525390322764552,0.0003749950805727525390322764552,0,0.0000043102961070202957185821280546998149969020210223193514659143396457846358291169749,1,1,PASS
alpha,CsI_Side_Segment_02,CsI_Side_Segment_02,55124,Cs-124,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,CsI_Side_Segment_02,CsI_Side_Segment_02,55132,Cs-132,0,gs,0.0005422924013380702811735609436,0.0005422924013380702811735609436,0,0.0000062332573077600329805407801662735663654662730525714130751740979298346922427820747,1,1,PASS
alpha,CsI_Side_Segment_03_below_side_port,CsI_Side_Segment_03_below_side_port,55131,Cs-131,0,gs,0.0004466220274868972767674135128,0.0004466220274868972767674135128,0,0.0000051335958419667927048267406200848505825109751063455556708277102425022183169056994,1,1,PASS
alpha,CsI_Side_Segment_04_below_side_port,CsI_Side_Segment_04_below_side_port,51120,Sb-120,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,CsI_Side_Segment_04_rectcut_window_band,Window,53122,I-122,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,CsI_Side_Segment_05,CsI_Side_Segment_05,53128,I-128,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,CsI_Side_Segment_06,CsI_Side_Segment_06,50111,Sn-111,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,CsI_TopAnnulus_Segment_00,CsI_TopAnnulus_Segment_00,56131,Ba-131,0,gs,0.000403462373866759445525846412,0.000403462373866759445525846412,0,0.0000046375069687605406514041085995743428698217304000621097199757955081717400040333806,1,1,PASS
alpha,CsI_TopAnnulus_Segment_02,CsI_TopAnnulus_Segment_02,54125,Xe-125,0,gs,0.0006787039079712173102139547006,0.0006787039079712173102139547006,0,0.0000078012085062013001459539346138283912660282144703264664654218855316659841265130907,1,1,PASS
alpha,CsI_TopAnnulus_Segment_04,CsI_TopAnnulus_Segment_04,48109,Cd-109,0,gs,0.00001512616054103533876839627636,0.00001512616054103533876839627636,0,0.00000017386422988431595323138700428839275786496992865932522831019025981283812017180722,1,1,PASS
alpha,CsI_TopAnnulus_Segment_04,CsI_TopAnnulus_Segment_04,53124,I-124,0,gs,0.0006224189124019870421801063666,0.0006224189124019870421801063666,0,0.00000715425335970934453168276470862871605908397316736079665418511912069408678167621,1,1,PASS
alpha,CsI_TopAnnulus_Segment_05,CsI_TopAnnulus_Segment_05,53125,I-125,0,gs,0.0001089957958824253357549497895,0.0001089957958824253357549497895,0,0.0000012528275143130852880263855442600456119380792274415695524993968830508240912626059,1,1,PASS
alpha,CsI_TopAnnulus_Segment_07,CsI_TopAnnulus_Segment_07,55131,Cs-131,0,gs,0.0004466220274868972767674135128,0.0004466220274868972767674135128,0,0.0000051335958419667927048267406200848505825109751063455556708277102425022183169056994,1,1,PASS
alpha,Cu_50mK_StillLike_Can_side_wall_below_side_port,Cu_50mK_StillLike_Can_side_wall_below_side_port,28063,Ni-63,0,gs,0.0000001908821938318160019438087249,0.0000001908821938318160019438087249,0,0.0000000021940521878743610605042908811220590196916320976837833967421296660930007402408396,1,1,PASS
