production_tag,raw_volume,ZA,exc_keV_decimal,direct_activity_Bq,tag_native_activity_Bq,relative_delta_vs_direct,classification
alpha,ColdPlate_4K,27060,0,0.00000365518153477369797393233048,0.00000365537,0.000051561112494428940009764056375494377404246249937999917053508518917418259606720686,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,ColdPlate_4K,28059,0,0.0000000002385184145219738617452470348,0.00000000025421,0.065787731775235860173766739232680707596061738511524319307424253090415283649372405,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,ColdPlate_4K,29062,0,0,0.000678701,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,ColdPlate_4K,29062,40.83,0,0.000285336,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,ColdPlate_4K,30062,0,0.0006787041637131987598717520613,0.000678704,0.00000024121437220039264875517897392682672074725387588920510846865227276183347196839451,MATCH
alpha,ColdPlate_4K,30063,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,ColdPlate_60K,11025,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,ColdPlate_60K,12025,585.04,0,0.0000881345,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,ColdPlate_60K,13026,0,0.00000000002694559910986569123304257647,0.0000000000269456,0.000000033034496844460558964659754272979346589706788314528527722513054242617883734707147,MATCH
alpha,ColdPlate_CP_100mK_intercept,25054,0,0.00002223901612328696155005171726,0.0000222307,0.00037394294967274001662219394881499351164867962411864204610834749300281943295409244,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,ColdPlate_MXC_50mK_SD_anchor,29062,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,ColdPlate_Still_0p7K,25054,0,0.00002223901612328696155005171726,0.0000222307,0.00037394294967274001662219394881499351164867962411864204610834749300281943295409244,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
