production_tag,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,state_id,activity_day15_direct_Bq,half_life_s,half_life_bin,near_focal_plane_heuristic,beta_plus_relevant_heuristic,line_or_cascade_risk_status
alpha,ColdPlate_4K,ColdPlate_4K,27060,Co-60,0,gs,0.00000365518153477369797393233048,166352732.64,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,ColdPlate_4K,ColdPlate_4K,28059,Ni-59,0,gs,0.0000000002385184145219738617452470348,2556165600000,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,ColdPlate_4K,ColdPlate_4K,30062,Zn-62,0,gs,0.0006787041637131987598717520613,33094.8,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,ColdPlate_4K,ColdPlate_4K,30063,Zn-63,0,gs,0.0006787041637143035545094462046,2308.2,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,ColdPlate_60K,ColdPlate_60K,11025,Na-25,0,gs,0.0006787041637143035545094462046,59.1,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,ColdPlate_60K,ColdPlate_60K,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,22626799200000,gt_5us,False,True,BETA_PLUS_HEURISTIC
alpha,ColdPlate_CP_100mK_intercept,ColdPlate_CP_100mK_intercept,25054,Mn-54,0,gs,0.00002223901612328696155005171726,26963798.4,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,ColdPlate_MXC_50mK_SD_anchor,ColdPlate_MXC_50mK_SD_anchor,29062,Cu-62,0,gs,0.0006787041637143035545094462046,580.32,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,25054,Mn-54,0,gs,0.00002223901612328696155005171726,26963798.4,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,26055,Fe-55,0,gs,0.000006973575649685694137896397167,86979057.12,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_00,CsI_Bottom_Quadrant_00,53126,I-126,0,gs,0.0007499901611455050780645529104,1117152,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,50113,Sn-113,0,gs,0.000117261739335365794396075461,9942912,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,51115,Sb-115,0,gs,0.0006787041637143035545094462046,1926,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,53125,I-125,0,gs,0.0001089957958824253357549497895,5131468.8,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,53128,I-128,0,gs,0.001357408327428607109018892409,1499.4,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,54121,Xe-121,0,gs,0.0006787041637143035545094462046,2406,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,55126,Cs-126,0,gs,0.0006787041637143035545094462046,98.4,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,55131,Cs-131,0,gs,0.0004466220274868972767674135128,837129.6,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,55132,Cs-132,0,gs,0.001084584802676140562347121887,559872,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_02,CsI_Bottom_Quadrant_02,53125,I-125,0,gs,0.0001089957958824253357549497895,5131468.8,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_02,CsI_Bottom_Quadrant_02,53126,I-126,0,gs,0.0003749950805727525390322764552,1117152,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_02,CsI_Bottom_Quadrant_02,55132,Cs-132,0,gs,0.0005422924013380702811735609436,559872,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,51118,Sb-118,0,gs,0.0006787041637143035545094462046,216,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,52114,Te-114,0,gs,0.0006787041637143035545094462046,912,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,53126,I-126,0,gs,0.0003749950805727525390322764552,1117152,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,55131,Cs-131,0,gs,0.0004466220274868972767674135128,837129.6,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,55132,Cs-132,0,gs,0.0005422924013380702811735609436,559872,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Side_Segment_00,CsI_Side_Segment_00,53126,I-126,0,gs,0.0003749950805727525390322764552,1117152,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Side_Segment_01,CsI_Side_Segment_01,48107,Cd-107,0,gs,0.0006787041637143035545094462046,23400,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Side_Segment_01,CsI_Side_Segment_01,52127,Te-127,0,gs,0.001357408327425121691656553975,33660,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Side_Segment_01,CsI_Side_Segment_01,54123,Xe-123,0,gs,0.0006787041637143035545094462046,7488,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Side_Segment_01,CsI_Side_Segment_01,55132,Cs-132,0,gs,0.0005422924013380702811735609436,559872,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Side_Segment_01,CsI_Side_Segment_01,55134,Cs-134,0,gs,0.00000929173936383665083928556885,65166444,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Side_Segment_02,CsI_Side_Segment_02,51114,Sb-114,0,gs,0.0006787041637143035545094462046,209.4,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Side_Segment_02,CsI_Side_Segment_02,53126,I-126,0,gs,0.0003749950805727525390322764552,1117152,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Side_Segment_02,CsI_Side_Segment_02,55124,Cs-124,0,gs,0.0006787041637143035545094462046,30.9,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Side_Segment_02,CsI_Side_Segment_02,55132,Cs-132,0,gs,0.0005422924013380702811735609436,559872,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Side_Segment_03_below_side_port,CsI_Side_Segment_03_below_side_port,55131,Cs-131,0,gs,0.0004466220274868972767674135128,837129.6,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Side_Segment_04_below_side_port,CsI_Side_Segment_04_below_side_port,51120,Sb-120,0,gs,0.0006787041637143035545094462046,953.4,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Side_Segment_04_rectcut_window_band,Window,53122,I-122,0,gs,0.0006787041637143035545094462046,217.8,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Side_Segment_05,CsI_Side_Segment_05,53128,I-128,0,gs,0.0006787041637143035545094462046,1499.4,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_Side_Segment_06,CsI_Side_Segment_06,50111,Sn-111,0,gs,0.0006787041637143035545094462046,2118,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_TopAnnulus_Segment_00,CsI_TopAnnulus_Segment_00,56131,Ba-131,0,gs,0.000403462373866759445525846412,995328,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_TopAnnulus_Segment_02,CsI_TopAnnulus_Segment_02,54125,Xe-125,0,gs,0.0006787039079712173102139547006,60732,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_TopAnnulus_Segment_04,CsI_TopAnnulus_Segment_04,48109,Cd-109,0,gs,0.00001512616054103533876839627636,39856320,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_TopAnnulus_Segment_04,CsI_TopAnnulus_Segment_04,53124,I-124,0,gs,0.0006224189124019870421801063666,360806.4,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_TopAnnulus_Segment_05,CsI_TopAnnulus_Segment_05,53125,I-125,0,gs,0.0001089957958824253357549497895,5131468.8,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,CsI_TopAnnulus_Segment_07,CsI_TopAnnulus_Segment_07,55131,Cs-131,0,gs,0.0004466220274868972767674135128,837129.6,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Cu_50mK_StillLike_Can_side_wall_below_side_port,Cu_50mK_StillLike_Can_side_wall_below_side_port,28063,Ni-63,0,gs,0.0000001908821938318160019438087249,3193629120,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,Window,26055,Fe-55,0,gs,0.000006973575649685694137896397167,86979057.12,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,G10_Support_Ring_60K_Top,G10_Support_Ring_60K_Top,6011,C-11,0,gs,0.0006787041637143035545094462046,1220.412,gt_5us,False,True,BETA_PLUS_HEURISTIC
alpha,NbTi_Bundle_4K_60K,NbTi_Bundle_4K_60K,23048,V-48,0,gs,0.000324709514514696320608987672,1380110.4,gt_5us,False,True,BETA_PLUS_HEURISTIC
alpha,NbTi_Bundle_4K_60K,NbTi_Bundle_4K_60K,41092,Nb-92,0,gs,0.0000000000005567721795900592915957420816,1095048720000000,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Nb_MagShield_Inner_Cylinder_2mm,Nb_MagShield_Inner_Cylinder_2mm,31068,Ga-68,0,gs,0.0006787041637143035545094462046,4070.52,gt_5us,False,True,BETA_PLUS_HEURISTIC
alpha,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,22626799200000,gt_5us,True,True,BETA_PLUS_HEURISTIC
alpha,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,14025,Si-25,0,gs,0.0006787041637143035545094462046,0.2206,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,9022,F-22,0,gs,0.0006787041637143035545094462046,4.23,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11022,Na-22,0,gs,0.00001476974091239649761503356871,82109719.44,gt_5us,True,True,BETA_PLUS_HEURISTIC
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,22626799200000,gt_5us,True,True,BETA_PLUS_HEURISTIC
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13028,Al-28,0,gs,0.001357408327428607109018892409,134.7,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,15030,P-30,0,gs,0.001357408327428607109018892409,150,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11022,Na-22,0,gs,0.00002215461136859474642255035307,82109719.44,gt_5us,True,True,BETA_PLUS_HEURISTIC
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11024,Na-24,0,gs,0.00135740825038515144604709121,53841.6,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,12027,Mg-27,0,gs,0.0006787041637143035545094462046,566.1,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
