pilot_event_id,original_event_id,sampling_method,pilot_event_weight_Bq,event_id,source_name,production_tag,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,state_id,point_index_within_key,x_cm,y_cm,z_cm,key_activity_Bq,key_rpip_count,event_weight_Bq
0,102,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,102,RP2_alpha_a19dc9ea435bdecf_11024_gs_000000,alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,11024,Na-24,0,gs,0,33.89331,5.133822,19.62721,0.0006787041251925757230235456049,1,0.0006787041251925757230235456049
1,319,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,319,RP2_muminus_1090f60955fdcbfc_29062_gs_000000,muminus,DR_Still_Pot_Cu,DR_Still_Pot_Cu,29062,Cu-62,0,gs,0,5.957494,-1.011856,7.841573,0.0006753252366339629165406059558,1,0.0006753252366339629165406059558
2,454,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,454,RP2_muminus_737ccb07fb030367_12027_gs_000024,muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,12027,Mg-27,0,gs,24,-7.541398,-3.338087,-22.79932,0.1796365129446341357998011843,266,0.00067532523663396291654060595601503759398496240601503759398496240601503759398496241
3,583,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,583,RP2_muminus_737ccb07fb030367_12027_gs_000153,muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,12027,Mg-27,0,gs,153,-15.51485,-6.349554,-14.87841,0.1796365129446341357998011843,266,0.00067532523663396291654060595601503759398496240601503759398496240601503759398496241
4,713,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,713,RP2_muminus_f5de19895b55137d_10024_gs_000008,muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,10024,Ne-24,0,gs,8,-12.03032,10.54595,10.45782,0.0121558542594113324977309072,18,0.00067532523663396291654060595555555555555555555555555555555555555555555555555555556
5,843,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,843,RP2_muminus_f5de19895b55137d_12023_gs_000001,muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,12023,Mg-23,0,gs,1,-2.6083,17.53184,8.108943,0.002701300946535851666162423823,4,0.00067532523663396291654060595575
6,972,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,972,RP2_muminus_f5de19895b55137d_12027_gs_000126,muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,12027,Mg-27,0,gs,126,-13.20599,-1.393007,13.72101,0.2437924104248606128711587501,361,0.0006753252366339629165406059559556786703601108033240997229916897506925207756232687
7,1100,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,1100,RP2_muminus_f5de19895b55137d_12027_gs_000254,muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,12027,Mg-27,0,gs,254,11.53586,5.724762,-14.13713,0.2437924104248606128711587501,361,0.0006753252366339629165406059559556786703601108033240997229916897506925207756232687
8,1229,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,1229,RP2_muminus_f34dc79bcf8e525a_10023_gs_000015,muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,10023,Ne-23,0,gs,15,-4.709511,18.46107,-11.63477,0.01080520378614340666464969529,16,0.000675325236633962916540605955625
9,1359,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,1359,RP2_muminus_f34dc79bcf8e525a_11025_gs_000017,muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11025,Na-25,0,gs,17,-24.62081,-8.354362,-0.3307951,0.07225980031983403206984483727,107,0.00067532523663396291654060595579439252336448598130841121495327102803738317757009346
