pilot,window,stage,events,rate_s-1,normalization_rule,activity_Bq,triggers,event_weight_mapping
v2_weighted_eventlist,broad_480_550,raw,0,0,pilot_event_weight_Bq from weighted PPS ledger,86.999842066995796472549657847893265995051576885679999999999999999999999999991435,1000,PASS_ONE_BASED
v2_weighted_eventlist,broad_480_550,active_veto_pass,0,0,pilot_event_weight_Bq from weighted PPS ledger,86.999842066995796472549657847893265995051576885679999999999999999999999999991435,1000,PASS_ONE_BASED
v2_weighted_eventlist,broad_480_550,side_compton_fov_pass,0,0,pilot_event_weight_Bq from weighted PPS ledger,86.999842066995796472549657847893265995051576885679999999999999999999999999991435,1000,PASS_ONE_BASED
v2_weighted_eventlist,w2_510p58_511p42,raw,0,0,pilot_event_weight_Bq from weighted PPS ledger,86.999842066995796472549657847893265995051576885679999999999999999999999999991435,1000,PASS_ONE_BASED
v2_weighted_eventlist,w2_510p58_511p42,active_veto_pass,0,0,pilot_event_weight_Bq from weighted PPS ledger,86.999842066995796472549657847893265995051576885679999999999999999999999999991435,1000,PASS_ONE_BASED
v2_weighted_eventlist,w2_510p58_511p42,side_compton_fov_pass,0,0,pilot_event_weight_Bq from weighted PPS ledger,86.999842066995796472549657847893265995051576885679999999999999999999999999991435,1000,PASS_ONE_BASED
native_volume_activation,broad_480_550,raw,3,0.260999526201,sum(RP activity in native ActivationSources store)/Triggers,86.99984206699579647254965784789326599505157688568,1000,NOT_NEEDED
native_volume_activation,broad_480_550,active_veto_pass,1,0.086999842067,sum(RP activity in native ActivationSources store)/Triggers,86.99984206699579647254965784789326599505157688568,1000,NOT_NEEDED
native_volume_activation,broad_480_550,side_compton_fov_pass,1,0.086999842067,sum(RP activity in native ActivationSources store)/Triggers,86.99984206699579647254965784789326599505157688568,1000,NOT_NEEDED
native_volume_activation,w2_510p58_511p42,raw,3,0.260999526201,sum(RP activity in native ActivationSources store)/Triggers,86.99984206699579647254965784789326599505157688568,1000,NOT_NEEDED
native_volume_activation,w2_510p58_511p42,active_veto_pass,1,0.086999842067,sum(RP activity in native ActivationSources store)/Triggers,86.99984206699579647254965784789326599505157688568,1000,NOT_NEEDED
native_volume_activation,w2_510p58_511p42,side_compton_fov_pass,1,0.086999842067,sum(RP activity in native ActivationSources store)/Triggers,86.99984206699579647254965784789326599505157688568,1000,NOT_NEEDED
