replica_index,response_seed,prompt_final_events,prompt_final_cps,delayed_final_events,delayed_final_cps,atm511_final_events,atm511_final_cps,science_final_events,science_unit_acceptance,day15_background_cps,day15_signal_cps,Z20d,flux_3sigma_20d_ph_cm2_s,reference_prompt_final_cps,reference_delayed_final_cps,reference_signal_final_cps,reference_Z20d,reference_flux_3sigma_20d_ph_cm2_s
0,26071301,5,0.003393031514121508,29,0.0009012256072797496,8,0.0015552613519498118,27901,0.7501478733129,0.005849518473351069,0.0011134811712591435,18.563290210456216,1.616092818669709e-05,0.04273206282902456,0.0036999863806205166,0.0011171527338467153,6.75286710805973,4.442557438187135e-05
1,26079220,5,0.003393031514121508,30,0.0009323023523583617,9,0.0017496690209435383,27959,0.751707264612572,0.006075002887423408,0.0011157958520208735,18.232260994829574,1.645434979704799e-05,0.04001840555451511,0.003984600717591325,0.0011157958520208735,6.928927247650547,4.3296745553465536e-05
2,26087139,5,0.003393031514121508,28,0.0008701488622011375,9,0.0017496690209435383,27945,0.7513308598160995,0.006012849397266183,0.0011152371359749386,18.309508113306578,1.6384929520961443e-05,0.04205373341869632,0.0036999863806205166,0.0011177513581816455,6.8064505500479004,4.40758362665088e-05
3,26095058,5,0.003393031514121508,30,0.0009323023523583617,9,0.0017496690209435383,27949,0.751438404043663,0.006075002887423408,0.00111539676913092,18.225739924335336,1.646023707380103e-05,0.04273206282902456,0.0036999863806205166,0.0011206646632783057,6.774095711362711,4.428635389617938e-05
4,26102977,5,0.003393031514121508,30,0.0009323023523583617,9,0.0017496690209435383,27993,0.7526213905468625,0.006075002887423408,0.0011171527338467153,18.254432640418383,1.6434364513512712e-05,0.04205362020763082,0.003842293549105921,0.001119906405787394,6.809156886055188,4.405831808845306e-05
5,26110896,3,0.0020357386787606406,31,0.0009633790974369737,8,0.0015552613519498118,27945,0.7513308598160995,0.004554379128147426,0.0011152371359749386,21.025007359880714,1.4268722710292649e-05,0.04001840555451511,0.0036999863806205166,0.0011198265892094035,6.9762252157755436,4.3003198824717014e-05
6,26118815,5,0.003393031514121508,29,0.0009012256072797496,9,0.0017496690209435383,27900,0.7501209872560092,0.0060439261423447955,0.0011134412629701482,18.23675251287948,1.6450297265816858e-05,0.04137529079730258,0.003842293549105921,0.001115157319396948,6.831018423427812,4.391731677536008e-05
7,26126734,5,0.003393031514121508,30,0.0009323023523583617,9,0.0017496690209435383,27938,0.7511426574178632,0.006075002887423408,0.0011149577779519713,18.218566746791684,1.6466717946011338e-05,0.04205373341869632,0.003984600717591325,0.0011176316333146594,6.784961268891713,4.421543294218441e-05
8,26134653,5,0.003393031514121508,31,0.0009633790974369737,9,0.0017496690209435383,27946,0.7513577458729903,0.00610607963250202,0.001115277044263934,18.181049680352242,1.6500697444559636e-05,0.04273217604009005,0.003842293549105921,0.0011179508996266223,6.747503914027225,4.4460885658226476e-05
9,26142572,5,0.003393031514121508,30,0.0009323023523583617,8,0.0015552613519498118,27976,0.7521643275797173,0.005880595218429681,0.0011164742929337945,18.56776157386029,1.6157036420714292e-05,0.04273206282902456,0.003842293549105921,0.0011178710830486314,6.74703031561768,4.446400652826109e-05
10,26150491,5,0.003393031514121508,30,0.0009323023523583617,8,0.0015552613519498118,27887,0.7497714685164275,0.005880595218429681,0.0011129224552132086,18.508691998336996,1.6208600803717247e-05,0.04137529079730258,0.003842293549105921,0.001117472000158678,6.845197266280229,4.382634836220345e-05
11,26158410,5,0.003393031514121508,30,0.0009323023523583617,9,0.0017496690209435383,27907,0.7503091896542454,0.006075002887423408,0.0011137206209931156,18.198351428259556,1.648500970995323e-05,0.03933984972205588,0.003842293549105921,0.0011180307162046129,7.00839524283789,4.280580498175811e-05
12,26166329,4,0.002714184522160414,29,0.0009012256072797496,8,0.0015552613519498118,27984,0.7523794160348445,0.005170671481389976,0.0011167935592457572,19.779338789693124,1.5167342204398054e-05,0.04273206282902456,0.003415372043649708,0.0011185894322505478,6.782061698864602,4.423433659564371e-05
13,26174248,5,0.003393031514121508,26,0.0008079953720439133,8,0.0015552613519498118,27968,0.7519492391245901,0.005756288238115233,0.0011161550266218317,18.746139106475994,1.6003295307691534e-05,0.041375177586237086,0.003984600717591325,0.0011207444798562965,6.85463200342917,4.376602563783422e-05
14,26182167,3,0.0020357386787606406,27,0.0008390721171225254,8,0.0015552613519498118,27913,0.7504705059955907,0.004430072147832978,0.0011139600707270876,21.269123944051884,1.4104953301750725e-05,0.04273217604009005,0.0035576792121351122,0.0011155164939979062,6.753171930495877,4.44235691150205e-05
15,26190086,5,0.003393031514121508,29,0.0009012256072797496,9,0.0017496690209435383,27942,0.7512502016454268,0.0060439261423447955,0.0011151174111079527,18.264205694352114,1.642557059531857e-05,0.04137529079730258,0.003984600717591325,0.001114478878484027,6.8163021829060355,4.401213325787432e-05
16,26198005,5,0.003393031514121508,29,0.0009012256072797496,9,0.0017496690209435383,27992,0.7525945044899716,0.0060439261423447955,0.0011171128255577198,18.29688804706626,1.6396230835991933e-05,0.04273206282902456,0.0036999863806205166,0.0011185495239615525,6.761310330222249,4.437009771006012e-05
17,26205924,4,0.0027145856707217345,30,0.0009323023523583617,9,0.0017496690209435383,27952,0.7515190622143357,0.005396557044023634,0.0011155164939979062,19.314657065681388,1.5532245743728226e-05,0.03730486149107114,0.003984600717591325,0.0011191082400074874,7.174566204663135,4.181437475690363e-05
18,26213843,4,0.0027145856707217345,31,0.0009633790974369737,9,0.0017496690209435383,27985,0.7524063020917353,0.0054276337891022465,0.0011168334675347525,19.286567030604676,1.5554867775273243e-05,0.0400185187655806,0.0035576792121351122,0.0011167137426677663,6.968007116202364,4.305391699477815e-05
