energy_lo_keV,energy_hi_keV,energy_center_keV,prompt_raw_cps_per_keV,prompt_raw_events_per_bin,prompt_active_cps_per_keV,prompt_active_events_per_bin,prompt_compton_cps_per_keV,prompt_compton_events_per_bin,delayed_raw_cps_per_keV,delayed_raw_events_per_bin,delayed_active_cps_per_keV,delayed_active_events_per_bin,delayed_compton_cps_per_keV,delayed_compton_events_per_bin,science_raw_cps_per_keV,science_raw_events_per_bin,science_active_cps_per_keV,science_active_events_per_bin,science_compton_cps_per_keV,science_compton_events_per_bin
480.0,480.5,480.25,0.005426861704756938,4,0.0013568852427874763,1,0.0013568852427874763,1,0.0,0,0.0,0,0.0,0,0.00021508845512717106,4,0.00021508845512717106,4,0.00016131634134537829,3
480.5,481.0,480.75,0.0013566588206564874,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
481.0,481.5,481.25,0.004069928610055302,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
481.5,482.0,481.75,0.0013566588206564874,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.377211378179277e-05,1,5.377211378179277e-05,1,5.377211378179277e-05,1
482.0,482.5,482.25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.00016131634134537823,3,0.00016131634134537823,3,0.00016131634134537826,3
482.5,483.0,482.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.00010754422756358549,2,0.00010754422756358549,2,0.00010754422756358549,2
483.0,483.5,483.25,0.005428065553943609,4,0.0013568852427874763,1,0.0013568852427874763,1,0.0,0,0.0,0,0.0,0,0.0001075442275635856,2,0.0001075442275635856,2,5.3772113781792744e-05,1
483.5,484.0,483.75,0.0027133176413129748,2,0.0013566588206564874,1,0.0013566588206564874,1,0.0,0,0.0,0,0.0,0,0.0001075442275635856,2,0.0001075442275635856,2,0.0001075442275635856,2
484.0,484.5,484.25,0.0013566588206564874,1,0.0,0,0.0,0,0.000284614336970809,1,0.0,0,0.0,0,0.0001613163413453784,3,0.0001613163413453784,3,0.0001613163413453784,3
484.5,485.0,484.75,0.0013566588206564874,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
