time_bin_id,day_mid,elapsed_stop_day,dt_s,prompt_event_rate_hz,delayed_event_rate_hz,atm511_event_rate_hz,coincidence_occupancy_rate_hz,accidental_live_factor,prompt_final_cps_noacc,delayed_final_cps_noacc,atm511_final_cps_noacc,background_final_cps_noacc,signal_final_cps_noacc,background_final_upper95_cps_noacc,signal_final_lower95_cps_noacc,cumulative_source_counts,cumulative_background_counts,cumulative_source_lower95_counts,cumulative_background_upper95_counts,counting_Z,counting_Z_conservative95
0,0.0,0.125,10800.0,23724.45512763034,7.443258983001408,202.4765592953111,23934.374945908654,0.976349780662726,0.0033916678151365803,0.0004568871585473071,0.0015552613519498118,0.005403816325633699,0.0011134811712591435,0.04707929669888339,0.0011069016402656172,11.741188651174152,56.980960750160506,11.67181027583631,496.43129886167014,1.5554182214803267,0.5238520430776008
1,0.25,0.375,21600.0,23433.95825018712,8.792275191603657,184.8855106204046,23627.63603599913,0.9766493110666032,0.0033501381401947784,0.0005396933841253948,0.0014201411274676902,0.005309972651787863,0.001150235867439916,0.04640106951377815,0.001143439153912081,36.00613330915883,168.9981532046247,35.793374013196285,1475.290866446786,2.7697176957217016,0.9318881980969095
2,0.5,0.625,21600.0,23202.019424622824,9.794061185108443,170.3314266947042,23382.144912502637,0.9768890992349683,0.0033169799729991564,0.0006011856897256938,0.0013083484126889774,0.005226514075413828,0.0011808809203230368,0.04584521675755576,0.001173903125982659,60.92367079801447,279.2818051536545,60.563674427531055,2442.661824501229,3.6455641205389755,1.2254075270029552
3,0.75,0.875,21600.0,23036.365228966843,10.489186475895002,159.60115925051895,23206.455574693256,0.9770607433115016,0.0032932979115639755,0.000643854340603911,0.0012259271669402948,0.005163079419108181,0.0012035698288419296,0.045441344914950714,0.0011964579663370756,86.32442476047927,388.24607699787384,85.8143360020249,3401.679236078232,4.381069623159146,1.4713404234395646
4,1.0,1.125,21600.0,22938.487530896724,11.007061742555067,153.07096210669314,23102.565554745972,0.9771622554445714,0.0032793052345318507,0.0006756429105846959,0.001175767468090451,0.005130715613206998,0.001217402742623429,0.045209283415336414,0.001210209141794385,112.01978497143172,496.538576435828,111.35786300442241,4355.898231620153,5.027108252112549,1.6872600582310817
5,1.25,1.375,21600.0,22907.619371861452,11.408910666043628,176.97586285940073,23096.004145386894,0.9771686670271741,0.0032748922968711446,0.0007003094730726168,0.0013593856034058464,0.005334587373349607,0.0012220394947885728,0.04555009521189135,0.001214818495512777,137.81318098165733,609.1348757033583,136.99884651513025,5317.316949357311,5.583853614842171,1.8787571072594496
6,1.5,1.625,21600.0,22943.17828529386,11.73605374599752,179.54188036574533,23134.4562194056,0.9771310935876537,0.003279975828677507,0.0007203903909312987,0.0013790956768579726,0.005379461896466779,0.001217402742623429,0.04568275867935111,0.001210209141794385,163.5077217635601,722.6739685968046,162.54155893046283,6281.498698600744,6.082289138371112,2.050844742333589
7,1.75,1.875,21600.0,23045.572462651162,12.018224904718831,187.20135972241323,23244.792047278293,0.9770232869670783,0.0032946141853407835,0.0007377108118956378,0.0014379296093435037,0.005470254606579925,0.0012035698288419296,0.04601069486547428,0.0011964579663370756,188.9075019693823,838.116597140183,187.79125250221648,7252.4947377958115,6.525247435180198,2.20511705064312
8,2.0,2.125,21600.0,23215.399102912055,12.277052760614833,199.78723732611934,23427.46339299879,0.9768448291085127,0.003318892742923116,0.0007535983584533057,0.0015346041532291778,0.0056070952546056,0.0011808809203230363,0.046534373384815086,0.0011739031259826586,213.82391025888825,956.4254564650388,212.56043038961081,8234.362957357858,6.914021153009425,2.3424342944310648
9,2.25,2.375,21600.0,23451.003495326117,12.527599156582166,216.85819290814396,23680.389287390844,0.9765977909989124,0.003352574942600905,0.0007689775668349042,0.0016657294427440594,0.005787281952179869,0.0011502358674399158,0.047245418501061134,0.0011434391539120808,238.0875748959103,1078.5053467053922,236.6807216696184,9230.982018365696,7.24979256011934,2.4634226619105757
