family_a,family_b,total_variation_distance
gamma,muminus,0.9871074899032908
eplus,muminus,0.9646708555711402
muminus,muplus,0.9308466166508506
muminus,n,0.8227558340884576
alpha,gamma,0.7492558579460723
gamma,p,0.7215824129178358
eplus,gamma,0.7058472970843925
gamma,muplus,0.7058472970843925
alpha,muplus,0.6510241340733763
gamma,n,0.6460452552718893
muplus,p,0.6398916080236793
alpha,eplus,0.6334567292413528
eplus,p,0.573914318896619
alpha,n,0.4866473252709011
n,p,0.4563355552797469
muminus,p,0.4291893395304949
alpha,muminus,0.3514486993888868
muplus,n,0.2760074920398967
eplus,muplus,0.25042266123334667
eplus,n,0.19750604792228732
alpha,p,0.07774064014160803
