time_bin_id,day_mid,altitude_km,latitude_deg,longitude_deg,Rc_GV_parma,depth_g_cm2_parma,W_index,flux_alpha,flux_eminus,flux_eplus,flux_gamma,flux_muminus,flux_muplus,flux_n,flux_p,scale_alpha,scale_eminus,scale_eplus,scale_gamma,scale_muminus,scale_muplus,scale_n,scale_p
0,0.0,38.75,33.804542129382995,100.2165063509461,11.6977289353,3.46146897201,114.6,3.698364478727e-04,1.818597611524e+00,6.879274408480e-02,1.672293395287e+02,3.295012336439e-05,3.589940634176e-05,5.957657928673e+00,2.158907397463e-03,0.988057593631,0.991606226249,0.992880138908,0.99481095789,0.990330158561,0.99033947076,0.988641660054,0.988792148348
1,0.25,39.52254248593737,33.844127549535315,100.19151111077974,11.6779362252,3.08973049374,114.6,3.662298201146e-04,1.766631927230e+00,6.676896315449e-02,1.593380003779e+02,3.031812932841e-05,3.298087621051e-05,5.687219263834e+00,2.129041500619e-03,0.978422102147,0.963271483165,0.963671071616,0.947867098147,0.911224443473,0.909827398832,0.943763801381,0.975113393836
2,0.5,40.219463130731185,33.89152906522061,100.16069690242163,11.6542354674,2.78875577654,114.6,3.628318394210e-04,1.718136800228e+00,6.505457478486e-02,1.527162507333e+02,2.738742397276e-05,2.953881662734e-05,5.443023206840e+00,2.092737948974e-03,0.969344033594,0.936829091745,0.938927442252,0.908475750161,0.823140830933,0.81487297442,0.903240763963,0.958486155973
3,0.75,40.77254248593737,33.944369766510924,100.125,11.6278151167,2.57091107208,114.6,3.597686989174e-04,1.675963799815e+00,6.375236109618e-02,1.476673346091e+02,2.438771572609e-05,2.598153057119e-05,5.235225285779e+00,2.052032474010e-03,0.961160526391,0.913833895049,0.920132696886,0.878440846597,0.732983306766,0.716739853313,0.868757803697,0.939842811618
4,1.0,41.127641290737884,34.0,100.08550503583142,11.6,2.44010220658,114.6,3.584648312844e-04,1.652234431540e+00,6.301035808805e-02,1.447174571485e+02,2.277627082988e-05,2.412481974933e-05,5.119854906348e+00,2.031418012153e-03,0.95767710467,0.90089524981,0.909423427186,0.860892667369,0.684550635909,0.665519674484,0.849612702584,0.930401268155
5,1.25,41.25,34.055630233489076,100.04341204441673,11.571943381,2.3965878547,114.6,3.588701050901e-04,1.647092111771e+00,6.284524762226e-02,1.438760307839e+02,2.230632217697e-05,2.358915906222e-05,5.093143625729e+00,2.029190618775e-03,0.958759836952,0.898091355058,0.907040401121,0.855887204989,0.670426126608,0.650742663513,0.845180107573,0.929381109029
6,1.5,41.127641290737884,34.10847093477939,100.0,11.5457645326,2.44010220658,114.6,3.608930075151e-04,1.660289641662e+00,6.325569412429e-02,1.451310896276e+02,2.289976107680e-05,2.426139768991e-05,5.152975531360e+00,2.044402461389e-03,0.964164236961,0.905287423461,0.912964342452,0.863353276996,0.688262188502,0.669287383736,0.855108894223,0.936348221448
7,1.75,40.77254248593737,34.155872450464685,99.95658795558327,11.5183992445,2.57091107208,114.6,3.646975011370e-04,1.692324422441e+00,6.425690928801e-02,1.485243061195e+02,2.465542862267e-05,2.627698908968e-05,5.303616991266e+00,2.078552507797e-03,0.974328348245,0.922754667383,0.927414800332,0.883538783667,0.741029533251,0.72489052383,0.880107043626,0.951989141384
8,2.0,40.21946313073118,34.195457870617005,99.91449496416858,11.4953918243,2.78875577654,114.6,3.700585760583e-04,1.742152344828e+00,6.581049754809e-02,1.540165453913e+02,2.782553988001e-05,3.001939548597e-05,5.546170177240e+00,2.132041833058e-03,0.988651032817,0.949923777123,0.949837614657,0.916210920185,0.836308593345,0.828130469766,0.920357455332,0.976487563549
9,2.25,39.522542485937365,34.2252422169756,99.875,11.4776944192,3.08973049374,114.6,3.754280950810e-04,1.797492722273e+00,6.775242636201e-02,1.610535330618e+02,3.093215477080e-05,3.364966922529e-05,5.822884521659e+00,2.179441758162e-03,1.00299627671,0.980098601114,0.977865316941,0.958072428847,0.929679242777,0.928277066606,0.966276729668,0.998197005015
