replica_index,response_seed,prompt_final_events,prompt_final_cps,delayed_final_events,delayed_final_cps,atm511_final_events,atm511_final_cps,science_final_events,science_unit_acceptance,day15_background_cps,day15_signal_cps,delayed_alpha_final_events,delayed_alpha_final_cps,delayed_eminus_final_events,delayed_eminus_final_cps,delayed_eplus_final_events,delayed_eplus_final_cps,delayed_gamma_final_events,delayed_gamma_final_cps,delayed_muminus_final_events,delayed_muminus_final_cps,delayed_muplus_final_events,delayed_muplus_final_cps,delayed_n_final_events,delayed_n_final_cps,delayed_p_final_events,delayed_p_final_cps
0,26071301,5,0.003393031514121508,78,0.0020165706738668153,8,0.0015552613519498118,28010,0.7530784535140078,0.006964863539938135,0.0011178311747596364,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,60,0.001968233118462706,12,2.6943940912105563e-05
1,26079220,5,0.003393031514121508,79,0.0020188160022761572,9,0.0017496690209435383,27923,0.7507393665644998,0.007161516537341203,0.001114359153617041,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,60,0.001968233118462706,13,2.9189269321447693e-05
2,26087139,5,0.003393031514121508,80,0.0020516198875838703,9,0.0017496690209435383,27925,0.7507931386782816,0.0071943204226489164,0.0011144389701950319,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,61,0.002001037003770418,13,2.9189269321447693e-05
3,26095058,5,0.003393031514121508,82,0.002117227658199294,9,0.0017496690209435383,27944,0.7513039737592085,0.00725992819326434,0.0011151972276859433,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,63,0.0020666447743858413,13,2.9189269321447693e-05
4,26102977,5,0.003393031514121508,78,0.0020451654728135173,9,0.0017496690209435383,28001,0.7528364790019897,0.0071878660078785635,0.001117472000158678,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,61,0.002001037003770418,12,2.6943940912105563e-05
5,26110896,3,0.0020357386787606406,76,0.0019204043463530234,8,0.0015552613519498118,27924,0.7507662526213906,0.005511404377063476,0.0011143990619060364,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,57,0.0018698214625395707,13,2.9189269321447693e-05
6,26118815,5,0.003393031514121508,78,0.002014606915915148,9,0.0017496690209435383,27918,0.7506049362800453,0.007157307450980194,0.0011141596121720643,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,60,0.001968233118462706,13,2.9189269321447693e-05
7,26126734,5,0.003393031514121508,77,0.001981803030607436,9,0.0017496690209435383,27960,0.7517341506694629,0.007124503565672483,0.0011158357603098688,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,59,0.0019354292331549942,13,2.9189269321447693e-05
8,26134653,5,0.003393031514121508,79,0.0020474108012228593,9,0.0017496690209435383,27929,0.7509006829058451,0.007190111336287905,0.001114598603351013,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,61,0.002001037003770418,13,2.9189269321447693e-05
9,26142572,5,0.003393031514121508,75,0.0019467538168903833,8,0.0015552613519498118,27896,0.7500134430284455,0.006895046682961703,0.0011132816298141668,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,58,0.0019026253478472825,12,2.6943940912105563e-05
