metric,mass_model_Bq,geo_opt_Bq,geo_minus_mass_Bq,geo_over_mass,relative_change_percent
fixed_total_activity,141.833438063,106.482268138,-35.3511699249,0.750755742738,-24.9244257
internal_activity_excluding_geoopt_added_layers,141.833438063,105.564814722,-36.268623341,0.744287215791,-25.5712784
geoopt_added_layers_activity,0,0.917453416078,0.917453416078,,
CsI_activity,89.4649266451,63.0197707448,-26.4451559002,0.704407560684,-29.5592439
common_internal_volume_names_activity,141.770350276,105.564814722,-36.2055355542,0.744618423502,-25.5381576
category:cold_plates,13.3787988552,11.5859321759,-1.7928666793,0.86599195498,-13.4008045
category:csi,89.4649266451,63.0197707448,-26.4451559002,0.704407560684,-29.5592439
category:geoopt_bpe,0,0.0474851426827,0.0474851426827,,
category:geoopt_plastic_skin,0,0.198559363278,0.198559363278,,
category:geoopt_w_baffle,0,0.671408910118,0.671408910118,,
category:other_internal,3.64837482104,3.18169118408,-0.466683636964,0.872084514378,-12.7915486
category:outer_mechanics,22.2803153549,16.2322110778,-6.04810427709,0.72854494289,-27.1455057
category:passive_w_or_collimator,8.05238330273,8.00648777627,-0.0458955264597,0.994300379809,-0.569962019
category:tes,0.085515236574,0.0661811936505,-0.0193340429235,0.773911133289,-22.6088867
category:window,4.92312384757,3.47254056953,-1.45058327804,0.705353080087,-29.464692
