VN,category,mass_model_Bq,geo_opt_Bq,geo_minus_mass_Bq,geo_over_mass,relative_change_percent
CsI_Bottom_Quadrant_03,csi,8.29763732381,5.65571434326,-2.64192298054,0.681605392301,-31.8394608
CsI_Bottom_Quadrant_00,csi,8.11888259073,5.73604752024,-2.38283507049,0.706507016962,-29.3492983
CsI_Bottom_Quadrant_01,csi,7.52354931788,4.96843937546,-2.55510994242,0.660385034449,-33.9614966
CsI_Bottom_Quadrant_02,csi,7.49249368022,5.13396915514,-2.35852452508,0.685215013086,-31.4784987
CsI_Side_Segment_07,csi,7.24183460953,5.31497521151,-1.92685939801,0.733926621926,-26.6073378
CsI_Side_Segment_00,csi,7.19097935509,5.22545862643,-1.96552072866,0.726668561874,-27.3331438
CsI_Side_Segment_01,csi,6.59220940535,4.77160826282,-1.82060114254,0.723825347378,-27.6174653
CsI_Side_Segment_06,csi,6.59008245681,4.82099785697,-1.76908459984,0.731553495509,-26.8446504
NF2_OuterSupport_Al_BaseMountAnnulus,outer_mechanics,6.20518858603,6.31222016734,0.107031581308,1.01724872336,1.72487234
CsI_Side_Segment_05,csi,5.92498395439,4.0273628867,-1.89762106769,0.679725534736,-32.0274465
CsI_Side_Segment_02,csi,5.84222232337,4.1365506249,-1.70567169847,0.708044027758,-29.1955972
ColdPlate_4K,cold_plates,5.34667829351,4.78403882443,-0.56263946908,0.894768407936,-10.5231592
NF2_OuterSupport_Al_TopMountAnnulus,outer_mechanics,4.92385059834,4.93285308113,0.00900248278591,1.00182834199,0.182834199
Window,window,4.92312384757,3.47254056953,-1.45058327804,0.705353080087,-29.464692
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,3.61751281343,3.24267418798,-0.374838625457,0.896382225914,-10.3617774
ColdPlate_Still_0p7K,cold_plates,3.00951175889,2.58890757262,-0.420604186266,0.860241720264,-13.975828
CsI_Side_Segment_03_below_side_port,csi,2.59186933391,1.76218988842,-0.829679445496,0.67989148425,-32.0108516
CsI_Side_Segment_04_below_side_port,csi,2.58790701589,1.77401367429,-0.813893341601,0.685501319559,-31.449868
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,outer_mechanics,2.48241051863,0.438429400557,-2.04398111807,0.176614382379,-82.3385618
ColdPlate_CP_100mK_intercept,cold_plates,2.47717238661,2.14636850486,-0.33080388175,0.866459079094,-13.3540921
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,outer_mechanics,2.22469200745,0.405224008399,-1.81946799905,0.182148363478,-81.7851637
ColdPlate_MXC_50mK_SD_anchor,cold_plates,2.14992859802,1.62287530352,-0.527053294499,0.754850791331,-24.5149209
CsI_Side_Segment_03_above_side_port,csi,1.60211269944,1.05058344065,-0.551529258794,0.65574877536,-34.4251225
CsI_Side_Segment_04_above_side_port,csi,1.51669429519,1.13893926114,-0.377755034041,0.7509352839,-24.9064716
CsI_TopAnnulus_Segment_07,csi,1.50327547232,1.14105366259,-0.362221809733,0.759044954566,-24.0955045
CsI_TopAnnulus_Segment_00,csi,1.45718959624,1.04874342769,-0.408446168556,0.719702796664,-28.0297203
CsI_TopAnnulus_Segment_01,csi,1.44166273064,1.00049573321,-0.441166997427,0.693987374403,-30.6012626
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,outer_mechanics,1.35522814236,0.209822713882,-1.14540542848,0.154824643411,-84.5175357
XS400_Group2_Cu_Coarse_OffAxisContactBlock_60K300K,passive_w_or_collimator,1.34804317013,1.2856823981,-0.0623607720312,0.953739781178,-4.62602188
CsI_TopAnnulus_Segment_06,csi,1.34380180217,0.996660792053,-0.34714101012,0.74167246274,-25.8327537
Passive_W_Bottom_Plate_detector_bay,passive_w_or_collimator,1.10569334309,1.28741490784,0.181721564749,1.16435078124,16.4350781
CsI_TopAnnulus_Segment_02,csi,1.24203086556,0.887390949949,-0.354639915613,0.714467711354,-28.5532289
Plate_300K_Top_Service_Lid,other_internal,1.19246748647,1.20126169796,0.00879421148565,1.0073748019,0.73748019
