dataset,depth_bin_lo_cm,depth_bin_hi_cm,log10_energy_bin_lo_keV,log10_energy_bin_hi_keV,weighted_rpip_points,raw_rpip_points
geo_opt_s1_bpe_w5,0,0.5,-0.2,0,0.125,1
geo_opt_s1_bpe_w5,0,0.5,1.4,1.6,4.25,34
geo_opt_s1_bpe_w5,0,0.5,1.6,1.8,0.875,7
geo_opt_s1_bpe_w5,0,0.5,1.8,2,3,24
geo_opt_s1_bpe_w5,0,0.5,2,2.2,8.25,66
geo_opt_s1_bpe_w5,0,0.5,2.2,2.4,14.125,113
geo_opt_s1_bpe_w5,0,0.5,2.4,2.6,22,176
geo_opt_s1_bpe_w5,0,0.5,2.6,2.8,45.375,363
geo_opt_s1_bpe_w5,0,0.5,2.8,3,47.125,377
geo_opt_s1_bpe_w5,0,0.5,3,3.2,68.625,549
geo_opt_s1_bpe_w5,0,0.5,3.2,3.4,99.75,798
geo_opt_s1_bpe_w5,0,0.5,3.4,3.6,196.875,1575
geo_opt_s1_bpe_w5,0,0.5,3.6,3.8,307.375,2459
geo_opt_s1_bpe_w5,0,0.5,3.8,4,936.75,7494
geo_opt_s1_bpe_w5,0,0.5,4,4.2,324.625,2597
geo_opt_s1_bpe_w5,0,0.5,4.2,4.4,137.375,1099
geo_opt_s1_bpe_w5,0,0.5,4.4,4.6,23.75,190
geo_opt_s1_bpe_w5,0,0.5,4.6,4.8,8,64
geo_opt_s1_bpe_w5,0,0.5,4.8,5,6.625,53
geo_opt_s1_bpe_w5,0,0.5,5,5.2,7,56
geo_opt_s1_bpe_w5,0,0.5,5.2,5.4,5.75,46
geo_opt_s1_bpe_w5,0,0.5,5.4,5.6,8,64
geo_opt_s1_bpe_w5,0,0.5,5.6,5.8,6.375,51
geo_opt_s1_bpe_w5,0,0.5,5.8,6,2.375,19
geo_opt_s1_bpe_w5,0.5,1,1.4,1.6,0.25,2
geo_opt_s1_bpe_w5,0.5,1,1.6,1.8,0.25,2
geo_opt_s1_bpe_w5,0.5,1,1.8,2,0.25,2
geo_opt_s1_bpe_w5,0.5,1,2,2.2,4.125,33
geo_opt_s1_bpe_w5,0.5,1,2.2,2.4,6.5,52
geo_opt_s1_bpe_w5,0.5,1,2.4,2.6,8.625,69
geo_opt_s1_bpe_w5,0.5,1,2.6,2.8,18,144
geo_opt_s1_bpe_w5,0.5,1,2.8,3,16.875,135
geo_opt_s1_bpe_w5,0.5,1,3,3.2,24,192
geo_opt_s1_bpe_w5,0.5,1,3.2,3.4,35.625,285
geo_opt_s1_bpe_w5,0.5,1,3.4,3.6,61.125,489
geo_opt_s1_bpe_w5,0.5,1,3.6,3.8,65.375,523
geo_opt_s1_bpe_w5,0.5,1,3.8,4,37.875,303
geo_opt_s1_bpe_w5,0.5,1,4,4.2,7,56
geo_opt_s1_bpe_w5,0.5,1,4.2,4.4,3,24
geo_opt_s1_bpe_w5,0.5,1,4.4,4.6,1.125,9
geo_opt_s1_bpe_w5,0.5,1,4.6,4.8,0.75,6
geo_opt_s1_bpe_w5,0.5,1,4.8,5,0.625,5
geo_opt_s1_bpe_w5,0.5,1,5,5.2,0.25,2
geo_opt_s1_bpe_w5,0.5,1,5.2,5.4,0.625,5
geo_opt_s1_bpe_w5,0.5,1,5.4,5.6,1,8
geo_opt_s1_bpe_w5,0.5,1,5.6,5.8,0.625,5
geo_opt_s1_bpe_w5,1,1.5,1.4,1.6,0.125,1
geo_opt_s1_bpe_w5,1,1.5,1.6,1.8,0.25,2
geo_opt_s1_bpe_w5,1,1.5,1.8,2,1.5,12
geo_opt_s1_bpe_w5,1,1.5,2,2.2,3.625,29
geo_opt_s1_bpe_w5,1,1.5,2.2,2.4,8.375,67
geo_opt_s1_bpe_w5,1,1.5,2.4,2.6,10,80
geo_opt_s1_bpe_w5,1,1.5,2.6,2.8,23.625,189
geo_opt_s1_bpe_w5,1,1.5,2.8,3,26.75,214
geo_opt_s1_bpe_w5,1,1.5,3,3.2,32.875,263
geo_opt_s1_bpe_w5,1,1.5,3.2,3.4,53.25,426
geo_opt_s1_bpe_w5,1,1.5,3.4,3.6,90.25,722
geo_opt_s1_bpe_w5,1,1.5,3.6,3.8,87,696
geo_opt_s1_bpe_w5,1,1.5,3.8,4,57.25,458
geo_opt_s1_bpe_w5,1,1.5,4,4.2,7.25,58
geo_opt_s1_bpe_w5,1,1.5,4.2,4.4,4,32
geo_opt_s1_bpe_w5,1,1.5,4.4,4.6,1.5,12
geo_opt_s1_bpe_w5,1,1.5,4.6,4.8,0.75,6
geo_opt_s1_bpe_w5,1,1.5,4.8,5,1.125,9
geo_opt_s1_bpe_w5,1,1.5,5,5.2,0.375,3
geo_opt_s1_bpe_w5,1,1.5,5.2,5.4,0.625,5
geo_opt_s1_bpe_w5,1,1.5,5.4,5.6,0.875,7
geo_opt_s1_bpe_w5,1,1.5,5.6,5.8,0.875,7
geo_opt_s1_bpe_w5,1,1.5,5.8,6,0.5,4
geo_opt_s1_bpe_w5,1.5,2,1.6,1.8,0.375,3
geo_opt_s1_bpe_w5,1.5,2,1.8,2,1.5,12
geo_opt_s1_bpe_w5,1.5,2,2,2.2,5.375,43
geo_opt_s1_bpe_w5,1.5,2,2.2,2.4,11.125,89
geo_opt_s1_bpe_w5,1.5,2,2.4,2.6,18,144
geo_opt_s1_bpe_w5,1.5,2,2.6,2.8,31.125,249
geo_opt_s1_bpe_w5,1.5,2,2.8,3,34.875,279
geo_opt_s1_bpe_w5,1.5,2,3,3.2,43.125,345
geo_opt_s1_bpe_w5,1.5,2,3.2,3.4,76.25,610
geo_opt_s1_bpe_w5,1.5,2,3.4,3.6,109.875,879
geo_opt_s1_bpe_w5,1.5,2,3.6,3.8,110.25,882
geo_opt_s1_bpe_w5,1.5,2,3.8,4,70.625,565
geo_opt_s1_bpe_w5,1.5,2,4,4.2,13.75,110
geo_opt_s1_bpe_w5,1.5,2,4.2,4.4,3.375,27
geo_opt_s1_bpe_w5,1.5,2,4.4,4.6,1.5,12
geo_opt_s1_bpe_w5,1.5,2,4.6,4.8,0.75,6
geo_opt_s1_bpe_w5,1.5,2,4.8,5,0.75,6
geo_opt_s1_bpe_w5,1.5,2,5,5.2,0.75,6
geo_opt_s1_bpe_w5,1.5,2,5.2,5.4,1,8
geo_opt_s1_bpe_w5,1.5,2,5.4,5.6,1,8
geo_opt_s1_bpe_w5,1.5,2,5.6,5.8,1,8
geo_opt_s1_bpe_w5,1.5,2,5.8,6,0.375,3
geo_opt_s1_bpe_w5,2,2.5,1.2,1.4,0.125,1
geo_opt_s1_bpe_w5,2,2.5,1.4,1.6,0.125,1
geo_opt_s1_bpe_w5,2,2.5,1.6,1.8,0.375,3
geo_opt_s1_bpe_w5,2,2.5,1.8,2,2.25,18
geo_opt_s1_bpe_w5,2,2.5,2,2.2,7.75,62
geo_opt_s1_bpe_w5,2,2.5,2.2,2.4,14.125,113
geo_opt_s1_bpe_w5,2,2.5,2.4,2.6,22.25,178
geo_opt_s1_bpe_w5,2,2.5,2.6,2.8,42.875,343
geo_opt_s1_bpe_w5,2,2.5,2.8,3,42,336
geo_opt_s1_bpe_w5,2,2.5,3,3.2,61.25,490
geo_opt_s1_bpe_w5,2,2.5,3.2,3.4,97.25,778
geo_opt_s1_bpe_w5,2,2.5,3.4,3.6,141.125,1129
geo_opt_s1_bpe_w5,2,2.5,3.6,3.8,133.125,1065
geo_opt_s1_bpe_w5,2,2.5,3.8,4,82.75,662
geo_opt_s1_bpe_w5,2,2.5,4,4.2,9.125,73
geo_opt_s1_bpe_w5,2,2.5,4.2,4.4,5,40
geo_opt_s1_bpe_w5,2,2.5,4.4,4.6,2.25,18
geo_opt_s1_bpe_w5,2,2.5,4.6,4.8,0.625,5
geo_opt_s1_bpe_w5,2,2.5,4.8,5,1,8
geo_opt_s1_bpe_w5,2,2.5,5,5.2,0.875,7
geo_opt_s1_bpe_w5,2,2.5,5.2,5.4,1,8
geo_opt_s1_bpe_w5,2,2.5,5.4,5.6,1.125,9
geo_opt_s1_bpe_w5,2,2.5,5.6,5.8,1,8
geo_opt_s1_bpe_w5,2,2.5,5.8,6,0.25,2
geo_opt_s1_bpe_w5,2.5,3,1.4,1.6,0.25,2
geo_opt_s1_bpe_w5,2.5,3,1.6,1.8,0.625,5
geo_opt_s1_bpe_w5,2.5,3,1.8,2,3,24
geo_opt_s1_bpe_w5,2.5,3,2,2.2,8.25,66
geo_opt_s1_bpe_w5,2.5,3,2.2,2.4,17.75,142
geo_opt_s1_bpe_w5,2.5,3,2.4,2.6,32.375,259
geo_opt_s1_bpe_w5,2.5,3,2.6,2.8,51.25,410
geo_opt_s1_bpe_w5,2.5,3,2.8,3,64.125,513
geo_opt_s1_bpe_w5,2.5,3,3,3.2,82.75,662
geo_opt_s1_bpe_w5,2.5,3,3.2,3.4,132.125,1057
geo_opt_s1_bpe_w5,2.5,3,3.4,3.6,194,1552
geo_opt_s1_bpe_w5,2.5,3,3.6,3.8,185.875,1487
geo_opt_s1_bpe_w5,2.5,3,3.8,4,102.125,817
geo_opt_s1_bpe_w5,2.5,3,4,4.2,14.75,118
geo_opt_s1_bpe_w5,2.5,3,4.2,4.4,5.625,45
geo_opt_s1_bpe_w5,2.5,3,4.4,4.6,2,16
geo_opt_s1_bpe_w5,2.5,3,4.6,4.8,2,16
geo_opt_s1_bpe_w5,2.5,3,4.8,5,2.375,19
geo_opt_s1_bpe_w5,2.5,3,5,5.2,1.25,10
geo_opt_s1_bpe_w5,2.5,3,5.2,5.4,0.875,7
geo_opt_s1_bpe_w5,2.5,3,5.4,5.6,1.5,12
geo_opt_s1_bpe_w5,2.5,3,5.6,5.8,0.5,4
geo_opt_s1_bpe_w5,2.5,3,5.8,6,0.25,2
geo_opt_s1_bpe_w5,3,3.5,0.2,0.4,0.125,1
geo_opt_s1_bpe_w5,3,3.5,1.6,1.8,0.625,5
geo_opt_s1_bpe_w5,3,3.5,1.8,2,3.875,31
geo_opt_s1_bpe_w5,3,3.5,2,2.2,9.875,79
geo_opt_s1_bpe_w5,3,3.5,2.2,2.4,20,160
geo_opt_s1_bpe_w5,3,3.5,2.4,2.6,39,312
geo_opt_s1_bpe_w5,3,3.5,2.6,2.8,62.375,499
geo_opt_s1_bpe_w5,3,3.5,2.8,3,73.75,590
geo_opt_s1_bpe_w5,3,3.5,3,3.2,96.5,772
geo_opt_s1_bpe_w5,3,3.5,3.2,3.4,150.25,1202
geo_opt_s1_bpe_w5,3,3.5,3.4,3.6,218,1744
geo_opt_s1_bpe_w5,3,3.5,3.6,3.8,205.125,1641
geo_opt_s1_bpe_w5,3,3.5,3.8,4,104,832
geo_opt_s1_bpe_w5,3,3.5,4,4.2,10.5,84
geo_opt_s1_bpe_w5,3,3.5,4.2,4.4,6,48
geo_opt_s1_bpe_w5,3,3.5,4.4,4.6,2.125,17
geo_opt_s1_bpe_w5,3,3.5,4.6,4.8,1.5,12
geo_opt_s1_bpe_w5,3,3.5,4.8,5,1,8
geo_opt_s1_bpe_w5,3,3.5,5,5.2,1.5,12
geo_opt_s1_bpe_w5,3,3.5,5.2,5.4,2.875,23
geo_opt_s1_bpe_w5,3,3.5,5.4,5.6,1.875,15
geo_opt_s1_bpe_w5,3,3.5,5.6,5.8,1.375,11
geo_opt_s1_bpe_w5,3,3.5,5.8,6,0.125,1
geo_opt_s1_bpe_w5,3.5,4,1.4,1.6,0.125,1
geo_opt_s1_bpe_w5,3.5,4,1.6,1.8,0.375,3
geo_opt_s1_bpe_w5,3.5,4,1.8,2,3.375,27
geo_opt_s1_bpe_w5,3.5,4,2,2.2,9.625,77
geo_opt_s1_bpe_w5,3.5,4,2.2,2.4,20.75,166
geo_opt_s1_bpe_w5,3.5,4,2.4,2.6,41.5,332
geo_opt_s1_bpe_w5,3.5,4,2.6,2.8,67.375,539
geo_opt_s1_bpe_w5,3.5,4,2.8,3,76,608
geo_opt_s1_bpe_w5,3.5,4,3,3.2,103.625,829
geo_opt_s1_bpe_w5,3.5,4,3.2,3.4,165.875,1327
geo_opt_s1_bpe_w5,3.5,4,3.4,3.6,228.125,1825
geo_opt_s1_bpe_w5,3.5,4,3.6,3.8,201.375,1611
geo_opt_s1_bpe_w5,3.5,4,3.8,4,113,904
geo_opt_s1_bpe_w5,3.5,4,4,4.2,13.5,108
geo_opt_s1_bpe_w5,3.5,4,4.2,4.4,5.625,45
geo_opt_s1_bpe_w5,3.5,4,4.4,4.6,2.625,21
geo_opt_s1_bpe_w5,3.5,4,4.6,4.8,1,8
geo_opt_s1_bpe_w5,3.5,4,4.8,5,1.5,12
geo_opt_s1_bpe_w5,3.5,4,5,5.2,1,8
geo_opt_s1_bpe_w5,3.5,4,5.2,5.4,1.5,12
geo_opt_s1_bpe_w5,3.5,4,5.4,5.6,1.625,13
geo_opt_s1_bpe_w5,3.5,4,5.6,5.8,0.75,6
geo_opt_s1_bpe_w5,3.5,4,5.8,6,0.125,1
geo_opt_s1_bpe_w5,4,4.5,-1.2,-1,0.125,1
geo_opt_s1_bpe_w5,4,4.5,1,1.2,0.125,1
geo_opt_s1_bpe_w5,4,4.5,1.2,1.4,0.125,1
geo_opt_s1_bpe_w5,4,4.5,1.4,1.6,0.25,2
geo_opt_s1_bpe_w5,4,4.5,1.6,1.8,0.875,7
geo_opt_s1_bpe_w5,4,4.5,1.8,2,4.125,33
geo_opt_s1_bpe_w5,4,4.5,2,2.2,11,88
geo_opt_s1_bpe_w5,4,4.5,2.2,2.4,24,192
geo_opt_s1_bpe_w5,4,4.5,2.4,2.6,39.25,314
geo_opt_s1_bpe_w5,4,4.5,2.6,2.8,72.875,583
geo_opt_s1_bpe_w5,4,4.5,2.8,3,83.125,665
geo_opt_s1_bpe_w5,4,4.5,3,3.2,113,904
geo_opt_s1_bpe_w5,4,4.5,3.2,3.4,162.75,1302
geo_opt_s1_bpe_w5,4,4.5,3.4,3.6,231.875,1855
geo_opt_s1_bpe_w5,4,4.5,3.6,3.8,192.875,1543
geo_opt_s1_bpe_w5,4,4.5,3.8,4,106.25,850
geo_opt_s1_bpe_w5,4,4.5,4,4.2,13.625,109
geo_opt_s1_bpe_w5,4,4.5,4.2,4.4,5.25,42
geo_opt_s1_bpe_w5,4,4.5,4.4,4.6,3.375,27
geo_opt_s1_bpe_w5,4,4.5,4.6,4.8,1.375,11
geo_opt_s1_bpe_w5,4,4.5,4.8,5,1.75,14
geo_opt_s1_bpe_w5,4,4.5,5,5.2,1.875,15
geo_opt_s1_bpe_w5,4,4.5,5.2,5.4,1.75,14
geo_opt_s1_bpe_w5,4,4.5,5.4,5.6,1.75,14
geo_opt_s1_bpe_w5,4,4.5,5.6,5.8,0.875,7
geo_opt_s1_bpe_w5,4,4.5,5.8,6,0.125,1
geo_opt_s1_bpe_w5,4.5,5,1.6,1.8,0.75,6
geo_opt_s1_bpe_w5,4.5,5,1.8,2,3,24
geo_opt_s1_bpe_w5,4.5,5,2,2.2,14.25,114
geo_opt_s1_bpe_w5,4.5,5,2.2,2.4,24.375,195
geo_opt_s1_bpe_w5,4.5,5,2.4,2.6,44.625,357
geo_opt_s1_bpe_w5,4.5,5,2.6,2.8,83.25,666
geo_opt_s1_bpe_w5,4.5,5,2.8,3,81.5,652
geo_opt_s1_bpe_w5,4.5,5,3,3.2,117.25,938
geo_opt_s1_bpe_w5,4.5,5,3.2,3.4,173,1384
geo_opt_s1_bpe_w5,4.5,5,3.4,3.6,237.875,1903
geo_opt_s1_bpe_w5,4.5,5,3.6,3.8,197.25,1578
geo_opt_s1_bpe_w5,4.5,5,3.8,4,103,824
geo_opt_s1_bpe_w5,4.5,5,4,4.2,11.5,92
geo_opt_s1_bpe_w5,4.5,5,4.2,4.4,5.25,42
geo_opt_s1_bpe_w5,4.5,5,4.4,4.6,2.625,21
geo_opt_s1_bpe_w5,4.5,5,4.6,4.8,1.5,12
