dataset,event_id,primary_energy_keV,depth_from_geoopt_outer_radius_cm,r_cm,z_cm,VN,category,weight
geo_opt_s1_bpe_w5,664279,4553.18,6.23153237802,21.668467622,-12.27175,CsI_TopAnnulus_Segment_07,csi,0.125
geo_opt_s1_bpe_w5,82757,991.48,17.1159269079,10.7840730921,-21.76584,CsI_Bottom_Quadrant_03,csi,0.125
geo_opt_s1_bpe_w5,400753,5500,0,44.017982399,-22.93021,NF2_OuterSupport_Al_BaseMountAnnulus,outer_mechanics,0.125
geo_opt_s1_bpe_w5,210238,1017.43,6.69125811909,21.2087418809,13.78921,CsI_TopAnnulus_Segment_05,csi,0.125
geo_opt_s1_bpe_w5,375327,6254.45,20.4098199055,7.49018009452,-21.9675,CsI_Bottom_Quadrant_03,csi,0.125
geo_opt_s1_bpe_w5,776371,5034.77,11.0014807133,16.8985192867,18.42799,CsI_TopAnnulus_Segment_04,csi,0.125
geo_opt_s1_bpe_w5,262082,3216.45,13.4333808216,14.4666191784,-17.37616,CsI_Bottom_Quadrant_03,csi,0.125
geo_opt_s1_bpe_w5,297093,7916.04,15.9563851869,11.9436148131,-2.349549,ColdPlate_CP_100mK_intercept,cold_plates,0.125
geo_opt_s1_bpe_w5,642513,1910.74,18.4755464896,9.42445351038,-23.0517,CsI_Bottom_Quadrant_00,csi,0.125
geo_opt_s1_bpe_w5,881081,1968.48,4.96170547324,22.9382945268,0.6417824,CsI_Side_Segment_02,csi,0.125
geo_opt_s1_bpe_w5,677590,905.879,25.933584873,1.96641512701,-24.72957,CsI_Bottom_Quadrant_00,csi,0.125
geo_opt_s1_bpe_w5,191253,174708,14.8096629288,13.0903370712,-8.716902,Passive_W_Bottom_Plate_detector_bay,passive_w_or_collimator,0.125
geo_opt_s1_bpe_w5,423595,6950.85,8.50839996931,19.3916000307,21.5246,XS400_Group2_Cu_Coarse_TopOpenCollar_4K60K,passive_w_or_collimator,0.125
geo_opt_s1_bpe_w5,113279,506.319,10.0756528415,17.8243471585,-19.96119,CsI_Bottom_Quadrant_03,csi,0.125
geo_opt_s1_bpe_w5,136423,9063,0,31.7824926613,39.86975,NF2_OuterSupport_Al_TopMountAnnulus,outer_mechanics,0.125
geo_opt_s1_bpe_w5,178730,1856.39,4.32886669811,23.5711333019,-10.93248,CsI_Side_Segment_01,csi,0.125
geo_opt_s1_bpe_w5,477594,2115.65,13.8509180534,14.0490819466,-23.31657,CsI_Side_Segment_00,csi,0.125
geo_opt_s1_bpe_w5,546316,751.026,2.9157649954,24.9842350046,-6.812107,CsI_Side_Segment_02,csi,0.125
geo_opt_s1_bpe_w5,472761,479.605,19.0908226874,8.80917731261,3.698754,ColdPlate_CP_100mK_intercept,cold_plates,0.125
geo_opt_s1_bpe_w5,947185,7725.12,12.9117451059,14.9882548941,-10.84705,Shield_60K_Al_side_window_side_wall_above_side_port,window,0.125
geo_opt_s1_bpe_w5,217547,1230.6,17.7022297882,10.1977702118,-24.5148,CsI_Bottom_Quadrant_00,csi,0.125
geo_opt_s1_bpe_w5,833828,1009.31,10.1086564589,17.7913435411,-2.496009,Passive_W_Bottom_Plate_detector_bay,passive_w_or_collimator,0.125
geo_opt_s1_bpe_w5,111410,1364.74,3.85445045721,24.0455495428,5.881982,CsI_TopAnnulus_Segment_02,csi,0.125
geo_opt_s1_bpe_w5,146702,2898.21,8.77840298306,19.1215970169,-8.554273,CsI_Bottom_Quadrant_01,csi,0.125
geo_opt_s1_bpe_w5,801863,3124.44,8.86122962805,19.038770372,15.50439,CsI_Side_Segment_04_above_side_port,csi,0.125
geo_opt_s1_bpe_w5,302917,5762.87,13.4122825091,14.4877174909,-11.55129,CsI_Bottom_Quadrant_00,csi,0.125
geo_opt_s1_bpe_w5,779328,5425.57,4.7589911521,23.1410088479,-9.882634,CsI_Bottom_Quadrant_02,csi,0.125
geo_opt_s1_bpe_w5,103939,579.68,9.60121767349,18.2987823265,-11.84678,CsI_Side_Segment_06,csi,0.125
geo_opt_s1_bpe_w5,643292,8673.22,13.9858157707,13.9141842293,-17.86784,GeoOpt_W_BottomBaffle_5mm_R60,geoopt_w_baffle,0.125
geo_opt_s1_bpe_w5,154957,10360.2,13.5781905566,14.3218094434,-15.2751,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_rectcut_window_band,window,0.125
geo_opt_s1_bpe_w5,56635,624.1,21.2812823831,6.61871761692,-24.62247,CsI_Side_Segment_00,csi,0.125
geo_opt_s1_bpe_w5,452325,1920.09,9.18339454157,18.7166054584,-16.85228,CsI_Side_Segment_00,csi,0.125
geo_opt_s1_bpe_w5,86074,5007.4,2.21598991979,25.6840100802,-4.403667,CsI_Bottom_Quadrant_02,csi,0.125
geo_opt_s1_bpe_w5,686138,603.771,8.77537631227,19.1246236877,7.38345,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_rectcut_window_band,window,0.125
geo_opt_s1_bpe_w5,199337,2115.29,19.0582791239,8.84172087609,-23.47113,CsI_Bottom_Quadrant_03,csi,0.125
geo_opt_s1_bpe_w5,555329,3049.58,13.5102888763,14.3897111237,-1.741765,ColdPlate_MXC_50mK_SD_anchor,cold_plates,0.125
geo_opt_s1_bpe_w5,311127,174.596,22.6923205644,5.20767943558,-17.76648,Passive_W_Bottom_Plate_detector_bay,passive_w_or_collimator,0.125
geo_opt_s1_bpe_w5,406182,4108.95,4.09671586503,23.803284135,0.2670266,CsI_Side_Segment_05,csi,0.125
geo_opt_s1_bpe_w5,773343,1003.97,19.8206458682,8.07935413177,-18.72238,CsI_Bottom_Quadrant_03,csi,0.125
geo_opt_s1_bpe_w5,413746,2634.81,16.2434855926,11.6565144074,-4.279655,ColdPlate_CP_100mK_intercept,cold_plates,0.125
geo_opt_s1_bpe_w5,102427,6891.56,3.16318139594,24.7368186041,-1.83892,CsI_Side_Segment_02,csi,0.125
geo_opt_s1_bpe_w5,185955,542.801,6.65849634335,21.2415036566,-2.77194,CsI_Side_Segment_01,csi,0.125
geo_opt_s1_bpe_w5,43752,14419.5,3.85809733737,24.0419026626,3.371372,CsI_TopAnnulus_Segment_05,csi,0.125
geo_opt_s1_bpe_w5,962606,973.297,7.56338783474,20.3366121653,-3.598528,CsI_Bottom_Quadrant_01,csi,0.125
geo_opt_s1_bpe_w5,765877,510.999,7.40586448853,20.4941355115,6.541804,CsI_Side_Segment_05,csi,0.125
geo_opt_s1_bpe_w5,886206,7637.99,6.78415459915,21.1158454009,20.78554,XS400_Group2_Cu_Coarse_ServiceCan_60K300K,passive_w_or_collimator,0.125
geo_opt_s1_bpe_w5,892331,3996.13,3.71326999025,24.1867300098,-1.668594,CsI_Side_Segment_01,csi,0.125
geo_opt_s1_bpe_w5,943221,2096.52,8.14011998523,19.7598800148,15.51043,CsI_Side_Segment_04_above_side_port,csi,0.125
geo_opt_s1_bpe_w5,463883,5965.15,6.52443439505,21.375565605,-12.87292,CsI_Side_Segment_07,csi,0.125
