window,tag,stage,plastic_on_rate_s-1,plastic_off_rate_s-1,on_minus_off_rate_s-1,on_over_off,relative_change_percent
broad_480_550,alpha,raw,0.000679181721862,0.000679181721862,0,1,0
broad_480_550,alpha,active_veto_pass,0,0,0,,
broad_480_550,alpha,side_compton_fov_pass,0,0,0,,
broad_480_550,eminus,raw,0,0,0,,
broad_480_550,eminus,active_veto_pass,0,0,0,,
broad_480_550,eminus,side_compton_fov_pass,0,0,0,,
broad_480_550,eplus,raw,0.0516069101653,0.0516069101653,0,1,0
broad_480_550,eplus,active_veto_pass,0.0332728762908,0.048211718707,-0.0149388424163,0.69014084507,-30.9859155
broad_480_550,eplus,side_compton_fov_pass,0.0298776848325,0.0441374889571,-0.0142598041246,0.676923076923,-32.3076923
broad_480_550,gamma,raw,0.0217116368946,0.0217116368946,0,1,0
broad_480_550,gamma,active_veto_pass,0.0108558184473,0.0108558184473,0,1,0
broad_480_550,gamma,side_compton_fov_pass,0.0108558184473,0.0108558184473,0,1,0
broad_480_550,muminus,raw,0.000675720875923,0.000675720875923,0,1,0
broad_480_550,muminus,active_veto_pass,0,0.000675720875923,-0.000675720875923,0,-100
broad_480_550,muminus,side_compton_fov_pass,0,0.000675720875923,-0.000675720875923,0,-100
broad_480_550,muplus,raw,0.00812298744525,0.00812298744525,0,1,0
broad_480_550,muplus,active_veto_pass,0,0,0,,
broad_480_550,muplus,side_compton_fov_pass,0,0,0,,
broad_480_550,n,raw,0.118742684602,0.118742684602,0,1,0
broad_480_550,n,active_veto_pass,0.0278197146783,0.0312123628098,-0.0033926481315,0.891304347826,-10.8695652
broad_480_550,n,side_compton_fov_pass,0.0223914776679,0.0251055961731,-0.0027141185052,0.891891891892,-10.8108108
broad_480_550,p,raw,0.00135714765563,0.00135714765563,0,1,0
broad_480_550,p,active_veto_pass,0,0,0,,
broad_480_550,p,side_compton_fov_pass,0,0,0,,
w2_510p58_511p42,alpha,raw,0,0,0,,
w2_510p58_511p42,alpha,active_veto_pass,0,0,0,,
w2_510p58_511p42,alpha,side_compton_fov_pass,0,0,0,,
w2_510p58_511p42,eminus,raw,0,0,0,,
w2_510p58_511p42,eminus,active_veto_pass,0,0,0,,
w2_510p58_511p42,eminus,side_compton_fov_pass,0,0,0,,
w2_510p58_511p42,eplus,raw,0.0421003740822,0.0421003740822,0,1,0
w2_510p58_511p42,eplus,active_veto_pass,0.0271615316659,0.0400632592072,-0.0129017275413,0.677966101695,-32.2033898
w2_510p58_511p42,eplus,side_compton_fov_pass,0.0237663402077,0.0359890294574,-0.0122226892497,0.660377358491,-33.9622642
w2_510p58_511p42,gamma,raw,0.00542790922365,0.00542790922365,0,1,0
w2_510p58_511p42,gamma,active_veto_pass,0,0,0,,
w2_510p58_511p42,gamma,side_compton_fov_pass,0,0,0,,
w2_510p58_511p42,muminus,raw,0.000675720875923,0.000675720875923,0,1,0
w2_510p58_511p42,muminus,active_veto_pass,0,0.000675720875923,-0.000675720875923,0,-100
w2_510p58_511p42,muminus,side_compton_fov_pass,0,0.000675720875923,-0.000675720875923,0,-100
w2_510p58_511p42,muplus,raw,0.0054153249635,0.0054153249635,0,1,0
w2_510p58_511p42,muplus,active_veto_pass,0,0,0,,
w2_510p58_511p42,muplus,side_compton_fov_pass,0,0,0,,
w2_510p58_511p42,n,raw,0.040711777578,0.040711777578,0,1,0
w2_510p58_511p42,n,active_veto_pass,0.0088208851419,0.0088208851419,0,1,0
w2_510p58_511p42,n,side_compton_fov_pass,0.0088208851419,0.0088208851419,0,1,0
w2_510p58_511p42,p,raw,0.000678573827815,0.000678573827815,0,1,0
w2_510p58_511p42,p,active_veto_pass,0,0,0,,
w2_510p58_511p42,p,side_compton_fov_pass,0,0,0,,
