component,current_cps,fraction_of_current_total,evidence,tested_suppression,needed_for_1p5e5,scenario,eplus_cps,neutron_cps,delayed_cps,atm511_cps,total_cps,projected_F3_20d,meets_1p5e5,note
prompt_eplus_residual_after_current_plastic,0.0237663402077,0.5435519980418752,plastic_veto_on_off_prompt_by_tag_comparison.csv w2/eplus/side_compton_fov_pass,current plastic reduces e+ W2 final from 0.0359890 to 0.0237663 cps (-33.96%),roughly >=94-95% additional rejection if atm511 and neutron are each reduced ~90%,,,,,,,,,
prompt_neutron_residual,0.0088208851419,0.2017395064396259,plastic_veto_on_off_prompt_by_tag_comparison.csv w2/n/side_compton_fov_pass,current plastic gives 0% extra W2 neutron rejection; activation audit shows ~25% internal activity reduction vs Mass,roughly >=88-90% additional rejection if atm511 is reduced ~90% and e+ ~95%,,,,,,,,,
atmospheric_511_harris,0.008343517492480608,0.1908217909910186,p2_geo_opt_s1_bpe_w5_atm511_transfer_summary.json Harris scenario,"geo-opt transfer 0.358066 vs Mass 0.381079 cps/(ph cm^-2 s^-1), only ~6% lower; active veto kills 0/108 W2 raw candidates","approximately >=90% rejection, likely via physical FoV/collimator/profile reconstruction, not scintillator skin",,,,,,,,,
delayed_activation_residual,0.00279339080718,0.06388670452771554,step05_geo_opt_s1_bpe_w5_fullstat_v1_l1_rates.csv w2/delayed/side_compton_fov_pass,internal activation -25.6% and CsI activity -29.6% vs Mass; W2 delayed is now 6.4% of total with atm511,"not the first lever, but if prompt+atm are solved it becomes the floor",,,,,,,,,
target_total_budget,0.005896116774690034,0.13484810978733083,derived from F3 scaling at fixed signal acceptance,must reduce total background by 86.52%,current total 0.0437241336493 cps -> target 0.00589611677469 cps,,,,,,,,,
,,,,,,current_with_harris_atm511,0.0237663402077,0.0088208851419,0.00279339080718,0.008343517492480608,0.04372413364926061,4.0847814710848586e-05,False,baseline after replay
,,,,,,remove_atm511_only,0.0237663402077,0.0088208851419,0.00279339080718,0.0,0.03538061615678,3.6744379414927325e-05,False,tests value of perfect atmospheric line rejection alone
,,,,,,remove_eplus_only,0.0,0.0088208851419,0.00279339080718,0.008343517492480608,0.01995779344156061,2.7597165792119305e-05,False,tests value of perfect residual e+ rejection alone
,,,,,,remove_eplus_and_atm511,0.0,0.0088208851419,0.00279339080718,0.0,0.011614275949079999,2.1052529816961104e-05,False,still above 1.5e-5 because neutron+delayed remain
,,,,,,remove_eplus_neutron_atm511,0.0,0.0,0.00279339080718,0.0,0.00279339080718,1.0324619866559838e-05,True,only this perfect prompt+atm removal beats target with current signal
,,,,,,atm90_eplus95_neutron90,0.001188317010385,0.00088208851419,0.00279339080718,0.0008343517492480608,0.005698148081003061,1.4746029098389262e-05,True,minimal plausible algebraic target package; unverified
,,,,,,atm100_eplus90_neutron80,0.00237663402077,0.00176417702838,0.00279339080718,0.0,0.006934201856330001,1.626696232673411e-05,False,near-miss package showing 90/80 is not enough
