source_family,entry_class,count,share
atm511,side_wall,83,0.7685185185185185
atm511,top,16,0.14814814814814814
atm511,bottom,9,0.08333333333333333
eplus,side_window,4,0.06451612903225806
eplus,side_wall,31,0.5
eplus,top,14,0.22580645161290322
eplus,envelope_miss,13,0.20967741935483872
n,side_wall,29,0.48333333333333334
n,top,13,0.21666666666666667
n,bottom,10,0.16666666666666666
n,envelope_miss,8,0.13333333333333333
activation,side_window,2,0.047619047619047616
activation,side_wall,19,0.4523809523809524
activation,top,12,0.2857142857142857
activation,bottom,7,0.16666666666666666
activation,envelope_miss,2,0.047619047619047616
muplus,side_wall,4,0.5
muplus,top,1,0.125
muplus,envelope_miss,3,0.375
gamma,side_wall,1,1.0
muminus,side_wall,1,1.0
p,top,1,1.0
