family,window,stage,group_by,group_value,events,fraction_of_stage
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_surface_proxy,side,76,0.7102803738317757
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_surface_proxy,top,24,0.22429906542056074
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_surface_proxy,bottom,7,0.06542056074766354
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_phi07_315deg,17,0.1588785046728972
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_phi00_000deg,16,0.14953271028037382
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_phi01_045deg,13,0.12149532710280374
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_phi06_270deg,11,0.102803738317757
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_phi02_090deg,10,0.09345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,top_phi00_000deg,8,0.07476635514018691
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,top_phi01_045deg,6,0.056074766355140186
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,top_phi07_315deg,5,0.04672897196261682
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_phi05_225deg,4,0.037383177570093455
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_phi04_180deg,2,0.018691588785046728
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,bottom_phi04_180deg,2,0.018691588785046728
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,top_phi05_225deg,2,0.018691588785046728
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,top_phi02_090deg,2,0.018691588785046728
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_neg_x_window_axis_pm15deg,2,0.018691588785046728
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,bottom_phi07_315deg,2,0.018691588785046728
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,bottom_phi02_090deg,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_phi03_135deg,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,bottom_phi01_045deg,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,top_phi04_180deg,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,bottom_phi05_225deg,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_category,tes,107,1.0
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L2_00228,2,0.018691588785046728
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00274,2,0.018691588785046728
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L2_00340,2,0.018691588785046728
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00197,2,0.018691588785046728
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00245,2,0.018691588785046728
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00313,2,0.018691588785046728
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00173,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00093,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L3_00333,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00273,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00078,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L2_00011,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00019,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00190,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L2_00255,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00341,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00112,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00259,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00362,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00193,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00327,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00201,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00370,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00361,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00186,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00005,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00082,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00339,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L2_00037,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00192,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00047,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00125,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00163,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00105,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00269,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00369,1,0.009345794392523364
