source_family,window,stage,event_count,rate_or_transfer,rate_units,source_theta_bin,source_phi_bin,first_recorded_volume,first_recorded_material,entry_region,first_recorded_x_cm,first_recorded_y_cm,first_recorded_z_cm,tes_energy_keV,active_veto_energy_keV,side_compton_class,entry_surface_proxy,entry_region_proxy,entry_phi_deg_local,source_file,local_id,init_x_cm,init_y_cm,init_z_cm,dir_x,dir_y,dir_z,init_energy_keV
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,110_120,135_180,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,top,,,,510.99896,0.0,keep,top,top_phi05_225deg,229.59167688584725,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,12403,54.06556,-36.13443,-5.90792,-0.88203,0.36438,0.29876,142.273
eplus,w2_510p58_511p42,active_veto_pass,1,0.0006790382916483043,cps normalized by prompt TT,110_120,135_180,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,top,,,,510.99896,0.0,keep,top,top_phi05_225deg,229.59167688584725,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,12403,54.06556,-36.13443,-5.90792,-0.88203,0.36438,0.29876,142.273
eplus,w2_510p58_511p42,side_compton_fov_pass,1,0.0006790382916483043,cps normalized by prompt TT,110_120,135_180,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,top,,,,510.99896,0.0,keep,top,top_phi05_225deg,229.59167688584725,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,12403,54.06556,-36.13443,-5.90792,-0.88203,0.36438,0.29876,142.273
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,130_140,135_180,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,PlasticScintillator,top,,,,510.9989,10.45103344,single,top,top_phi01_045deg,49.32953729471958,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,34023,64.65843,16.06134,-3.6973,-0.99989,0.00284,-0.01421,10.451
eplus,w2_510p58_511p42,active_veto_pass,1,0.0006790382916483043,cps normalized by prompt TT,130_140,135_180,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,PlasticScintillator,top,,,,510.9989,10.45103344,single,top,top_phi01_045deg,49.32953729471958,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,34023,64.65843,16.06134,-3.6973,-0.99989,0.00284,-0.01421,10.451
eplus,w2_510p58_511p42,side_compton_fov_pass,1,0.0006790382916483043,cps normalized by prompt TT,130_140,135_180,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,PlasticScintillator,top,,,,510.9989,10.45103344,single,top,top_phi01_045deg,49.32953729471958,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,34023,64.65843,16.06134,-3.6973,-0.99989,0.00284,-0.01421,10.451
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,110_120,045_090,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,PlasticScintillator,side_wall,,,,510.998946,13.46821886,veto,side,side_phi06_270deg,278.35387206925384,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,71105,0.65591,-67.77909,-3.85815,-0.24154,0.93213,-0.26981,13.468
eplus,w2_510p58_511p42,active_veto_pass,1,0.0006790382916483043,cps normalized by prompt TT,110_120,045_090,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,PlasticScintillator,side_wall,,,,510.998946,13.46821886,veto,side,side_phi06_270deg,278.35387206925384,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,71105,0.65591,-67.77909,-3.85815,-0.24154,0.93213,-0.26981,13.468
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,030_040,000_045,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,PlasticScintillator,side_wall,,,,510.99890000000005,165.2687181,not_active_veto_pass,side,side_phi03_135deg,131.87767010936255,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,88910,-58.68781,13.93605,-5.26549,0.95985,0.19029,0.20611,165.269
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,070_080,045_090,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,PlasticScintillator,side_wall,,,,510.99894,116.95875600000002,not_active_veto_pass,side,side_phi05_225deg,246.76655292475238,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,125566,-27.19745,-51.92485,3.9516,0.42008,0.90034,-0.11368,116.959
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,080_090,045_090,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,PlasticScintillator,side_window,,,,510.99890500000004,563.0638482300001,not_active_veto_pass,side,side_neg_x_window_axis_pm15deg,180.599024297157,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,130016,-37.46092,-36.74401,36.59293,0.43552,0.82884,-0.35119,563.064
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,100_110,270_315,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,top,,,,510.998959,0.0,single,top,top_phi00_000deg,12.414202989186135,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,211256,1.64539,52.20651,34.28196,0.11326,-0.84335,-0.5253,121.248
eplus,w2_510p58_511p42,active_veto_pass,1,0.0006790382916483043,cps normalized by prompt TT,100_110,270_315,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,top,,,,510.998959,0.0,single,top,top_phi00_000deg,12.414202989186135,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,211256,1.64539,52.20651,34.28196,0.11326,-0.84335,-0.5253,121.248
eplus,w2_510p58_511p42,side_compton_fov_pass,1,0.0006790382916483043,cps normalized by prompt TT,100_110,270_315,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,top,,,,510.998959,0.0,single,top,top_phi00_000deg,12.414202989186135,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,211256,1.64539,52.20651,34.28196,0.11326,-0.84335,-0.5253,121.248
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,120_130,135_180,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,top,,,,510.99888,0.0,single,top,top_phi00_000deg,357.9349139912734,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,36753,63.07589,-3.63192,-8.84427,-0.98771,0.06388,0.14268,89.022
eplus,w2_510p58_511p42,active_veto_pass,1,0.0006790382916483043,cps normalized by prompt TT,120_130,135_180,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,top,,,,510.99888,0.0,single,top,top_phi00_000deg,357.9349139912734,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,36753,63.07589,-3.63192,-8.84427,-0.98771,0.06388,0.14268,89.022
eplus,w2_510p58_511p42,side_compton_fov_pass,1,0.0006790382916483043,cps normalized by prompt TT,120_130,135_180,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,top,,,,510.99888,0.0,single,top,top_phi00_000deg,357.9349139912734,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,36753,63.07589,-3.63192,-8.84427,-0.98771,0.06388,0.14268,89.022
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,080_090,135_180,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,unknown,,,,510.9989,0.0,single,miss_current_outer_envelope,phi06_270deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,90474,45.60996,-71.68236,7.59206,-0.51347,0.57023,0.64124,1228.66
