event_index,event_key,source_family,stream,local_id,source_file_basename,tes_total_keV,init_energy_keV,init_x_cm,init_y_cm,init_z_cm,dir_x,dir_y,dir_z,theta_local_deg,phi_local_deg,entry_class,entry_surface_proxy,entry_region_proxy,entry_phi_deg_local,xz_init_quadrant,first_hit_volume,first_hit_category,tes_x_cm,tes_y_cm,tes_z_cm,path_length_init_to_tes_cm,plastic_skin_keV,active_other_keV,side_compton_class,side_compton_fov_pass,computed_veto_layer,final_pass_flag
1,eplus::Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz::12403,eplus,prompt,12403,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99896,142.273,54.06556,-36.13443,-5.90792,-0.88203,0.36438,0.29876,114.3577437538264,156.42295739258745,top,top,top_phi05_225deg,229.59167688584725,right_lower,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,-1.239972005526078,-0.5379712016048115,-5.4247586372654455,65.7726629710441,0.0,0.0,keep,True,final_pass,True
2,eplus::Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz::34023,eplus,prompt,34023,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.9989,10.451,64.65843,16.06134,-3.6973,-0.99989,0.00284,-0.01421,135.81397005697005,179.76653723639228,top,top,top_phi01_045deg,49.32953729471958,right_lower,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,-5.208798422066858,-1.3667209707016983,-0.8879701621669636,72.0628840022206,10.45103344,0.0,single,True,final_pass,True
3,eplus::Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz::71105,eplus,prompt,71105,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.998946,13.468,0.65591,-67.77909,-3.85815,-0.24154,0.93213,-0.26981,111.19714337672853,88.77145691299302,side_wall,side,side_phi06_270deg,278.35387206925384,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-5.792322098795267,0.1363424220874717,-3.202457062232193,68.22401037397098,13.46821886,0.0,veto,False,compton_fov_veto,False
4,eplus::Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz::88910,eplus,prompt,88910,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99890000000005,165.269,-58.68781,13.93605,-5.26549,0.95985,0.19029,0.20611,34.46655006642085,19.648285054861972,side_wall,side,side_phi03_135deg,131.87767010936255,left_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-5.287654230082883,1.4270428580585983,-2.072448228238456,54.93857853716973,165.2687181,0.0,keep,True,plastic_skin_veto,False
5,eplus::Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz::125566,eplus,prompt,125566,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99894,116.959,-27.19745,-51.92485,3.9516,0.42008,0.90034,-0.11368,77.48722725354446,67.25641798466273,side_wall,side,side_phi05_225deg,246.76655292475238,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-4.656664277133628,-0.018764357147424998,-2.0980333815352723,56.91157010501738,116.95875600000002,0.0,single,True,plastic_skin_veto,False
6,eplus::Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz::130016,eplus,prompt,130016,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99890500000004,563.064,-37.46092,-36.74401,36.59293,0.43552,0.82884,-0.35119,86.58138580151456,56.13189060206396,side_window,side,side_neg_x_window_axis_pm15deg,180.599024297157,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-1.672501463532011,1.1362182244594927,-4.167752720971203,66.16007744522541,563.0638482300001,0.0,keep,True,plastic_skin_veto,False
7,eplus::Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz::211256,eplus,prompt,211256,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.998959,121.248,1.64539,52.20651,34.28196,0.11326,-0.84335,-0.5253,106.93910957169473,298.1646237815541,top,top,top_phi00_000deg,12.414202989186135,right_upper,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,-2.555734129096525,0.18707813987712762,-6.855378488820089,66.45262487623647,0.0,0.0,single,True,final_pass,True
8,eplus::Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz::36753,eplus,prompt,36753,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.99888,89.022,63.07589,-3.63192,-8.84427,-0.98771,0.06388,0.14268,126.69274872258234,175.43067389869523,top,top,top_phi00_000deg,357.9349139912734,right_lower,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,-2.165922245858347,-0.6619038864766709,-3.066344431786739,65.56446815699974,0.0,0.0,single,True,final_pass,True
9,eplus::Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz::90474,eplus,prompt,90474,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.9989,1228.66,45.60996,-71.68236,7.59206,-0.51347,0.57023,0.64124,84.81643434139049,145.07030095638774,envelope_miss,miss_current_outer_envelope,phi06_270deg,,right_upper,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,-4.92528310557244,0.27189257966962355,-0.7226851435301916,88.31964813584834,0.0,0.0,single,True,final_pass,True
10,eplus::Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz::130729,eplus,prompt,130729,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.99894000000006,168.22,-50.22272,10.84363,36.62634,0.83524,0.1996,-0.51239,76.80368011484765,11.830242669254709,side_wall,side,side_phi03_135deg,135.5600867175841,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-4.161361606802726,-1.337836716044714,-4.402519165867584,62.876101603337865,168.2195281,0.0,veto,False,plastic_skin_veto,False
11,eplus::Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz::156993,eplus,prompt,156993,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.99893000000003,148.234,30.16901,53.12517,40.2641,-0.61486,-0.35955,-0.7019,158.6058955077283,279.7135575086142,side_wall,side,side_phi02_090deg,95.75216983529693,right_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-2.2757470745112323,1.1489054372908767,-4.945740378005547,76.14541356195735,148.23406487,0.0,keep,True,plastic_skin_veto,False
12,eplus::Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz::192957,eplus,prompt,192957,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.998868,44.81,-15.3215,55.5256,18.48458,0.41001,-0.90427,-0.11911,78.12967270884198,292.4774679149748,envelope_miss,miss_current_outer_envelope,phi03_135deg,,left_upper,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,-4.090964650547377,-0.5422369138636249,-3.166331176780368,61.14318617163932,0.0,0.0,keep,True,final_pass,True
13,eplus::Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz::231354,eplus,prompt,231354,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.99894000000006,365.181,65.77783,27.57023,0.87293,-0.82478,-0.27821,0.49227,103.59875217988333,196.63270343425836,envelope_miss,miss_current_outer_envelope,phi01_045deg,,right_upper,TP_L1_00360,tes,-5.251202228003643,0.9994481623546498,-2.65611776182933,75.9182721406105,0.0,0.0,veto,False,compton_fov_veto,False
14,eplus::Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz::28520,eplus,prompt,28520,Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99890000000005,1439.489,48.90007,15.62975,-46.73031,-0.79473,-0.51189,0.32614,109.35037641150807,212.85668044139638,side_wall,side,side_phi07_315deg,335.2536519621229,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-1.882351394860341,0.6305100730296874,-4.32357923033983,67.83923890848448,1439.4885858599994,0.0,single,True,plastic_skin_veto,False
15,eplus::Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz::71755,eplus,prompt,71755,Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99890600000003,279.82,-15.67733,-54.60262,-25.8746,-0.09723,0.826,0.55522,71.10420340742594,119.18498793252438,side_wall,side,side_phi06_270deg,252.40741047152272,left_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-1.213471662304142,0.3013146372288715,-5.452383810803439,60.338314119142545,279.82020102999996,0.0,keep,True,plastic_skin_veto,False
16,eplus::Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz::80084,eplus,prompt,80084,Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99890000000005,57.458,68.44518,0.9178,4.86164,-0.93262,-0.34983,-0.08849,136.2229033953679,210.3740490159797,top,top,top_phi06_270deg,292.4925054440556,right_upper,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,-4.044241263476105,0.5894592769259972,-4.933863893664154,73.14899793759939,57.4583928,0.0,single,True,plastic_skin_veto,False
17,eplus::Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz::136894,eplus,prompt,136894,Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99892000000006,0.449,-46.91764,-31.19892,45.57509,0.4817,-0.02415,-0.876,106.1893750823825,358.55901530757876,envelope_miss,miss_current_outer_envelope,phi05_225deg,,left_upper,TP_L2_00019,tes,-3.8588794464810405,-1.2992103417734815,-2.848427515730014,71.36446277138037,0.0,0.0,keep,True,final_pass,True
