source_family,entry_class,count,share_within_particle,total_w2_raw_events_for_particle,definition
atm511,side_window,2,0.017543859649122806,114,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
atm511,side_wall,80,0.7017543859649122,114,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
atm511,top,25,0.21929824561403508,114,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
atm511,bottom,7,0.06140350877192982,114,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
eplus,side_window,4,0.06451612903225806,62,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
eplus,side_wall,31,0.5,62,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
eplus,top,14,0.22580645161290322,62,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
eplus,envelope_miss,13,0.20967741935483872,62,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
n,side_wall,29,0.48333333333333334,60,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
n,top,13,0.21666666666666667,60,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
n,bottom,10,0.16666666666666666,60,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
n,envelope_miss,8,0.13333333333333333,60,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
activation,side_window,2,0.047619047619047616,42,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
activation,side_wall,19,0.4523809523809524,42,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
activation,top,12,0.2857142857142857,42,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
activation,bottom,7,0.16666666666666666,42,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
activation,envelope_miss,2,0.047619047619047616,42,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
muplus,side_wall,4,0.5,8,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
muplus,top,1,0.125,8,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
muplus,envelope_miss,3,0.375,8,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
gamma,side_wall,1,1.0,1,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
muminus,side_wall,1,1.0,1,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
p,top,1,1.0,1,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
