angle_kind,source_family,entry_class,bin_lo_deg,bin_hi_deg,count
theta,activation,bottom,120,130,1
theta,activation,bottom,130,140,1
theta,activation,bottom,140,150,1
theta,activation,bottom,150,160,2
theta,activation,bottom,170,180,2
theta,activation,envelope_miss,40,50,1
theta,activation,envelope_miss,60,70,1
theta,activation,side_wall,50,60,1
theta,activation,side_wall,70,80,2
theta,activation,side_wall,80,90,2
theta,activation,side_wall,90,100,4
theta,activation,side_wall,100,110,3
theta,activation,side_wall,110,120,3
theta,activation,side_wall,120,130,4
theta,activation,side_window,90,100,1
theta,activation,side_window,100,110,1
theta,activation,top,10,20,2
theta,activation,top,20,30,1
theta,activation,top,40,50,4
theta,activation,top,60,70,4
theta,activation,top,110,120,1
theta,atm511,bottom,10,20,1
theta,atm511,bottom,20,30,3
theta,atm511,bottom,30,40,2
theta,atm511,bottom,40,50,3
theta,atm511,side_wall,50,60,6
theta,atm511,side_wall,60,70,28
theta,atm511,side_wall,70,80,11
theta,atm511,side_wall,80,90,9
theta,atm511,side_wall,90,100,14
theta,atm511,side_wall,100,110,14
theta,atm511,side_wall,110,120,1
theta,atm511,top,110,120,5
theta,atm511,top,120,130,10
theta,atm511,top,130,140,1
theta,eplus,envelope_miss,30,40,1
theta,eplus,envelope_miss,50,60,1
theta,eplus,envelope_miss,60,70,1
theta,eplus,envelope_miss,70,80,4
theta,eplus,envelope_miss,80,90,2
theta,eplus,envelope_miss,90,100,1
theta,eplus,envelope_miss,100,110,2
theta,eplus,envelope_miss,120,130,1
theta,eplus,side_wall,30,40,2
theta,eplus,side_wall,40,50,2
theta,eplus,side_wall,60,70,2
theta,eplus,side_wall,70,80,6
theta,eplus,side_wall,80,90,2
theta,eplus,side_wall,90,100,2
theta,eplus,side_wall,100,110,7
theta,eplus,side_wall,110,120,3
theta,eplus,side_wall,120,130,3
theta,eplus,side_wall,140,150,1
theta,eplus,side_wall,150,160,1
theta,eplus,side_window,40,50,1
theta,eplus,side_window,70,80,2
theta,eplus,side_window,80,90,1
theta,eplus,top,100,110,2
theta,eplus,top,110,120,4
theta,eplus,top,120,130,2
theta,eplus,top,130,140,2
theta,eplus,top,150,160,3
theta,eplus,top,160,170,1
theta,gamma,side_wall,80,90,1
theta,muminus,side_wall,70,80,1
theta,muplus,envelope_miss,90,100,2
