event_index,source_family,stream,local_id,source_file_basename,tes_total_keV,entry_class,plastic_skin_keV,active_other_keV,side_compton_class,side_compton_fov_pass,plastic_skin_veto_flag,non_plastic_active_veto_flag,compton_fov_veto_flag,veto_priority_layer,final_pass_flag,note
1,eplus,prompt,12403,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99896,top,0.0,0.0,keep,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
2,eplus,prompt,34023,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.9989,top,10.45103344,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
3,eplus,prompt,71105,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.998946,side_wall,13.46821886,0.0,veto,False,False,False,True,compton_fov_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
4,eplus,prompt,88910,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99890000000005,side_wall,165.2687181,0.0,keep,True,True,False,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
5,eplus,prompt,125566,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99894,side_wall,116.95875600000002,0.0,single,True,True,False,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
6,eplus,prompt,130016,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99890500000004,side_window,563.0638482300001,0.0,keep,True,True,False,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
7,eplus,prompt,211256,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.998959,top,0.0,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
8,eplus,prompt,36753,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.99888,top,0.0,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
9,eplus,prompt,90474,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.9989,envelope_miss,0.0,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
10,eplus,prompt,130729,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.99894000000006,side_wall,168.2195281,0.0,veto,False,True,False,True,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
11,eplus,prompt,156993,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.99893000000003,side_wall,148.23406487,0.0,keep,True,True,False,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
12,eplus,prompt,192957,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.998868,envelope_miss,0.0,0.0,keep,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
13,eplus,prompt,231354,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.99894000000006,envelope_miss,0.0,0.0,veto,False,False,False,True,compton_fov_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
14,eplus,prompt,28520,Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99890000000005,side_wall,1439.4885858599994,0.0,single,True,True,False,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
15,eplus,prompt,71755,Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99890600000003,side_wall,279.82020102999996,0.0,keep,True,True,False,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
16,eplus,prompt,80084,Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99890000000005,top,57.4583928,0.0,single,True,True,False,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
17,eplus,prompt,136894,Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99892000000006,envelope_miss,0.0,0.0,keep,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
18,eplus,prompt,183364,Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99894,top,0.0,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
19,eplus,prompt,231882,Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99898200000007,envelope_miss,0.0,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
20,eplus,prompt,235828,Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99887,side_wall,129.565724726,0.0,single,True,True,False,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
21,eplus,prompt,2392,Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,510.998897,side_window,80.21698774000001,0.0,single,True,True,False,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
22,eplus,prompt,10024,Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,510.99892,side_wall,789.0177221500003,48552.473045253966,veto,False,True,True,True,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
23,eplus,prompt,64214,Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,510.999,envelope_miss,0.0,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
24,eplus,prompt,235494,Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,510.99889999999994,envelope_miss,0.0,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
25,eplus,prompt,238305,Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,510.999,envelope_miss,0.0,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
26,eplus,prompt,30107,Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.9989,side_wall,380.52368003999993,0.0,single,True,True,False,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
27,eplus,prompt,31391,Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.99893099999997,side_wall,1054.2684250000002,79556.46358971,single,True,True,True,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
28,eplus,prompt,31997,Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.99893299999997,top,0.0,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
29,eplus,prompt,40978,Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.99888,side_window,183.89296027999998,0.0,keep,True,True,False,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
30,eplus,prompt,55140,Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.9989,envelope_miss,0.0,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
31,eplus,prompt,67424,Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.9989,side_wall,4.26576295,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
32,eplus,prompt,81816,Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.99894,envelope_miss,0.0,0.0,veto,False,False,False,True,compton_fov_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
33,eplus,prompt,113054,Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.9989532108,envelope_miss,0.0,0.0,keep,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
34,eplus,prompt,143314,Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.99892,envelope_miss,0.0,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
35,eplus,prompt,201276,Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.99893,top,0.0,0.0,veto,False,False,False,True,compton_fov_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
36,eplus,prompt,19036,Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99888400000003,side_wall,3.5523303000000004,0.0,keep,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
37,eplus,prompt,25293,Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99889999999994,side_wall,156.10666461,0.0,single,True,True,False,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
38,eplus,prompt,36215,Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99895300000003,top,33.88231068,0.0,keep,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
39,eplus,prompt,70159,Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99886000000004,top,8.178310250000001,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
40,eplus,prompt,120181,Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99892,side_wall,15.958251559999999,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
41,eplus,prompt,128882,Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99896,side_wall,11.933693819999998,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
42,eplus,prompt,131723,Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.9988953999999,side_wall,14.582484999999998,0.0,single,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
43,eplus,prompt,144727,Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.998917,side_wall,894.260884652,724.411976,keep,True,True,True,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
44,eplus,prompt,156362,Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99889500000006,top,45.621403169999994,0.0,keep,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
45,eplus,prompt,163455,Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99890000000005,side_wall,0.0,0.0,keep,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
46,eplus,prompt,177789,Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99886000000004,side_wall,70.0206271,0.0,keep,True,True,False,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
47,eplus,prompt,61301,Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,510.99893199999997,side_wall,2232.7753136000006,0.0,single,True,True,False,False,plastic_skin_veto,False,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
48,eplus,prompt,106227,Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,510.99890000000005,side_wall,13.14675642,0.0,keep,True,False,False,False,final_pass,True,"priority is plastic_skin, then non_plastic_active, then Compton/FoV, then final pass"
