record_type,source_family,category,subcategory,bin_lo_deg,bin_hi_deg,count,fraction,notes
entry_class_count,atm511,side_wall,,,,83,0.7685185185185185,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,atm511,top,,,,16,0.14814814814814814,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,atm511,bottom,,,,9,0.08333333333333333,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,eplus,side_window,,,,4,0.06451612903225806,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,eplus,side_wall,,,,31,0.5,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,eplus,top,,,,14,0.22580645161290322,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,eplus,envelope_miss,,,,13,0.20967741935483872,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,n,side_wall,,,,29,0.48333333333333334,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,n,top,,,,13,0.21666666666666667,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,n,bottom,,,,10,0.16666666666666666,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,n,envelope_miss,,,,8,0.13333333333333333,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,activation,side_window,,,,2,0.047619047619047616,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,activation,side_wall,,,,19,0.4523809523809524,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,activation,top,,,,12,0.2857142857142857,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,activation,bottom,,,,7,0.16666666666666666,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,activation,envelope_miss,,,,2,0.047619047619047616,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,muplus,side_wall,,,,4,0.5,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,muplus,top,,,,1,0.125,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,muplus,envelope_miss,,,,3,0.375,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,gamma,side_wall,,,,1,1.0,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,muminus,side_wall,,,,1,1.0,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
entry_class_count,p,top,,,,1,1.0,side_window is side-envelope entry within +/-15 deg of local negative-X side-window axis; side_wall is other side entry
theta_angle_bin_count,activation,bottom,theta,120,130,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,bottom,theta,130,140,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,bottom,theta,140,150,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,bottom,theta,150,160,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,bottom,theta,170,180,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,envelope_miss,theta,40,50,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,envelope_miss,theta,60,70,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,side_wall,theta,50,60,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,side_wall,theta,70,80,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,side_wall,theta,80,90,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,side_wall,theta,90,100,4,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,side_wall,theta,100,110,3,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,side_wall,theta,110,120,3,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,side_wall,theta,120,130,4,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,side_window,theta,90,100,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,side_window,theta,100,110,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,top,theta,10,20,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,top,theta,20,30,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,top,theta,40,50,4,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,top,theta,60,70,4,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,activation,top,theta,110,120,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,atm511,bottom,theta,10,20,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,atm511,bottom,theta,20,30,3,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,atm511,bottom,theta,30,40,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,atm511,bottom,theta,40,50,3,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,atm511,side_wall,theta,50,60,6,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,atm511,side_wall,theta,60,70,28,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,atm511,side_wall,theta,70,80,11,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,atm511,side_wall,theta,80,90,9,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,atm511,side_wall,theta,90,100,14,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,atm511,side_wall,theta,100,110,14,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,atm511,side_wall,theta,110,120,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,atm511,top,theta,110,120,5,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,atm511,top,theta,120,130,10,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,atm511,top,theta,130,140,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,envelope_miss,theta,30,40,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,envelope_miss,theta,50,60,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,envelope_miss,theta,60,70,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,envelope_miss,theta,70,80,4,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,envelope_miss,theta,80,90,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,envelope_miss,theta,90,100,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,envelope_miss,theta,100,110,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,envelope_miss,theta,120,130,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,side_wall,theta,30,40,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,side_wall,theta,40,50,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,side_wall,theta,60,70,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,side_wall,theta,70,80,6,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,side_wall,theta,80,90,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,side_wall,theta,90,100,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,side_wall,theta,100,110,7,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,side_wall,theta,110,120,3,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,side_wall,theta,120,130,3,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,side_wall,theta,140,150,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,side_wall,theta,150,160,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,side_window,theta,40,50,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,side_window,theta,70,80,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,side_window,theta,80,90,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,top,theta,100,110,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,top,theta,110,120,4,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,top,theta,120,130,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,top,theta,130,140,2,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,top,theta,150,160,3,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
theta_angle_bin_count,eplus,top,theta,160,170,1,,local detector-frame angle bin; see 02_fact_summary.json for theta/phi definition
