record_type,topic,metric,source_family_or_local_id,value,unit,value_2,unit_2,context,interpretation
plastic_skin_effect,plastic_on_off_direct_rate,w2_510p58_511p42 prompt raw,,0,percent change plastic_on vs plastic_off,,,on=0.0950096805511 cps/off=0.0950096805511 cps/delta=0 cps,plastic_off excludes GeoOpt plastic from veto accounting but keeps material in transport
plastic_skin_effect,plastic_on_off_direct_rate,w2_510p58_511p42 prompt active_veto_pass,,-27.396056,percent change plastic_on vs plastic_off,,,on=0.0359824168078 cps/off=0.0495598652251 cps/delta=-0.0135774484172 cps,plastic_off excludes GeoOpt plastic from veto accounting but keeps material in transport
plastic_skin_effect,plastic_on_off_direct_rate,w2_510p58_511p42 prompt side_compton_fov_pass,,-28.3571066,percent change plastic_on vs plastic_off,,,on=0.0325872253496 cps/off=0.0454856354752 cps/delta=-0.0128984101256 cps,plastic_off excludes GeoOpt plastic from veto accounting but keeps material in transport
plastic_skin_effect,plastic_on_off_direct_rate,w2_510p58_511p42 delayed raw,,0,percent change plastic_on vs plastic_off,,,on=0.00451240053468 cps/off=0.00451240053468 cps/delta=0 cps,plastic_off excludes GeoOpt plastic from veto accounting but keeps material in transport
plastic_skin_effect,plastic_on_off_direct_rate,w2_510p58_511p42 delayed active_veto_pass,,-6.25,percent change plastic_on vs plastic_off,,,on=0.00322314323906 cps/off=0.00343801945499 cps/delta=-0.000214876215937 cps,plastic_off excludes GeoOpt plastic from veto accounting but keeps material in transport
plastic_skin_effect,plastic_on_off_direct_rate,w2_510p58_511p42 delayed side_compton_fov_pass,,-7.14285714,percent change plastic_on vs plastic_off,,,on=0.00279339080718 cps/off=0.00300826702312 cps/delta=-0.000214876215937 cps,plastic_off excludes GeoOpt plastic from veto accounting but keeps material in transport
plastic_skin_effect,plastic_on_off_direct_rate,w2_510p58_511p42 science raw,,0,percent change plastic_on vs plastic_off,,,on=0.814755068022 cps/off=0.814755068022 cps/delta=0 cps,plastic_off excludes GeoOpt plastic from veto accounting but keeps material in transport
plastic_skin_effect,plastic_on_off_direct_rate,w2_510p58_511p42 science active_veto_pass,,0,percent change plastic_on vs plastic_off,,,on=0.814755068022 cps/off=0.814755068022 cps/delta=0 cps,plastic_off excludes GeoOpt plastic from veto accounting but keeps material in transport
plastic_skin_effect,plastic_on_off_direct_rate,w2_510p58_511p42 science side_compton_fov_pass,,0,percent change plastic_on vs plastic_off,,,on=0.79808571275 cps/off=0.79808571275 cps/delta=0 cps,plastic_off excludes GeoOpt plastic from veto accounting but keeps material in transport
plastic_skin_effect,plastic_on_off_direct_rate,w2_510p58_511p42 background_prompt_plus_delayed raw,,0,percent change plastic_on vs plastic_off,,,on=0.0995220810857 cps/off=0.0995220810857 cps/delta=0 cps,plastic_off excludes GeoOpt plastic from veto accounting but keeps material in transport
plastic_skin_effect,plastic_on_off_direct_rate,w2_510p58_511p42 background_prompt_plus_delayed active_veto_pass,,-26.0242927,percent change plastic_on vs plastic_off,,,on=0.0392055600469 cps/off=0.0529978846801 cps/delta=-0.0137923246332 cps,plastic_off excludes GeoOpt plastic from veto accounting but keeps material in transport
plastic_skin_effect,plastic_on_off_direct_rate,w2_510p58_511p42 background_prompt_plus_delayed side_compton_fov_pass,,-27.0411035,percent change plastic_on vs plastic_off,,,on=0.0353806161568 cps/off=0.0484939024983 cps/delta=-0.0131132863415 cps,plastic_off excludes GeoOpt plastic from veto accounting but keeps material in transport
plastic_skin_effect,eplus_plastic_hit_counts,generated_events,,1949816,events,,,,"prompt e+ SIM scan; all energies, not only W2 TES candidates"
plastic_skin_effect,eplus_plastic_hit_counts,events_with_any_plastic_hit,,345248,events,,,,"prompt e+ SIM scan; all energies, not only W2 TES candidates"
plastic_skin_effect,eplus_plastic_hit_counts,events_with_plastic_edep_ge_50keV,,185810,events,,,,"prompt e+ SIM scan; all energies, not only W2 TES candidates"
plastic_skin_effect,eplus_plastic_hit_counts,events_with_sec_eplus_plastic_hit,,331474,events,,,,"prompt e+ SIM scan; all energies, not only W2 TES candidates"
plastic_skin_effect,eplus_plastic_hit_counts,events_with_sec_eplus_plastic_edep_ge_50keV,,141634,events,,,,"prompt e+ SIM scan; all energies, not only W2 TES candidates"
plastic_skin_effect,eplus_plastic_hit_counts,events_with_prim_eplus_plastic_hit,,345248,events,,,,"prompt e+ SIM scan; all energies, not only W2 TES candidates"
plastic_skin_effect,w2_eplus_matched_plastic_only_veto,tes_window_events,,62,events,,,"{""also_vetoed_without_plastic_rate_s-1"": 0.002037114874944913, ""survives_active_veto_with_plastic_rate_s-1"": 0.027161531665932145, ""tes_window_rate_s-1"": 0.0421003740821948, ""vetoed_only_when_plastic_is_active_rate_s-1"": 0.012901727541317782}",W2 prompt e+ TES candidates; plastic-only veto means vetoed only if plastic is counted active
plastic_skin_effect,w2_eplus_matched_plastic_only_veto,survives_active_veto_with_plastic_events,,40,events,,,"{""also_vetoed_without_plastic_rate_s-1"": 0.002037114874944913, ""survives_active_veto_with_plastic_rate_s-1"": 0.027161531665932145, ""tes_window_rate_s-1"": 0.0421003740821948, ""vetoed_only_when_plastic_is_active_rate_s-1"": 0.012901727541317782}",W2 prompt e+ TES candidates; plastic-only veto means vetoed only if plastic is counted active
plastic_skin_effect,w2_eplus_matched_plastic_only_veto,vetoed_only_when_plastic_is_active_events,,19,events,,,"{""also_vetoed_without_plastic_rate_s-1"": 0.002037114874944913, ""survives_active_veto_with_plastic_rate_s-1"": 0.027161531665932145, ""tes_window_rate_s-1"": 0.0421003740821948, ""vetoed_only_when_plastic_is_active_rate_s-1"": 0.012901727541317782}",W2 prompt e+ TES candidates; plastic-only veto means vetoed only if plastic is counted active
plastic_skin_effect,w2_eplus_matched_plastic_only_veto,also_vetoed_without_plastic_events,,3,events,,,"{""also_vetoed_without_plastic_rate_s-1"": 0.002037114874944913, ""survives_active_veto_with_plastic_rate_s-1"": 0.027161531665932145, ""tes_window_rate_s-1"": 0.0421003740821948, ""vetoed_only_when_plastic_is_active_rate_s-1"": 0.012901727541317782}",W2 prompt e+ TES candidates; plastic-only veto means vetoed only if plastic is counted active
plastic_skin_effect,current_w2_event_level_plastic_veto,activation_plastic_skin_veto_events,,2,W2 raw TES events,,,"raw=42, fraction=0.047619047619047616",event-level W2 priority veto classification in complement trajectory table
plastic_skin_effect,current_w2_event_level_plastic_veto,atm511_plastic_skin_veto_events,,0,W2 raw TES events,,,"raw=108, fraction=0.0",event-level W2 priority veto classification in complement trajectory table
plastic_skin_effect,current_w2_event_level_plastic_veto,eplus_plastic_skin_veto_events,,22,W2 raw TES events,,,"raw=62, fraction=0.3548387096774194",event-level W2 priority veto classification in complement trajectory table
plastic_skin_effect,current_w2_event_level_plastic_veto,gamma_plastic_skin_veto_events,,0,W2 raw TES events,,,"raw=1, fraction=0.0",event-level W2 priority veto classification in complement trajectory table
