bin,hemisphere,theta0_deg,theta1_deg,expacs_gamma_flux_ph_cm2_s,pdf_interp_at_511_per_keV,continuum_differential_flux_at_511_ph_cm2_s_keV,source_name,expacs_continuum_angular_weight_at_511,mono511_flux_if_total_1_ph_cm2_s,mono511_flux_if_project_harris_Rc11_13
0,down,0.000,25.842,4.323745326736e-02,1.599414448583e-04,6.915460747574e-06,Atm_gamma_bin00_down,3.922270909477e-03,3.922270909477e-03,9.139518782427e-05
1,down,25.842,36.870,5.695983240931e-02,1.899515013528e-04,1.081960568295e-05,Atm_gamma_bin01_down,6.136601185559e-03,6.136601185559e-03,1.429926261854e-04
2,down,36.870,45.573,7.120765493338e-02,2.114615837201e-04,1.505768348521e-05,Atm_gamma_bin02_down,8.540329567899e-03,8.540329567899e-03,1.990033434594e-04
3,down,45.573,53.130,8.612491504375e-02,2.288456807975e-04,1.970931481681e-05,Atm_gamma_bin03_down,1.117861484194e-02,1.117861484194e-02,2.604796116010e-04
4,down,53.130,60.000,1.019197897684e-01,2.442051627747e-04,2.488933885035e-05,Atm_gamma_bin04_down,1.411659082341e-02,1.411659082341e-02,3.289391527307e-04
5,down,60.000,66.422,1.189113247918e-01,2.587934007890e-04,3.077346613519e-05,Atm_gamma_bin05_down,1.745391600237e-02,1.745391600237e-02,4.067041691208e-04
6,down,66.422,72.542,1.376301465793e-01,2.735860392236e-04,3.765368668040e-05,Atm_gamma_bin06_down,2.135619957830e-02,2.135619957830e-02,4.976336200937e-04
7,down,72.542,78.463,1.590750875935e-01,2.896722986583e-04,4.607964628247e-05,Atm_gamma_bin07_down,2.613518646550e-02,2.613518646550e-02,6.089916609446e-04
8,down,78.463,84.261,1.855743690582e-01,3.089522013300e-04,5.733360983096e-05,Atm_gamma_bin08_down,3.251814422548e-02,3.251814422548e-02,7.577247894845e-04
9,down,84.261,90.000,2.261108736236e-01,3.377281606442e-04,7.636400945055e-05,Atm_gamma_bin09_down,4.331169588433e-02,4.331169588433e-02,1.009231812818e-03
10,up,90.000,95.739,4.652308488518e-01,3.555863837111e-04,1.654297551341e-04,Atm_gamma_bin10_up,9.382748884115e-02,9.382748884115e-02,2.186330613981e-03
11,up,95.739,101.537,4.170179593624e-01,3.811677662559e-04,1.589538040587e-04,Atm_gamma_bin11_up,9.015449647789e-02,9.015449647789e-02,2.100744015129e-03
12,up,101.537,107.458,3.895986108144e-01,3.945283404447e-04,1.537076933642e-04,Atm_gamma_bin12_up,8.717903784744e-02,8.717903784744e-02,2.031411068306e-03
13,up,107.458,113.578,3.697937703255e-01,4.030005119098e-04,1.490270787422e-04,Atm_gamma_bin13_up,8.452431399888e-02,8.452431399888e-02,1.969551755076e-03
14,up,113.578,120.000,3.542574628794e-01,4.084610867113e-04,1.447003882633e-04,Atm_gamma_bin14_up,8.207032679265e-02,8.207032679265e-02,1.912369926792e-03
15,up,120.000,126.870,3.415685430590e-01,4.117045777189e-04,1.406253327822e-04,Atm_gamma_bin15_up,7.975906046472e-02,7.975906046472e-02,1.858513723325e-03
16,up,126.870,134.427,3.309762940732e-01,4.131490584844e-04,1.367425442770e-04,Atm_gamma_bin16_up,7.755684300481e-02,7.755684300481e-02,1.807198532961e-03
17,up,134.427,143.130,3.220307329032e-01,4.130465276556e-04,1.330136760241e-04,Atm_gamma_bin17_up,7.544192514070e-02,7.544192514070e-02,1.757917562859e-03
18,up,143.130,154.158,3.144386490560e-01,4.115656121511e-04,1.294121350827e-04,Atm_gamma_bin18_up,7.339922404248e-02,7.339922404248e-02,1.710319358948e-03
19,up,154.158,180.000,3.079972593917e-01,4.088299911243e-04,1.259185168234e-04,Atm_gamma_bin19_up,7.141773390503e-02,7.141773390503e-02,1.664147468361e-03
