threshold_keV,component,final_pass_events,final_rate_cps,relative_final_rate_vs_50keV,active_pass_events
1.0,activation,26,0.002793390807181588,1.0,30
1.0,atm511,107,0.02079131350580408,1.0,114
1.0,eplus,18,0.012222689249669474,0.5142857142857143,21
1.0,n,11,0.007463825889297892,0.8461538461538461,11
1.0,science_signal,29684,0.7980857127496964,1.0,30304
2.0,activation,26,0.002793390807181588,1.0,30
2.0,atm511,107,0.02079131350580408,1.0,114
2.0,eplus,20,0.013580765832966083,0.5714285714285715,23
2.0,n,11,0.007463825889297892,0.8461538461538461,11
2.0,science_signal,29684,0.7980857127496964,1.0,30304
5.0,activation,26,0.002793390807181588,1.0,30
5.0,atm511,107,0.02079131350580408,1.0,114
5.0,eplus,22,0.01493884241626269,0.6285714285714286,26
5.0,n,12,0.0081423555155977,0.9230769230769231,12
5.0,science_signal,29684,0.7980857127496964,1.0,30304
10.0,activation,26,0.002793390807181588,1.0,30
10.0,atm511,107,0.02079131350580408,1.0,114
10.0,eplus,24,0.016296918999559297,0.6857142857142857,28
10.0,n,12,0.0081423555155977,0.9230769230769231,12
10.0,science_signal,29684,0.7980857127496964,1.0,30304
20.0,activation,26,0.002793390807181588,1.0,30
20.0,atm511,107,0.02079131350580408,1.0,114
20.0,eplus,31,0.02105018704109743,0.8857142857142858,36
20.0,n,13,0.008820885141897508,1.0,13
20.0,science_signal,29684,0.7980857127496964,1.0,30304
50.0,activation,26,0.002793390807181588,1.0,30
50.0,atm511,107,0.02079131350580408,1.0,114
50.0,eplus,35,0.023766340207690643,1.0,40
50.0,n,13,0.008820885141897508,1.0,13
50.0,science_signal,29684,0.7980857127496964,1.0,30304
