threshold_keV,component,raw_events,active_pass_events,final_pass_events,raw_rate_cps,active_pass_rate_cps,final_pass_rate_cps,delta_final_events_vs_50keV,delta_final_rate_cps_vs_50keV,relative_final_rate_vs_50keV,active_rejection_fraction,final_survival_fraction,priority_counts_json,active_by_entry_json,final_by_entry_json
1.0,activation,42,30,26,0.004512400534677949,0.003223143239055678,0.002793390807181588,0,0.0,1.0,0.2857142857142857,0.6190476190476191,"{""compton_fov_veto"": 4, ""final_pass"": 26, ""non_plastic_active_veto"": 10, ""plastic_skin_veto"": 2}","{""bottom"": 5, ""envelope_miss"": 2, ""side_wall"": 14, ""side_window"": 1, ""top"": 8}","{""bottom"": 5, ""envelope_miss"": 2, ""side_wall"": 12, ""side_window"": 1, ""top"": 6}"
1.0,atm511,114,114,107,0.022151492894034255,0.022151492894034255,0.02079131350580408,0,0.0,1.0,0.0,0.9385964912280702,"{""compton_fov_veto"": 7, ""final_pass"": 107}","{""bottom"": 7, ""side_wall"": 80, ""side_window"": 2, ""top"": 25}","{""bottom"": 7, ""side_wall"": 74, ""side_window"": 2, ""top"": 24}"
1.0,eplus,62,21,18,0.04210037408219486,0.014259804124614386,0.012222689249669474,-17,-0.011543650958021168,0.5142857142857143,0.6612903225806452,0.2903225806451613,"{""compton_fov_veto"": 3, ""final_pass"": 18, ""plastic_skin_veto"": 41}","{""envelope_miss"": 13, ""side_wall"": 1, ""top"": 7}","{""envelope_miss"": 11, ""side_wall"": 1, ""top"": 6}"
1.0,n,60,11,11,0.0407117775779885,0.007463825889297892,0.007463825889297892,-2,-0.0013570592525996164,0.8461538461538461,0.8166666666666667,0.18333333333333332,"{""final_pass"": 11, ""non_plastic_active_veto"": 36, ""plastic_skin_veto"": 13}","{""bottom"": 1, ""envelope_miss"": 3, ""side_wall"": 2, ""top"": 5}","{""bottom"": 1, ""envelope_miss"": 3, ""side_wall"": 2, ""top"": 5}"
1.0,science_signal,30304,30304,29684,0.814755068021724,0.814755068021724,0.7980857127496964,0,0.0,1.0,0.0,0.9795406546990496,"{""active_veto_false_veto_events"": 0, ""side_compton_fov_veto_events"": 620}",,
2.0,activation,42,30,26,0.004512400534677949,0.003223143239055678,0.002793390807181588,0,0.0,1.0,0.2857142857142857,0.6190476190476191,"{""compton_fov_veto"": 4, ""final_pass"": 26, ""non_plastic_active_veto"": 10, ""plastic_skin_veto"": 2}","{""bottom"": 5, ""envelope_miss"": 2, ""side_wall"": 14, ""side_window"": 1, ""top"": 8}","{""bottom"": 5, ""envelope_miss"": 2, ""side_wall"": 12, ""side_window"": 1, ""top"": 6}"
2.0,atm511,114,114,107,0.022151492894034255,0.022151492894034255,0.02079131350580408,0,0.0,1.0,0.0,0.9385964912280702,"{""compton_fov_veto"": 7, ""final_pass"": 107}","{""bottom"": 7, ""side_wall"": 80, ""side_window"": 2, ""top"": 25}","{""bottom"": 7, ""side_wall"": 74, ""side_window"": 2, ""top"": 24}"
2.0,eplus,62,23,20,0.04210037408219486,0.015617880707910994,0.013580765832966083,-15,-0.01018557437472456,0.5714285714285715,0.6290322580645161,0.3225806451612903,"{""compton_fov_veto"": 3, ""final_pass"": 20, ""plastic_skin_veto"": 39}","{""envelope_miss"": 13, ""side_wall"": 2, ""side_window"": 1, ""top"": 7}","{""envelope_miss"": 11, ""side_wall"": 2, ""side_window"": 1, ""top"": 6}"
2.0,n,60,11,11,0.0407117775779885,0.007463825889297892,0.007463825889297892,-2,-0.0013570592525996164,0.8461538461538461,0.8166666666666667,0.18333333333333332,"{""final_pass"": 11, ""non_plastic_active_veto"": 36, ""plastic_skin_veto"": 13}","{""bottom"": 1, ""envelope_miss"": 3, ""side_wall"": 2, ""top"": 5}","{""bottom"": 1, ""envelope_miss"": 3, ""side_wall"": 2, ""top"": 5}"
2.0,science_signal,30304,30304,29684,0.814755068021724,0.814755068021724,0.7980857127496964,0,0.0,1.0,0.0,0.9795406546990496,"{""active_veto_false_veto_events"": 0, ""side_compton_fov_veto_events"": 620}",,
5.0,activation,42,30,26,0.004512400534677949,0.003223143239055678,0.002793390807181588,0,0.0,1.0,0.2857142857142857,0.6190476190476191,"{""compton_fov_veto"": 4, ""final_pass"": 26, ""non_plastic_active_veto"": 10, ""plastic_skin_veto"": 2}","{""bottom"": 5, ""envelope_miss"": 2, ""side_wall"": 14, ""side_window"": 1, ""top"": 8}","{""bottom"": 5, ""envelope_miss"": 2, ""side_wall"": 12, ""side_window"": 1, ""top"": 6}"
5.0,atm511,114,114,107,0.022151492894034255,0.022151492894034255,0.02079131350580408,0,0.0,1.0,0.0,0.9385964912280702,"{""compton_fov_veto"": 7, ""final_pass"": 107}","{""bottom"": 7, ""side_wall"": 80, ""side_window"": 2, ""top"": 25}","{""bottom"": 7, ""side_wall"": 74, ""side_window"": 2, ""top"": 24}"
5.0,eplus,62,26,22,0.04210037408219486,0.017654995582855906,0.01493884241626269,-13,-0.008827497791427953,0.6285714285714286,0.5806451612903225,0.3548387096774194,"{""compton_fov_veto"": 4, ""final_pass"": 22, ""plastic_skin_veto"": 36}","{""envelope_miss"": 13, ""side_wall"": 4, ""side_window"": 1, ""top"": 8}","{""envelope_miss"": 11, ""side_wall"": 4, ""side_window"": 1, ""top"": 6}"
5.0,n,60,12,12,0.0407117775779885,0.0081423555155977,0.0081423555155977,-1,-0.0006785296262998078,0.9230769230769231,0.8,0.2,"{""final_pass"": 12, ""non_plastic_active_veto"": 39, ""plastic_skin_veto"": 9}","{""bottom"": 1, ""envelope_miss"": 3, ""side_wall"": 2, ""top"": 6}","{""bottom"": 1, ""envelope_miss"": 3, ""side_wall"": 2, ""top"": 6}"
5.0,science_signal,30304,30304,29684,0.814755068021724,0.814755068021724,0.7980857127496964,0,0.0,1.0,0.0,0.9795406546990496,"{""active_veto_false_veto_events"": 0, ""side_compton_fov_veto_events"": 620}",,
10.0,activation,42,30,26,0.004512400534677949,0.003223143239055678,0.002793390807181588,0,0.0,1.0,0.2857142857142857,0.6190476190476191,"{""compton_fov_veto"": 4, ""final_pass"": 26, ""non_plastic_active_veto"": 10, ""plastic_skin_veto"": 2}","{""bottom"": 5, ""envelope_miss"": 2, ""side_wall"": 14, ""side_window"": 1, ""top"": 8}","{""bottom"": 5, ""envelope_miss"": 2, ""side_wall"": 12, ""side_window"": 1, ""top"": 6}"
