bin_id,direction_tag,theta_min_deg,theta_max_deg,theta_mid_deg,mu_high,mu_low,delta_omega_sr,component,source_name,flux_ph_cm2_s,flux_fraction_of_4pi
0,atm_down,0.0,25.841933,18.194872,1.0,0.9,0.6283185307,downward_residual_atmosphere,Atm511_bin00_down,0.00043193374018985495,0.008377976616219343
1,atm_down,25.841933,36.869898,31.788331,0.9,0.8,0.6283185307,downward_residual_atmosphere,Atm511_bin01_down,0.0004743906443077798,0.009201489384035751
2,atm_down,36.869898,45.572996,41.409622,0.8,0.7,0.6283185307,downward_residual_atmosphere,Atm511_bin02_down,0.0005259683059061165,0.010201912371599085
3,atm_down,45.572996,53.130102,49.458398,0.7,0.6,0.6283185307,downward_residual_atmosphere,Atm511_bin03_down,0.0005898787018953114,0.01144154649440561
4,atm_down,53.130102,60.0,56.632987,0.6,0.5,0.6283185307,downward_residual_atmosphere,Atm511_bin04_down,0.0006709636345901083,0.01301430547763793
5,atm_down,60.0,66.421822,63.256316,0.5,0.4,0.6283185307,downward_residual_atmosphere,Atm511_bin05_down,0.0007767544252245479,0.01506627013721075
6,atm_down,66.421822,72.542397,69.512685,0.4,0.3,0.6283185307,downward_residual_atmosphere,Atm511_bin06_down,0.0009191584642226795,0.01782840144989109
7,atm_down,72.542397,78.463041,75.522488,0.3,0.2,0.6283185307,downward_residual_atmosphere,Atm511_bin07_down,0.001115716672683725,0.021640930828792537
8,atm_down,78.463041,84.26083,81.373073,0.2,0.1,0.6283185307,downward_residual_atmosphere,Atm511_bin08_down,0.0013754536378143385,0.026678903132775027
9,atm_down,84.26083,90.0,87.134016,0.1,0.0,0.6283185307,downward_residual_atmosphere,Atm511_bin09_down,0.0015728489188011276,0.0305076687381951
10,atm_up_albedo_like,90.0,95.73917,92.865984,0.0,-0.1,0.6283185307,upward_earth_albedo,Atm511_bin10_up,0.002527919982697048,0.04903264675132899
11,atm_up_albedo_like,95.73917,101.536959,98.626927,-0.1,-0.2,0.6283185307,upward_earth_albedo,Atm511_bin11_up,0.002924000081063687,0.05671519037667067
12,atm_up_albedo_like,101.536959,107.457603,104.477512,-0.2,-0.3,0.6283185307,upward_earth_albedo,Atm511_bin12_up,0.0033200794817275286,0.06439772046906232
13,atm_up_albedo_like,107.457603,113.578178,110.487315,-0.3,-0.4,0.6283185307,upward_earth_albedo,Atm511_bin13_up,0.003716158973758188,0.07208025233364491
14,atm_up_albedo_like,113.578178,120.0,116.743684,-0.4,-0.5,0.6283185307,upward_earth_albedo,Atm511_bin14_up,0.0041122391641399345,0.07976279774375204
15,atm_up_albedo_like,120.0,126.869898,123.367013,-0.5,-0.6,0.6283185307,upward_earth_albedo,Atm511_bin15_up,0.0045083187614783395,0.08744533165092995
16,atm_up_albedo_like,126.869898,134.427004,130.541602,-0.6,-0.7,0.6283185307,upward_earth_albedo,Atm511_bin16_up,0.004904397959536433,0.09512785781349149
17,atm_up_albedo_like,134.427004,143.130102,138.590378,-0.7,-0.8,0.6283185307,upward_earth_albedo,Atm511_bin17_up,0.005300477653388734,0.10281039359269532
18,atm_up_albedo_like,143.130102,154.158067,148.211669,-0.8,-0.9,0.6283185307,upward_earth_albedo,Atm511_bin18_up,0.005696557618543131,0.11049293463419382
19,atm_up_albedo_like,154.158067,180.0,161.805128,-0.9,-1.0,0.6283185307,upward_earth_albedo,Atm511_bin19_up,0.006092637291056195,0.11817546999949244
