energy_lo_keV,energy_hi_keV,energy_center_keV,prompt_raw_cps_per_keV,prompt_raw_events_per_bin,prompt_active_cps_per_keV,prompt_active_events_per_bin,prompt_compton_cps_per_keV,prompt_compton_events_per_bin,delayed_raw_cps_per_keV,delayed_raw_events_per_bin,delayed_active_cps_per_keV,delayed_active_events_per_bin,delayed_compton_cps_per_keV,delayed_compton_events_per_bin,signal_raw_cps_per_keV,signal_raw_events_per_bin,signal_active_cps_per_keV,signal_active_events_per_bin,signal_compton_cps_per_keV,signal_compton_events_per_bin
480.000000,480.500000,480.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0.000107544227564,2,0.000107544227564,2,0.000107544227564,2
480.500000,481.000000,480.750000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,0,0
481.000000,481.500000,481.250000,0.00542658743071,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481.500000,482.000000,481.750000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482.000000,482.500000,482.250000,0,0,0,0,0,0,0,0,0,0,0,0,0.000161316341345,3,0.000161316341345,3,0.000161316341345,3
482.500000,483.000000,482.750000,0.00135786266984,1,0,0,0,0,0,0,0,0,0,0,0.000107544227564,2,0.000107544227564,2,0.000107544227564,2
483.000000,483.500000,483.250000,0.0040702028841,3,0.00135688524279,1,0.00135688524279,1,0,0,0,0,0,0,0.000215088455127,4,0.000215088455127,4,0.000161316341345,3
483.500000,484.000000,483.750000,0.00135665882066,1,0.00135665882066,1,0.00135665882066,1,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,5.37721137818e-05,1
484.000000,484.500000,484.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0.000107544227564,2,0.000107544227564,2,0.000107544227564,2
484.500000,485.000000,484.750000,0.00406997646197,3,0,0,0,0,0.000284614336971,1,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,5.37721137818e-05,1
485.000000,485.500000,485.250000,0.00135688524279,1,0.00135688524279,1,0.00135688524279,1,0,0,0,0,0,0,0,0,0,0,0,0
485.500000,486.000000,485.750000,0.00270575954384,2,0.00134910072319,1,0.00134910072319,1,0,0,0,0,0,0,0,0,0,0,0,0
486.000000,486.500000,486.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,5.37721137818e-05,1
486.500000,487.000000,486.750000,0,0,0,0,0,0,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,5.37721137818e-05,1
487.000000,487.500000,487.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487.500000,488.000000,487.750000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488.000000,488.500000,488.250000,0.00541907718515,4,0.00135665882066,1,0,0,0.000284614336971,1,0.000284614336971,1,0.000284614336971,1,5.37721137818e-05,1,5.37721137818e-05,1,5.37721137818e-05,1
488.500000,489.000000,488.750000,0.00271331764131,2,0.00271331764131,2,0.00271331764131,2,0,0,0,0,0,0,0,0,0,0,0,0
489.000000,489.500000,489.250000,0.00542663528263,4,0.00271331764131,2,0.00271331764131,2,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,0,0
489.500000,490.000000,489.750000,0.00542686170476,4,0.00135688524279,1,0.00135688524279,1,0,0,0,0,0,0,0,0,0,0,0,0
490.000000,490.500000,490.250000,0.00135688524279,1,0.00135688524279,1,0.00135688524279,1,0,0,0,0,0,0,0,0,0,0,0,0
490.500000,491.000000,490.750000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491.000000,491.500000,491.250000,0.00135665882066,1,0,0,0,0,0.000284614336971,1,0.000284614336971,1,0.000284614336971,1,0,0,0,0,0,0
491.500000,492.000000,491.750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492.000000,492.500000,492.250000,0.00271331764131,2,0.00135665882066,1,0,0,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,0,0
492.500000,493.000000,492.750000,0.00406997646197,3,0,0,0,0,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,0,0
493.000000,493.500000,493.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,0,0
493.500000,494.000000,493.750000,0.00270575954384,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494.000000,494.500000,494.250000,0.00135665882066,1,0,0,0,0,0.000284614336971,1,0.000284614336971,1,0.000284614336971,1,0,0,0,0,0,0
494.500000,495.000000,494.750000,0.00271331764131,2,0.00135665882066,1,0.00135665882066,1,0,0,0,0,0,0,0.000107544227564,2,0.000107544227564,2,5.37721137818e-05,1
495.000000,495.500000,495.250000,0.00135786266984,1,0,0,0,0,0.000284614336971,1,0,0,0,0,0,0,0,0,0,0
495.500000,496.000000,495.750000,0,0,0,0,0,0,0.000284614336971,1,0,0,0,0,0,0,0,0,0,0
496.000000,496.500000,496.250000,0.00135665882066,1,0.00135665882066,1,0.00135665882066,1,0.000284614336971,1,0.000284614336971,1,0.000284614336971,1,5.37721137818e-05,1,5.37721137818e-05,1,5.37721137818e-05,1
496.500000,497.000000,496.750000,0.00407140673329,3,0.00135688524279,1,0.00135688524279,1,0.000284614336971,1,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,0,0
497.000000,497.500000,497.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,5.37721137818e-05,1
497.500000,498.000000,497.750000,0,0,0,0,0,0,0,0,0,0,0,0,0.000107544227564,2,0.000107544227564,2,0.000107544227564,2
498.000000,498.500000,498.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,5.37721137818e-05,1
498.500000,499.000000,498.750000,0.00135665882066,1,0.00135665882066,1,0.00135665882066,1,0.000284614336971,1,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,5.37721137818e-05,1
499.000000,499.500000,499.250000,0.00271354406344,2,0.00135688524279,1,0.00135688524279,1,0.000284614336971,1,0.000284614336971,1,0.000284614336971,1,0.000107544227564,2,0.000107544227564,2,5.37721137818e-05,1
499.500000,500.000000,499.750000,0,0,0,0,0,0,0.000284614336971,1,0,0,0,0,0.000107544227564,2,0.000107544227564,2,0.000107544227564,2
500.000000,500.500000,500.250000,0.00406997646197,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.500000,501.000000,500.750000,0.00271331764131,2,0,0,0,0,0.000284614336971,1,0,0,0,0,0,0,0,0,0,0
501.000000,501.500000,501.250000,0.00541930360729,4,0.00271354406344,2,0.00135688524279,1,0,0,0,0,0,0,0.000107544227564,2,0.000107544227564,2,5.37721137818e-05,1
501.500000,502.000000,501.750000,0.00135665882066,1,0.00135665882066,1,0,0,0,0,0,0,0,0,0.000215088455127,4,0.000215088455127,4,0.000215088455127,4
502.000000,502.500000,502.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0.000107544227564,2,0.000107544227564,2,0,0
502.500000,503.000000,502.750000,0.00135688524279,1,0.00135688524279,1,0.00135688524279,1,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,5.37721137818e-05,1
503.000000,503.500000,503.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,0,0
503.500000,504.000000,503.750000,0.00271331764131,2,0,0,0,0,0.000284614336971,1,0.000284614336971,1,0,0,0,0,0,0,0,0
504.000000,504.500000,504.250000,0,0,0,0,0,0,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,5.37721137818e-05,1
504.500000,505.000000,504.750000,0,0,0,0,0,0,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,5.37721137818e-05,1
505.000000,505.500000,505.250000,0,0,0,0,0,0,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,5.37721137818e-05,1
505.500000,506.000000,505.750000,0,0,0,0,0,0,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,5.37721137818e-05,1
506.000000,506.500000,506.250000,0.00271331764131,2,0.00135665882066,1,0.00135665882066,1,0.000284614336971,1,0,0,0,0,0.000107544227564,2,0.000107544227564,2,0.000107544227564,2
506.500000,507.000000,506.750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507.000000,507.500000,507.250000,0.00406997646197,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507.500000,508.000000,507.750000,0.00406997646197,3,0,0,0,0,0.000284614336971,1,0.000284614336971,1,0.000284614336971,1,0,0,0,0,0,0
508.000000,508.500000,508.250000,0.00271354406344,2,0.00135688524279,1,0.00135688524279,1,0,0,0,0,0,0,0,0,0,0,0,0
508.500000,509.000000,508.750000,0,0,0,0,0,0,0.000284614336971,1,0.000284614336971,1,0.000284614336971,1,0,0,0,0,0,0
509.000000,509.500000,509.250000,0.00135665882066,1,0,0,0,0,0.000569228673942,2,0.000569228673942,2,0.000284614336971,1,0.000107544227564,2,0.000107544227564,2,0.000107544227564,2
509.500000,510.000000,509.750000,0,0,0,0,0,0,0,0,0,0,0,0,5.37721137818e-05,1,5.37721137818e-05,1,0,0
510.000000,510.500000,510.250000,0.00271331764131,2,0,0,0,0,0,0,0,0,0,0,0.000215088455127,4,0.000215088455127,4,0.000215088455127,4
510.500000,511.000000,510.750000,0.236031384573,153,0.0963201850274,71,0.0881778961436,65,0.0122384164897,43,0.00796920143518,28,0.00796920143518,28,0.629994085067,11716,0.629994085067,11716,0.614776576867,11433
511.000000,511.500000,511.250000,0,0,0,0,0,0,0,0,0,0,0,0,0.999569823089,18589,0.999569823089,18589,0.981556164973,18254
511.500000,512.000000,511.750000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512.000000,512.500000,512.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512.500000,513.000000,512.750000,0.00271331764131,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513.000000,513.500000,513.250000,0.00271331764131,2,0.00135665882066,1,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0
513.500000,514.000000,513.750000,0.00134910072319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514.000000,514.500000,514.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514.500000,515.000000,514.750000,0,0,0,0,0,0,0.000284614336971,1,0.000284614336971,1,0.000284614336971,1,0,0,0,0,0,0
515.000000,515.500000,515.250000,0.00271331764131,2,0.00135665882066,1,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0
515.500000,516.000000,515.750000,0.00271354406344,2,0.00135665882066,1,0,0,0.000284614336971,1,0.000284614336971,1,0.000284614336971,1,0,0,0,0,0,0
516.000000,516.500000,516.250000,0.00135665882066,1,0,0,0,0,0.000284614336971,1,0,0,0,0,0,0,0,0,0,0
516.500000,517.000000,516.750000,0.00271331764131,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517.000000,517.500000,517.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517.500000,518.000000,517.750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518.000000,518.500000,518.250000,0.00406997646197,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518.500000,519.000000,518.750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519.000000,519.500000,519.250000,0.00271331764131,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519.500000,520.000000,519.750000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520.000000,520.500000,520.250000,0.00406997646197,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520.500000,521.000000,520.750000,0.00271331764131,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521.000000,521.500000,521.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521.500000,522.000000,521.750000,0.00271331764131,2,0.00135665882066,1,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0
522.000000,522.500000,522.250000,0.00271331764131,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.500000,523.000000,522.750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523.000000,523.500000,523.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523.500000,524.000000,523.750000,0.00135665882066,1,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524.000000,524.500000,524.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524.500000,525.000000,524.750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525.000000,525.500000,525.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525.500000,526.000000,525.750000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526.000000,526.500000,526.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526.500000,527.000000,526.750000,0,0,0,0,0,0,0.000853843010912,3,0,0,0,0,0,0,0,0,0,0
527.000000,527.500000,527.250000,0.00135665882066,1,0.00135665882066,1,0,0,0.000284614336971,1,0.000284614336971,1,0.000284614336971,1,0,0,0,0,0,0
527.500000,528.000000,527.750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528.000000,528.500000,528.250000,0.0027132697894,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528.500000,529.000000,528.750000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529.000000,529.500000,529.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529.500000,530.000000,529.750000,0,0,0,0,0,0,0.000569228673942,2,0.000284614336971,1,0.000284614336971,1,0,0,0,0,0,0
530.000000,530.500000,530.250000,0.00406997646197,3,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530.500000,531.000000,530.750000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531.000000,531.500000,531.250000,0.00678329410328,5,0.00271331764131,2,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0
531.500000,532.000000,531.750000,0.00271331764131,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532.000000,532.500000,532.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532.500000,533.000000,532.750000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533.000000,533.500000,533.250000,0.00135665882066,1,0.00135665882066,1,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0
533.500000,534.000000,533.750000,0.00406997646197,3,0.00135665882066,1,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0
534.000000,534.500000,534.250000,0.00135665882066,1,0,0,0,0,0.000284614336971,1,0.000284614336971,1,0.000284614336971,1,0,0,0,0,0,0
534.500000,535.000000,534.750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535.000000,535.500000,535.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535.500000,536.000000,535.750000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536.000000,536.500000,536.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536.500000,537.000000,536.750000,0.00135665882066,1,0.00135665882066,1,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0
537.000000,537.500000,537.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537.500000,538.000000,537.750000,0.00135665882066,1,0.00135665882066,1,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0
538.000000,538.500000,538.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538.500000,539.000000,538.750000,0.00271331764131,2,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539.000000,539.500000,539.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539.500000,540.000000,539.750000,0.00271331764131,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540.000000,540.500000,540.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540.500000,541.000000,540.750000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541.000000,541.500000,541.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541.500000,542.000000,541.750000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542.000000,542.500000,542.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542.500000,543.000000,542.750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543.000000,543.500000,543.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543.500000,544.000000,543.750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544.000000,544.500000,544.250000,0.00271331764131,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544.500000,545.000000,544.750000,0,0,0,0,0,0,0.000284614336971,1,0.000284614336971,1,0.000284614336971,1,0,0,0,0,0,0
545.000000,545.500000,545.250000,0.00270575954384,2,0,0,0,0,0.000284614336971,1,0,0,0,0,0,0,0,0,0,0
545.500000,546.000000,545.750000,0,0,0,0,0,0,0.000284614336971,1,0.000284614336971,1,0.000284614336971,1,0,0,0,0,0,0
546.000000,546.500000,546.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546.500000,547.000000,546.750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547.000000,547.500000,547.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547.500000,548.000000,547.750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548.000000,548.500000,548.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548.500000,549.000000,548.750000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549.000000,549.500000,549.250000,0.00135665882066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549.500000,550.000000,549.750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
