component,source_file,local_id,rate_cps,tes_total_keV,init_x_cm,init_y_cm,init_z_cm,dir_x,dir_y,dir_z,init_energy_keV,entry_surface,entry_region,entry_phi_deg_local,entry_local_x_cm,entry_local_y_cm,entry_local_z_cm
eplus,runs/geometry_optimization_20260704/s3c_bgo_w2mm_al3mm_shell_eqstats_prompt_eplus_n_20260709/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,127251,0.0006799866994601586,510.99889999999994,-46.25168,-38.59527,26.19613,0.44575,0.87141,-0.20484,46.899,side,side_window_aperture,176.73615010308822,-29.951338117523147,1.7080237029403662,-6.302656160137536
eplus,runs/geometry_optimization_20260704/s3c_bgo_w2mm_al3mm_shell_eqstats_prompt_eplus_n_20260709/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,179453,0.0006799866994601586,510.99895,9.51074,44.13043,-31.40131,-0.07028,-0.73416,0.67533,36.804,side,side_phi_sector_1,58.60585484106113,15.627672238866435,25.608120985237534,-4.685013726033915
n,runs/geometry_optimization_20260704/s3c_bgo_w2mm_al3mm_shell_eqstats_prompt_eplus_n_20260709/Background_n_fullsphere20_rep07_part01.inc1.id1.sim.gz,418447,0.0006783510371648183,510.9989,-18.05274,-46.39566,-22.92856,0.48515,0.64847,0.58661,8.659,side,side_phi_sector_6,273.1125122474539,1.6289061613987172,-29.95574510369183,-9.765286099782898
n,runs/geometry_optimization_20260704/s3c_bgo_w2mm_al3mm_shell_eqstats_prompt_eplus_n_20260709/Background_n_fullsphere20_rep08_part01.inc1.id1.sim.gz,438602,0.0006783510371648183,510.9988664,68.45112,8.16623,24.83226,-0.95686,0.27413,-0.09631,0.098,top,top,40.31234027684997,16.984027635578244,14.40979289163811,49.0
atm511,runs/geometry_optimization_20260704/s3c_bgo_w2mm_al3mm_shell_atm511_sidecar_3m_20260709/Atm511SidecarS3cBgoW2mmAl3mmShell3M.inc1.id1.sim.gz,426168,0.00019448063945234253,510.999993,-47.06919,5.54484,41.86948,0.68731,-0.11737,-0.71682,511.0,side,side_window_aperture,176.844190693299,-29.95450562506265,1.6515425389887834,-4.368923263554626
atm511,runs/geometry_optimization_20260704/s3c_bgo_w2mm_al3mm_shell_atm511_sidecar_3m_20260709/Atm511SidecarS3cBgoW2mmAl3mmShell3M.inc1.id1.sim.gz,513083,0.00019448063945234253,511.0,-33.09375,12.38716,-36.24006,0.69635,-0.26202,0.66816,511.0,bottom,bottom,67.79983011594301,2.6695004582246913,6.541355746573829,-27.5
atm511,runs/geometry_optimization_20260704/s3c_bgo_w2mm_al3mm_shell_atm511_sidecar_3m_20260709/Atm511SidecarS3cBgoW2mmAl3mmShell3M.inc1.id1.sim.gz,754641,0.00019448063945234253,510.99997400000007,26.752,-38.638,-34.14992,-0.49303,0.70318,0.51231,511.0,side,side_phi_sector_7,320.6963288840378,23.21398876460853,-19.00291360914503,-4.850440908455285
atm511,runs/geometry_optimization_20260704/s3c_bgo_w2mm_al3mm_shell_atm511_sidecar_3m_20260709/Atm511SidecarS3cBgoW2mmAl3mmShell3M.inc1.id1.sim.gz,1549617,0.00019448063945234253,511.00001100000014,24.82135,39.09691,-35.05204,-0.47944,-0.70923,0.51685,511.0,side,side_phi_sector_1,40.44221985385245,22.83181551533979,19.460426518282915,-6.501788599575974
atm511,runs/geometry_optimization_20260704/s3c_bgo_w2mm_al3mm_shell_atm511_sidecar_3m_20260709/Atm511SidecarS3cBgoW2mmAl3mmShell3M.inc1.id1.sim.gz,2291363,0.00019448063945234253,510.999982317,41.7832,24.88901,-37.76024,-0.7796,-0.45993,0.42508,511.0,side,side_phi_sector_0,19.117029105859935,28.34554850078744,9.824962096084983,-5.365952782945838
atm511,runs/geometry_optimization_20260704/s3c_bgo_w2mm_al3mm_shell_atm511_sidecar_3m_20260709/Atm511SidecarS3cBgoW2mmAl3mmShell3M.inc1.id1.sim.gz,2547196,0.00019448063945234253,511.00001,-47.75816,1.29848,41.72792,0.68497,-0.02155,-0.72825,511.0,side,side_window_aperture,178.89077571860395,-29.99437825469677,0.580752196873144,-5.283283053744067
