nuclide,ZA,activity_bq,fraction_of_neutron_only_activity
W-187,74187,32.24853495229619,0.5576989895137467
Al-28,13028,8.321735785110958,0.1439142474292871
Cu-64,29064,6.163268584846062,0.10658619583664922
Ge-71,32071,1.9893071802397952,0.03440263583735855
Cu-66,29066,1.4066339107750396,0.024326013935685856
Ge-75,32075,1.1677843511699821,0.02019540278592076
Bi-206,83206,0.5029086659700225,0.008697190593125457
W-185,74185,0.4842632460952633,0.008374740849638046
Bi-210,83210,0.4645600137079838,0.008033997531878183
Mg-27,12027,0.385416334445012,0.006665304348865333
Ag-110,47110,0.34877464076998405,0.006031631049694875
C-11,6011,0.2999190490099999,0.005186733314125053
Bi-204,83204,0.29381209996200225,0.005081121095829918
Na-24,11024,0.28295528570198936,0.004893365765204689
Bi-205,83205,0.26710213509598146,0.004619204905287847
Cu-62,29062,0.24767070790999865,0.004283162126213911
Ge-77,32077,0.2374924595159978,0.004107141762722948
O-15,8015,0.19406526698500326,0.003356121555827314
Bi-203,83203,0.19406526689999945,0.003356121554357277
Ga-70,31070,0.13299577738500526,0.002299999388094107
Ge-69,32069,0.13006295146399546,0.002249279749047359
Ag-108,47108,0.12146042932499852,0.0021005096448771968
Bi-202,83202,0.10856798149999812,0.0018775505202224666
W-179,74179,0.10517523208499521,0.001818877066584358
Pb-200,82200,0.09092485628800272,0.0015724342376642183
Bi-201,83201,0.08753293511499737,0.0015137751074589662
Pb-203,82203,0.0868166807750009,0.0015013883642397237
B-12,5012,0.08617583534499548,0.0014903057259345353
Pb-201,82201,0.08278308590999595,0.0014316322719506093
N-16,7016,0.07735468683500096,0.0013377547459395712
Ga-72,31072,0.07260483626000334,0.0012556118867388048
Ga-68,31068,0.06106948961000411,0.0010561221679062506
Pb-199,82199,0.05699819031000366,0.0009857140235059853
Li-8,3008,0.05156979124499966,0.000891836497667729
Bi-200,83200,0.050212691475001146,0.0008683671161433562
Ga-73,31073,0.04817704181000085,0.0008331630436838156
Pb-198,82198,0.04478429237500017,0.0007744895896998699
W-181,74181,0.044153608497796974,0.0007635826830283223
Mn-56,25056,0.041391542984999995,0.000715816136494153
Ta-182,73182,0.04044303982170066,0.0006994129337903672
Pb-197,82197,0.03732024366500095,0.0006454079917480364
Tl-198,81198,0.03664169378000036,0.0006336733009858268
Tl-199,81199,0.035963143884997814,0.0006219386100506459
Zn-69,30069,0.030534744820000476,0.0005280610842125047
W-178,74178,0.029294330279003484,0.0005066096310808975
W-177,74177,0.029177645044998184,0.0005045917026015978
Tl-197,81197,0.02714199538999999,0.00046938763031503127
Ga-67,31067,0.026021896558000013,0.0004500168902896015
Ta-180,73180,0.025784895630000023,0.0004459182489635711
Tl-201,81201,0.024283225092001277,0.0004199486927383562
Pb-196,82196,0.023749245969998507,0.00041071417659047836
N-13,7013,0.021713596315001592,0.000375510104303934
Cu-61,29061,0.021035046430000506,0.000363775413541716
Pb-194,82194,0.018999396780000014,0.0003285713413415787
Tl-195,81195,0.018320846889999593,0.0003168366504929033
Be-7,4007,0.01758103442400002,0.0003040424982832614
W-175,74175,0.01628519724000001,0.0002816325782927817
W-174,74174,0.01628519724000001,0.0002816325782927817
C-15,6015,0.0162851972350008,0.0002816325782063265
Tl-200,81200,0.016284049992,0.0002816127380410843
Tl-196,81196,0.01560664735500001,0.00026989788753058246
Pb-195,82195,0.014928097470000009,0.0002581631967683832
Bi-199,83199,0.014928097470000009,0.0002581631967683832
Hg-192,80192,0.013570997700000007,0.00023469381524398472
F-18,9018,0.013570997700000007,0.00023469381524398472
Tl-202,81202,0.013543651770999008,0.0002342209008311678
Ta-177,73177,0.013408898813999997,0.00023189051316972807
Ga-75,31075,0.012892447815000006,0.00022295912448178548
Ta-176,73176,0.012213897930000005,0.00021122443371958624
Ga-74,31074,0.012213897930000005,0.00021122443371958624
Tl-193,81193,0.012213897930000005,0.00021122443371958624
Ta-183,73183,0.011804026635999994,0.0002041362107403832
Hg-195,80195,0.010856798160000004,0.00018775505219518774
Ta-185,73185,0.010856798160000004,0.00018775505219518774
Ta-173,73173,0.010856798160000004,0.00018775505219518774
Ta-175,73175,0.010178248275000003,0.0001760203614329885
Co-58,27058,0.0030565400749999493,5.285912410462445e-05
Zn-65,30065,0.002548212351799682,4.406821754127289e-05
Hf-175,72175,0.0014857361076,2.5693989730643842e-05
Bi-207,83207,0.0012034283450310095,2.0811822086454403e-05
Na-22,11022,0.0010188804639800148,1.7620292085749224e-05
Ge-68,32068,0.0004851765083000001,8.390534603044092e-06
Ta-179,73179,0.00028432087859996987,4.916982024995016e-06
Fe-55,26055,0.00021613170421999996,3.737733612509285e-06
Tl-204,81204,7.630100311999499e-05,1.3195325741728477e-06
Ni-63,28063,1.8129686364001603e-05,3.135307628815219e-07
Hg-194,80194,7.345744964999998e-07,1.2703567930345604e-08
C-14,6014,4.574736720200011e-07,7.911447915141077e-09
Nb-94,41094,3.2287333888500164e-07,5.583699696853165e-09
Bi-208,83208,1.9730258112008226e-07,3.4121069463122725e-09
Pb-202,82202,5.5555339079999994e-08,9.607616753083994e-10
Ni-59,28059,3.2669594835999235e-08,5.649807054742805e-10
Al-26,13026,2.5619439787301183e-08,4.430568924269475e-10
Be-10,4010,2.6598991947001294e-09,4.5999704956738416e-11
Pb-205,82205,1.6247830967999322e-10,2.8098637429723568e-12
