volume,volume_class,material,activity_bq,fraction_of_neutron_only_activity,mass_kg_pre_relief_if_s3c_replacement,activity_bq_per_kg_if_available
Window,Window package,mixed/retained,31.821756233187223,0.5503183732859049,,
Outer_W_S3C_BGO_Mechanical_BottomCap_2mm,S3c W mechanical shell,W,5.833492268930502,0.10088311759065348,8.197546206571035,0.7116144419234208
NF2_OuterSupport_Al_BaseMountAnnulus,NF2 support,mixed/retained,4.533628043029755,0.07840355483339098,,
NF2_OuterSupport_Al_TopMountAnnulus,NF2 support,mixed/retained,2.428670318768532,0.042000884215138506,,
ColdPlate_4K,Cryostat and cold structure,mixed/retained,1.4015222919652315,0.02423761473711059,,
Outer_W_S3C_BGO_Mechanical_TopAnnulus_2mm,S3c W mechanical shell,W,1.321537374493584,0.022854373367657246,2.900548930694913,0.4556163009382402
BGO_S3C_FullWrap_BottomCap_40mm,S3c BGO active shell,BGO,1.1458884818840243,0.019816740493405226,56.89845520394108,0.020139184408026846
ColdPlate_MXC_50mK_SD_anchor,Cryostat and cold structure,mixed/retained,1.0822901169608057,0.01871688451840131,,
Passive_W_Bottom_Plate_detector_bay,Retained passive W/collimator,mixed/retained,1.0717347842335958,0.01853434294233734,,
ColdPlate_CP_100mK_intercept,Cryostat and cold structure,mixed/retained,1.0524352579675125,0.018200581228429703,,
ColdPlate_Still_0p7K,Cryostat and cold structure,mixed/retained,1.0029007347148893,0.017343942202660063,,
XS400_Group2_Cu_Coarse_OffAxisContactBlock_60K300K,Cryostat and cold structure,mixed/retained,0.48109186698299117,0.008319895724769722,,
DR_MXC_Sinter_HEX_AgProxy,Cryostat and cold structure,mixed/retained,0.47023507009498544,0.008132140694572122,,
Cu_50mK_StillLike_Can_bottom_cap_2mm,Cryostat and cold structure,mixed/retained,0.419343827640007,0.007252038868730272,,
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Other,mixed/retained,0.3720668337647283,0.006434441053806492,,
BGO_S3C_FullWrap_TopAnnulus_40mm,S3c BGO active shell,BGO,0.33232561475961814,0.0057471652530924405,17.761055642285907,0.018710915694020468
XS400_Group2_Cu_Coarse_TopOpenCollar_4K60K,Cryostat and cold structure,mixed/retained,0.29177644976701267,0.00504591701420486,,
XS400_Group2_Cu_Coarse_LowerOpenCollar_4K60K,Cryostat and cold structure,mixed/retained,0.24359940808099353,0.004212753972665157,,
XS400_Group2_Cu_Coarse_MainVerticalStack_4K60K,Cryostat and cold structure,mixed/retained,0.2381710089950027,0.004118876446463959,,
XS400_Group2_Cu_Coarse_ServiceCan_60K300K,Cryostat and cold structure,mixed/retained,0.21102901370698923,0.0036494888179126597,,
XS400_Group2_Cu_Coarse_SideSleeve_4K60K,Cryostat and cold structure,mixed/retained,0.1954223663750085,0.003379590930780168,,
XS400_Group2_Cu_Coarse_CurvedManifoldArc_60K300K,Cryostat and cold structure,mixed/retained,0.19202961701499024,0.003320917478092951,,
GeoOpt_S2B_CryoShell_BPE5_SideShell_20mm,Other,mixed/retained,0.17817569621831242,0.0030813308537535854,,
Cu_50mK_StillLike_Can_side_wall_above_side_port,Cryostat and cold structure,mixed/retained,0.15810212283800823,0.0027341829412457466,,
XS400_Group2_Cu_Coarse_NorthContactBlock_4K60K,Cryostat and cold structure,mixed/retained,0.15674502305399093,0.0027107135594789363,,
Cu_50mK_StillLike_Can_side_wall_below_side_port,Cryostat and cold structure,mixed/retained,0.12621027832999893,0.0021826524769267804,,
GeoOpt_S2B_CryoShell_Plastic_SideSkin_10mm,Other,mixed/retained,0.11881310286456069,0.0020547273699898826,,
Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,Other,mixed/retained,0.11738912952896775,0.0020301014918986935,,
Outer_Al_S3C_BGO_Mechanical_BottomCap_3mm,S3c Al mechanical shell,Aluminium,0.11535348119817924,0.0019948974425127147,1.7202104733996313,0.06705777169825478
Plate_300K_Top_Service_Lid,Other,mixed/retained,0.10110393315415218,0.0017484689285682188,,
ColdPlate_60K,Cryostat and cold structure,mixed/retained,0.08006888700460808,0.0013846935198766534,,
DR_Still_Pot_Cu,Cryostat and cold structure,mixed/retained,0.06106948952500211,0.001056122166436245,,
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_below_side_port,Other,mixed/retained,0.05089124135000257,0.0008801018067326423,,
XS400_Group3_Cu_Coarse_DualThermalTabs_4K60K,Cryostat and cold structure,mixed/retained,0.04953414149899914,0.0008566324238073885,,
XS400_Group3_Cu_Coarse_TopFlange_4K60K,Cryostat and cold structure,mixed/retained,0.046819941953999696,0.0008096936606721323,,
