depth_bin_lo_cm,depth_bin_hi_cm,depth_bin_mid_cm,at_risk_count,interaction_count,exposure_cm,hazard_per_cm,fitted_survival
0.0,0.25,0.125,153525,30989,34371.970411741204,0.9015776409901247,0.893741555393472
0.25,0.5,0.375,122532,24675,27426.513265353187,0.899676884234896,0.713897488422583
0.5,0.75,0.625,97852,19470,21949.23130179638,0.8870470100885277,0.5702427294562772
0.75,1.0,0.875,78380,15780,17570.054152709446,0.8981190304166817,0.45549504763807286
1.0,1.25,1.125,62597,12645,14008.183122480792,0.9026866574657272,0.3638375865320317
1.25,1.5,1.375,49950,10185,11160.354110847251,0.9126054513002181,0.29062399264248073
1.5,1.75,1.625,39761,8154,8886.257907120245,0.9175965952402177,0.23214287975170683
1.75,2.0,1.875,31603,6455,7072.456775611131,0.912695574508085,0.18542968916441158
2.0,2.25,2.125,25146,5044,5637.039837805176,0.89479587605042,0.14811640856866504
2.25,2.5,2.375,20100,4006,4496.110713149787,0.8909922943586867,0.11831153137417989
2.5,2.75,2.625,16088,3268,3601.261222160428,0.9074598587545666,0.0945041713566423
2.75,3.0,2.875,12819,2531,2874.607879669757,0.8804679128239112,0.07548747193170639
3.0,3.25,3.125,10285,1986,2310.9204513608065,0.8593978208252585,0.06029742747688405
3.25,3.5,3.375,8297,1668,1855.065299870657,0.899159722364652,0.04816401539608301
3.5,3.75,3.625,6627,1325,1482.3501090343802,0.8938509141157753,0.03847216168489847
3.75,4.0,3.875,5299,1036,1188.9999450144742,0.8713204776366817,0.030730561240318435
4.0,4.25,4.125,4262,820,874.0418569203937,0.9381701728670007,0.024546772335791455
4.25,4.5,4.375,2812,481,581.089404801181,0.8277555846411854,0.019607322736255144
4.5,4.75,4.625,1917,372,395.19219888404393,0.9413141277850757,0.015661818980701948
4.75,5.0,4.875,1282,240,270.47533715398015,0.8873267430788682,0.012510253290762366
5.0,5.25,5.125,889,158,187.38485151665762,0.8431844875462334,0.009992864659709924
5.25,5.5,5.375,635,118,132.1486877093919,0.8929335738807617,0.007982040154296054
5.5,5.75,5.625,436,68,92.52196289263354,0.7349606285256844,0.006375845885482456
5.75,6.0,5.875,309,61,66.48452974267863,0.9175066776601124,0.005092859716264941
6.0,6.25,6.125,219,25,48.948268665311886,0.5107432945369266,0.004068043763198894
6.25,6.5,6.375,171,33,35.974266069929094,0.9173223975119458,0.003249447458065522
6.5,6.75,6.625,116,22,24.88418913316277,0.8840955147170515,0.0025955740393573136
6.75,7.0,6.875,89,14,19.40525352999159,0.7214541143903348,0.0020732769742325212
7.0,7.25,7.125,63,11,13.254753719526033,0.8298909382069862,0.001656079675133096
7.25,7.5,7.375,46,4,10.744101127870767,0.3722973148143392,0.001322833333160509
7.5,7.75,7.625,38,3,8.676253919885696,0.34577134644758334,0.0010566448303158526
7.75,8.0,7.875,32,1,7.4074588256357075,0.134999062909294,0.0008440203837059978
8.0,8.25,8.125,26,3,5.604877457534229,0.5352480982376017,0.000674181510828268
8.25,8.5,8.375,19,1,4.398322407504999,0.2273594128283247,0.000538518640446735
8.5,8.75,8.625,16,0,4.0,0.0,0.00043015467118390205
8.75,9.0,8.875,16,0,3.541980501898994,0.0,0.0003435963534852468
9.0,9.25,9.125,14,0,3.5,0.0,0.00027445582260778425
9.25,9.5,9.375,14,0,3.5,0.0,0.00021922816642042653
9.5,9.75,9.625,14,0,3.5,0.0,0.00017511375235330567
9.75,10.0,9.875,14,0,3.462452413591002,0.0,0.0001398763067901006
10.0,10.25,10.125,13,0,2.8394184262729993,0.0,0.0001117295525811342
10.25,10.5,10.375,11,0,2.75,0.0,8.924665803990114e-05
