option,change,cavity_reaching,passthrough_c0,vetoed_c0,new_leak,still_vetoed,leak,identity_leak_pass,identity_veto_pass,atm511_T_ratio,atm511_T_ratio_ci_low,atm511_T_ratio_ci_high
O1,remove W only,717428,18781,698647,2411,696236,21192,True,True,1.1283744209573505,1.1135044243631973,1.1434368724204973
O2,side 40->30 mm,717428,18781,698647,3217,695430,21998,True,True,1.1712901336457058,1.1561467975199553,1.1866254650596688
O3,side 40->20 mm,717428,18781,698647,12559,686088,31340,True,True,1.6687077365422502,1.6507341451305846,1.6868679964385835
O4,bottom 40->30 mm,717428,18781,698647,974,697673,19755,True,True,1.0518609232735212,1.0374927341329472,1.0664223866597418
O5,bottom 40->20 mm,717428,18781,698647,3962,694685,22743,True,True,1.2109578829668282,1.1955667431270365,1.22654059329622
O6,top annulus 40->10 mm,717428,18781,698647,2324,696323,21105,True,True,1.123742079761461,1.1089019256402441,1.1387747383590263
O7,top annulus removed,717428,18781,698647,3564,695083,22345,True,True,1.1897662531281614,1.1745069320521548,1.205217371633161
O8,"side40/bottom30/top10, no W (LW4 profile)",717428,18781,698647,8472,690175,27253,True,True,1.4510941909376498,1.4342907950470218,1.4680865857182217
O9,"side30/bottom30/top30, no W (LW5 profile)",717428,18781,698647,11038,687609,29819,True,True,1.5877216335658377,1.570172804922456,1.6054579979672967
O10,"side30/bottom30/top10, no W",717428,18781,698647,14050,684597,32831,True,True,1.7480964804855972,1.729717807332796,1.766660971955641
