section,component,stage,metric,unit,c0_count,c0_value,c0_ci95_low,c0_ci95_high,s3d_count,s3d_value,s3d_ci95_low,s3d_ci95_high,s3d_over_c0,ratio_ci95_low,ratio_ci95_high,gate_limit,gate_pass,note
prompt,eplus,raw,W2_rate,cps,6,0.004079920196760951,0.0014972588059915337,0.008880268637258161,12,0.008132224549695009,0.004202039093448219,0.014205359710775375,1.9932312784331374,0.6923493931621529,6.472731889832646,,,Garwood marginal rate CI; exact conditional Poisson rate-ratio CI
prompt,eplus,active_veto_pass,W2_rate,cps,2,0.0013599733989203171,0.000164699087895737,0.004912691521806126,5,0.003388426895706253,0.0011002129898180625,0.007907458049121801,2.491539098041421,0.40790090909364296,26.164625535191007,,,Garwood marginal rate CI; exact conditional Poisson rate-ratio CI
prompt,eplus,side_compton_fov_pass,W2_rate,cps,2,0.0013599733989203171,0.000164699087895737,0.004912691521806126,4,0.0027107415165650026,0.0007385858289388769,0.006940574904499691,1.9932312784331372,0.2856637631662192,22.034875223953282,,,Garwood marginal rate CI; exact conditional Poisson rate-ratio CI
prompt,n,raw,W2_rate,cps,28,0.01899382904061491,0.012621261458778664,0.027451371349890206,28,0.01900006717880895,0.01262540665630543,0.027460387196443857,1.000328429732662,0.5709225918988383,1.7527016473517303,,,Garwood marginal rate CI; exact conditional Poisson rate-ratio CI
prompt,n,active_veto_pass,W2_rate,cps,2,0.0013567020743296366,0.00016430291531124107,0.004900874372592421,1,0.0006785738278146054,1.7180001875774775e-05,0.003780771383007356,0.500164214866331,0.008477763784641911,9.607684297905244,,,Garwood marginal rate CI; exact conditional Poisson rate-ratio CI
prompt,n,side_compton_fov_pass,W2_rate,cps,2,0.0013567020743296366,0.00016430291531124107,0.004900874372592421,0,0.0,0.0,0.002503177051524745,0.0,0.0,5.32630406261716,,,Garwood marginal rate CI; exact conditional Poisson rate-ratio CI
atm511,atm511,raw,W2_rate,cps,8,0.0015558451156187402,0.0006717034902951249,0.003065635119351468,19,0.0036942340783372063,0.0022241702389327036,0.005769004126184457,2.37442277592526,0.9925302695951436,6.269798844853761,,,matched 3M 4pi sidecar; Garwood marginal rate CI
atm511,atm511,active_veto_pass,W2_rate,cps,8,0.0015558451156187402,0.0006717034902951249,0.003065635119351468,19,0.0036942340783372063,0.0022241702389327036,0.005769004126184457,2.37442277592526,0.9925302695951436,6.269798844853761,,,matched 3M 4pi sidecar; Garwood marginal rate CI
atm511,atm511,side_compton_fov_pass,W2_rate,cps,6,0.001166883836714055,0.00042822580242533913,0.0025398148588106897,18,0.0034998007057931426,0.0020742037040334285,0.005531193970140475,2.99927087485296,1.140533252343829,9.22998589923272,,,matched 3M 4pi sidecar; Garwood marginal rate CI
signal,focused_f10m_a1,side_compton_fov_pass,W2_acceptance,fraction,29703,0.7985965478302952,0.7944900432551664,0.8026413796686466,29822,0.8017959886003119,0.7977135607318785,0.80581608291298,1.004006329327004,0.9968215671448234,1.0112428769132287,0.02,True,"matched 37,194-row EventList; paired pass/loss table is in JSON"
dominant_subset,eplus+n+atm511,side_compton_fov_pass,W2_rate_sum,cps,10,0.0038835593099640093,0.001062286364965383,0.006704832254962635,22,0.006210542222358145,0.0031007346545721924,0.009320349790144098,1.5991881999648672,,,0.0052,False,central gate; counting CI uses independent-Poisson Gaussian propagation across unequal weights
