section,component,stage,metric,unit,c0_count,c0_value,c0_ci95_low,c0_ci95_high,s3d_count,s3d_value,s3d_ci95_low,s3d_ci95_high,s3d_over_c0,ratio_ci95_low,ratio_ci95_high,gate_limit,gate_pass,note
prompt,eplus,raw,W2_rate,cps,6,0.004079920196760951,0.0014972588059915337,0.008880268637258161,9,0.006106650617484154,0.0027923495184758976,0.011592325060689362,1.4967573685221158,0.4757900105712751,5.110216573799922,,,Garwood rate CI; exact conditional Poisson rate-ratio CI
prompt,eplus,active_veto_pass,W2_rate,cps,2,0.0013599733989203171,0.000164699087895737,0.004912691521806126,2,0.0013570334705520343,0.00016434304893121065,0.004902071489692964,0.9978382456814106,0.07232825892051717,13.766143128631471,,,Garwood rate CI; exact conditional Poisson rate-ratio CI
prompt,eplus,side_compton_fov_pass,W2_rate,cps,2,0.0013599733989203171,0.000164699087895737,0.004912691521806126,1,0.0006785167352760171,1.717855641784546e-05,0.003780453283742059,0.4989191228407053,0.008456659523741885,9.58376725076654,,,Garwood rate CI; exact conditional Poisson rate-ratio CI
prompt,n,raw,W2_rate,cps,28,0.01899382904061491,0.012621261458778664,0.027451371349890206,16,0.010856562418787822,0.006205463465727887,0.017630377202820898,0.5715836651774112,0.2888712741573004,1.0935665679382687,,,Garwood rate CI; exact conditional Poisson rate-ratio CI
prompt,n,active_veto_pass,W2_rate,cps,2,0.0013567020743296366,0.00016430291531124107,0.004900874372592421,3,0.0020356054535227166,0.00041979078243625426,0.0059489029577634404,1.5004071210907042,0.17187512922389028,17.964035198785584,,,Garwood rate CI; exact conditional Poisson rate-ratio CI
prompt,n,side_compton_fov_pass,W2_rate,cps,2,0.0013567020743296366,0.00016430291531124107,0.004900874372592421,3,0.0020356054535227166,0.00041979078243625426,0.0059489029577634404,1.5004071210907042,0.17187512922389028,17.964035198785584,,,Garwood rate CI; exact conditional Poisson rate-ratio CI
atm511,atm511,raw,W2_rate,cps,8,0.0015558451156187402,0.0006717034902951249,0.003065635119351468,9,0.0017496690209435383,0.000800060090900814,0.0033214168142063727,1.1245778923486973,0.3851239733335987,3.3497338863259487,,,matched 3M sidecar; Garwood rate CI
atm511,atm511,active_veto_pass,W2_rate,cps,8,0.0015558451156187402,0.0006717034902951249,0.003065635119351468,9,0.0017496690209435383,0.000800060090900814,0.0033214168142063727,1.1245778923486973,0.3851239733335987,3.3497338863259487,,,matched 3M sidecar; Garwood rate CI
atm511,atm511,side_compton_fov_pass,W2_rate,cps,6,0.001166883836714055,0.00042822580242533913,0.0025398148588106897,9,0.0017496690209435383,0.000800060090900814,0.0033214168142063727,1.4994371897982632,0.4766418735519573,5.11936599733923,,,matched 3M sidecar; Garwood rate CI
signal,focused_eventlist,side_compton_fov_pass,W2_acceptance,fraction,29703,0.7985965478302952,0.7944900432551664,0.8026413796686466,29598,0.795773511856751,0.7916460981279143,0.7998398359243875,0.9964650035349965,0.989267377819709,1.0037149971106811,0.02,True,"matched 37,194-row EventList; central loss gate <=2%"
dominant_subset,eplus+n+atm511,side_compton_fov_pass,W2_rate_sum,cps,10,0.0038835593099640093,0.001062286364965383,0.006704832254962635,13,0.004463791209742272,0.001568768560411386,0.007358813859073159,1.1494072456392175,,,0.0052,True,central gate; diagnostic independent-Poisson Gaussian propagation
