particle,bin_id,theta_mid_deg,rows_seen,numeric_rows,rows_kept,rows_dropped,pdf_integral,raw_spectrum_path,cosima_spectrum_path
gamma,00,18.194872,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin00_theta18.19_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin00_theta18.19_pdf.dat
gamma,01,31.788331,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin01_theta31.79_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin01_theta31.79_pdf.dat
gamma,02,41.409622,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin02_theta41.41_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin02_theta41.41_pdf.dat
gamma,03,49.458398,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin03_theta49.46_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin03_theta49.46_pdf.dat
gamma,04,56.632987,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin04_theta56.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin04_theta56.63_pdf.dat
gamma,05,63.256316,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin05_theta63.26_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin05_theta63.26_pdf.dat
gamma,06,69.512685,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin06_theta69.51_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin06_theta69.51_pdf.dat
gamma,07,75.522488,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin07_theta75.52_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin07_theta75.52_pdf.dat
gamma,08,81.373073,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin08_theta81.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin08_theta81.37_pdf.dat
gamma,09,87.134016,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin09_theta87.13_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin09_theta87.13_pdf.dat
gamma,10,92.865984,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin10_theta92.87_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin10_theta92.87_pdf.dat
gamma,11,98.626927,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin11_theta98.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin11_theta98.63_pdf.dat
gamma,12,104.477512,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin12_theta104.48_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin12_theta104.48_pdf.dat
gamma,13,110.487315,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin13_theta110.49_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin13_theta110.49_pdf.dat
