component_name,particle,bin_id,direction_tag,theta_min_deg,theta_max_deg,theta_mid_deg,mu_high,mu_low,mu_mid,delta_omega_sr,black_hole_mode,energy_unit_raw,energy_unit_cosima,flux_unit_raw,integral_per_sr_cm2_s,flux_cm2_s,raw_spectrum_path,cosima_spectrum_path,source_file,expacs_lat_deg,expacs_lon_deg,expacs_altitude_km,expacs_Rc_GV,W_or_date
Atm_gamma_bin00_down,gamma,00,atm_down,0.000000,25.841933,18.194872,1.000000,0.900000,0.950000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,6.881454414206e-02,4.323745326736e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin00_theta18.19_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin00_theta18.19_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin01_down,gamma,01,atm_down,25.841933,36.869898,31.788331,0.900000,0.800000,0.850000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,9.065438885628e-02,5.695983240931e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin01_theta31.79_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin01_theta31.79_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin02_down,gamma,02,atm_down,36.869898,45.572996,41.409622,0.800000,0.700000,0.750000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,1.133305026863e-01,7.120765493338e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin02_theta41.41_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin02_theta41.41_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin03_down,gamma,03,atm_down,45.572996,53.130102,49.458398,0.700000,0.600000,0.650000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,1.370720595258e-01,8.612491504375e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin03_theta49.46_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin03_theta49.46_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin04_down,gamma,04,atm_down,53.130102,60.000000,56.632987,0.600000,0.500000,0.550000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,1.622103834053e-01,1.019197897684e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin04_theta56.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin04_theta56.63_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin05_down,gamma,05,atm_down,60.000000,66.421822,63.256316,0.500000,0.400000,0.450000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,1.892532513021e-01,1.189113247918e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin05_theta63.26_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin05_theta63.26_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin06_down,gamma,06,atm_down,66.421822,72.542397,69.512685,0.400000,0.300000,0.350000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,2.190451814656e-01,1.376301465793e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin06_theta69.51_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin06_theta69.51_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin07_down,gamma,07,atm_down,72.542397,78.463041,75.522488,0.300000,0.200000,0.250000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,2.531758651329e-01,1.590750875935e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin07_theta75.52_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin07_theta75.52_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin08_down,gamma,08,atm_down,78.463041,84.260830,81.373073,0.200000,0.100000,0.150000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,2.953507814677e-01,1.855743690582e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin08_theta81.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin08_theta81.37_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin09_down,gamma,09,atm_down,84.260830,90.000000,87.134016,0.100000,0.000000,0.050000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,3.598666322402e-01,2.261108736236e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin09_theta87.13_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin09_theta87.13_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin10_up,gamma,10,atm_up_albedo_like,90.000000,95.739170,92.865984,0.000000,-0.100000,-0.050000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,7.404378927360e-01,4.652308488518e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin10_theta92.87_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin10_theta92.87_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
