case,cohort,source_name,source_file,local_id,leakage_class,has_tes_hit,stop_class,stop_process,stop_material,stop_volume,n_ia,n_cc_hits,n_segments_after_annihilation,path_length_total_cm,path_length_by_endpoint_material_cm,path_endpoint_material_sequence,cc_edep_total_keV,cc_edep_by_material_keV,shield_edep_keV,tes_edep_keV,first_primary_volume,last_primary_volume,primary_volume_sequence,path_cm_Ta/TES,path_cm_CsI,path_cm_Aluminium,path_cm_Copper,path_cm_W,path_cm_Be,path_cm_Kapton,path_cm_StainlessSteel,path_cm_LowCarbonSteel,path_cm_other,path_cm_unknown,edep_keV_Ta/TES,edep_keV_CsI,edep_keV_Aluminium,edep_keV_Copper,edep_keV_W,edep_keV_Be,edep_keV_Kapton,edep_keV_StainlessSteel,edep_keV_LowCarbonSteel,edep_keV_other,edep_keV_unknown,group
old,selected,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,True,TES hit,CC_TES,Ta/TES,TP_L5_00059,9,73,5,31.66642366085902,Ta/TES:31.7,Ta/TES,660.4751823019998,Ta/TES:511; Aluminium:149,149.47627799999998,510.9989043019998,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,31.66642366085902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.9989043019998,0.0,149.47627799999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_selected
old,selected,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,True,TES hit,CC_TES,Ta/TES,TP_L3_00005,9,15,5,33.19047574703307,Ta/TES:33.2,Ta/TES,521.25085585,Ta/TES:511; Aluminium:10.3,10.25187185,510.998984,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,33.19047574703307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.998984,0.0,10.25187185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_selected
old,selected,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,37120,,True,TES hit,CC_TES,Ta/TES,TP_L2_00062,8,7,4,31.34692177730512,Ta/TES:31.3,Ta/TES,510.9989,Ta/TES:511,0.0,510.9989,,,,31.34692177730512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.9989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_selected
old,selected,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,73592,,True,TES hit,CC_TES,Ta/TES,TP_L5_00099,12,19,8,49.21048510478491,Ta/TES:49.2,Ta/TES,519.19715382,Ta/TES:511; Aluminium:8.2,8.19822882,510.998925,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,49.21048510478491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.998925,0.0,8.19822882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_selected
old,selected,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,27173,,True,TES hit,CC_TES,Ta/TES,TP_L5_00059,9,73,5,31.66642366085902,Ta/TES:31.7,Ta/TES,660.4751823019998,Ta/TES:511; Aluminium:149,149.47627799999998,510.9989043019998,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,31.66642366085902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.9989043019998,0.0,149.47627799999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_selected
old,selected,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,32527,,True,TES hit,CC_TES,Ta/TES,TP_L3_00005,9,15,5,33.19047574703307,Ta/TES:33.2,Ta/TES,521.25085585,Ta/TES:511; Aluminium:10.3,10.25187185,510.998984,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,33.19047574703307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.998984,0.0,10.25187185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_selected
old,selected,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,37120,,True,TES hit,CC_TES,Ta/TES,TP_L2_00062,8,7,4,31.34692177730512,Ta/TES:31.3,Ta/TES,510.9989,Ta/TES:511,0.0,510.9989,,,,31.34692177730512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.9989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_selected
old,selected,Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,73592,,True,TES hit,CC_TES,Ta/TES,TP_L5_00099,12,19,8,49.21048510478491,Ta/TES:49.2,Ta/TES,519.19715382,Ta/TES:511; Aluminium:8.2,8.19822882,510.998925,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,49.21048510478491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.998925,0.0,8.19822882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_selected
old,selected,Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,27173,,True,TES hit,CC_TES,Ta/TES,TP_L5_00059,9,73,5,31.66642366085902,Ta/TES:31.7,Ta/TES,660.4751823019998,Ta/TES:511; Aluminium:149,149.47627799999998,510.9989043019998,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,31.66642366085902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.9989043019998,0.0,149.47627799999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_selected
old,selected,Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,32527,,True,TES hit,CC_TES,Ta/TES,TP_L3_00005,9,15,5,33.19047574703307,Ta/TES:33.2,Ta/TES,521.25085585,Ta/TES:511; Aluminium:10.3,10.25187185,510.998984,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,Outer_Al_Mech_Shell,33.19047574703307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.998984,0.0,10.25187185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_selected
