case,cohort,source_file,local_id,parent_ia_id,child_ia_id,parent_process,child_process,length_cm,endpoint_material,endpoint_volume,endpoint_x_cm,endpoint_y_cm,endpoint_z_cm,nearest_cc_distance_cm,group
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,3,5,ANNI,PHOT,15.815202000758637,Ta/TES,TP_L5_00059,-1.01089,0.30444,7.21136,3.522782990943372e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,3,6,ANNI,PHOT,15.815202000758637,Ta/TES,TP_L5_00059,-1.01089,0.30444,7.21136,3.522782990943372e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,6,7,PHOT,COMP,0.012233474567758655,Ta/TES,TP_L5_00059,-1.01146,0.29237,7.21327,6.331666447474353e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,6,8,PHOT,RAYL,0.011081579309827791,Ta/TES,TP_L5_00059,-1.00502,0.2999,7.21959,5.223983154680109e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,6,9,PHOT,PHOT,0.01270460546416123,Ta/TES,TP_L5_00059,-1.0037,0.30474,7.22183,4.459820624327531e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,2,4,ANNI,PHOT,16.59439052562341,Ta/TES,TP_L3_00005,-1.47068,-0.17293,4.85402,3.280243892985061e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,2,5,ANNI,PHOT,16.59439052562341,Ta/TES,TP_L3_00005,-1.47068,-0.17293,4.85402,3.280243892985061e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,5,6,PHOT,PHOT,9.949874371078661e-05,Ta/TES,TP_L3_00005,-1.47065,-0.1729,4.85411,3.0149626867543784e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,4,8,PHOT,BREM,0.0014625320509311166,Ta/TES,TP_L3_00005,-1.47171,-0.17384,4.85352,2.3259406698916344e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,8,9,BREM,PHOT,0.00013266499161424826,Ta/TES,TP_L3_00005,-1.47175,-0.17396,4.85356,5.000999900005627e-06,old_selected
