case,source_name,local_id,leakage_class,volume,material,raw_material,t0,t1,length_cm
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,Outer_Al_Mech_Shell,Aluminium,Aluminium,0.0,0.012731872831,0.20139497699578948
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,ActiveShield_Flex_Readout_Kapton,Kapton,Kapton,0.014025582787,0.017259860883,0.051160372977959265
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,ActiveShield_Al_Backplane_Liner,Aluminium,Aluminium,0.017259860883,0.024375289019,0.11255307878003366
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,CsI_Active_Shield_Side07,CsI,CsI,0.025669005669,0.284433655531,4.093184199844684
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,Passive_W_Outer_Liner,W,W,0.290256549741,0.294138503148,0.06140541360088991
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,Passive_Cu_Inner_Liner,Copper,Copper,0.295432491945,0.300608469128,0.08187450656614376
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,Vacuum_Jacket_Al_Reinforcement,Aluminium,Aluminium,0.300608469128,0.308372502386,0.12281282731494612
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,Vacuum_Jacket_Al,Aluminium,Aluminium,0.310313523655,0.336194331884,0.4093871221538513
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,Thermal_60K_Al_Shield,Aluminium,Aluminium,0.355605630898,0.365311524636,0.15352951384565075
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,Thermal_4K_Al_Shield,Aluminium,Aluminium,0.45461527318,0.462381812466,0.12285246810134974
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,Thermal_1K_Al_Shield,Aluminium,Aluminium,0.571139580902,0.577615333316,0.10243457704607972
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,Cryoperm_Inner_Mag_Shield,Cryoperm,Cryoperm,0.598339942979,0.627490645358,0.46111087606336987
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,Thermal_50mK_Al_Shield,Aluminium,Aluminium,0.633321902941,0.638505598097,0.08199659080429378
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,Nb_SC_Detector_Can,Nb,Nb,0.641421580475,0.643365632393,0.030751351077820385
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,TES_SampleBox_Cu,Copper,Copper,0.695554592638,0.715019420756,0.30789803378390374
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,TP_L5_00118,Ta/TES,Ta,0.96861771604,0.969733548037,0.017650424438720856
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,TP_L5_00098,Ta/TES,Ta,0.970117347695,0.981300388234,0.1768952786436203
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,TP_L5_00079,Ta/TES,Ta,0.98201513711,0.993529126866,0.18213029087074648
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,27173,,TP_L5_00059,Ta/TES,Ta,0.993912926525,0.999910317854,0.0948677782735784
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,Outer_Al_Mech_Shell,Aluminium,Aluminium,0.0,0.013879203264,0.23032741955047273
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,ActiveShield_Flex_Readout_Kapton,Kapton,Kapton,0.015267535913,0.018738460813,0.057600509226930954
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,ActiveShield_Al_Backplane_Liner,Aluminium,Aluminium,0.018738460813,0.026374970712,0.12672900496893477
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,CsI_Active_Shield_Side02,CsI,CsI,0.027763498154,0.306092512524,4.61891093072679
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,Passive_W_Outer_Liner,W,W,0.312375191629,0.31656435229,0.0695197373204551
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,Passive_Cu_Inner_Liner,Copper,Copper,0.317960867245,0.323547578099,0.09271228832811136
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,Vacuum_Jacket_Al_Reinforcement,Aluminium,Aluminium,0.323547578099,0.331929642916,0.13910159849103754
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,Vacuum_Jacket_Al,Aluminium,Aluminium,0.334025542989,0.361986444064,0.46401526589176306
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,Thermal_60K_Al_Shield,Aluminium,Aluminium,0.382977717445,0.393480632106,0.174297413591576
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,Thermal_4K_Al_Shield,Aluminium,Aluminium,0.490393252728,0.498850522481,0.14034963546526746
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,Thermal_1K_Al_Shield,Aluminium,Aluminium,0.618060306165,0.625221149401,0.11883524673432978
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,Cryoperm_Inner_Mag_Shield,Cryoperm,Cryoperm,0.648206317211,0.680747359899,0.5400233896170161
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,Thermal_50mK_Al_Shield,Aluminium,Aluminium,0.687292396131,0.693122061322,0.09674415128489693
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,Nb_SC_Detector_Can,Nb,Nb,0.696406410792,0.698598121712,0.036371765079164044
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,TES_SampleBox_Cu,Copper,Copper,0.758226406439,0.781011838134,0.3781275903110017
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,Substrate_L3,Silicon,Silicon,0.966803173561,0.970506785376,0.061461982805470244
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,TP_L3_00008,Ta/TES,Ta,0.970506785376,0.977097426166,0.10937265327630262
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,TP_L3_00007,Ta/TES,Ta,0.977442961575,0.987809023827,0.17202632773566093
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,TP_L3_00006,Ta/TES,Ta,0.988154559236,0.998520621488,0.17202632773566093
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,32527,,TP_L3_00005,Ta/TES,Ta,0.998866156897,1.0,0.018816293062475866
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,37120,,Outer_Al_Mech_Shell,Aluminium,Aluminium,1.46116e-07,0.012780668136,0.20021834970834618
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,37120,,ActiveShield_Flex_Readout_Kapton,Kapton,Kapton,0.014058720731,0.017253852539,0.05005460783975118
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,37120,,ActiveShield_Al_Backplane_Liner,Aluminium,Aluminium,0.017253852539,0.024283144139,0.11012016266380487
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,37120,,CsI_Active_Shield_Side07,CsI,CsI,0.0255611974,0.281173970219,4.004403533604223
old,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,37120,,Passive_W_Outer_Liner,W,W,0.286925326184,0.290759565873,0.060066806482276976
