particle,nuclide,raw_value
n,Cs-134,2924.0
n,I-128,2405.0
n,W-183,1007.0
n,W-187,653.0
n,W-185,200.0
n,Al-28,131.0
n,Cu-64,116.0
muminus,Mg-27,58.0
n,Cu-66,29.0
n,Cs-132,27.0
n,Ta-182,27.0
n,Nb-94,24.0
n,Ag-110,20.0
n,I-126,16.0
p,W-183,16.0
p,Al-26,15.0
muminus,Na-25,14.0
n,Cs-131,12.0
n,W-181,12.0
muminus,Na-24,9.0
n,Al-26,9.0
n,W-180,7.0
n,Ag-108,7.0
n,I-124,6.0
n,W-178,6.0
n,Cu-62,5.0
n,I-125,5.0
n,Mg-27,5.0
n,Na-24,5.0
muminus,Ne-24,4.0
p,Si-27,4.0
muminus,W-183,3.0
n,I-122,3.0
n,I-123,3.0
n,Cs-130,3.0
p,I-126,3.0
alpha,Al-26,2.0
muminus,I-128,2.0
muminus,Ne-25,2.0
muminus,Na-26,2.0
n,C-14,2.0
n,Ni-59,2.0
n,Te-123,2.0
n,Xe-127,2.0
n,Cs-128,2.0
n,Ni-63,2.0
n,Ta-184,2.0
n,Ta-185,2.0
n,Na-22,2.0
n,W-174,2.0
n,Hf-174,2.0
p,Re-182,2.0
alpha,Al-28,1.0
alpha,Te-119,1.0
alpha,I-126,1.0
gamma,I-126,1.0
muminus,Nb-92,1.0
muminus,Ne-23,1.0
muminus,W-187,1.0
muminus,Ta-174,1.0
muminus,Xe-133,1.0
muminus,F-18,1.0
muminus,Ta-182,1.0
muminus,W-185,1.0
n,Mn-54,1.0
n,Co-58,1.0
n,Sb-115,1.0
n,Te-127,1.0
n,I-120,1.0
n,Xe-121,1.0
n,Te-117,1.0
n,Te-119,1.0
n,Xe-133,1.0
n,Cs-127,1.0
n,I-129,1.0
n,W-175,1.0
n,Hf-175,1.0
n,Xe-125,1.0
n,Cs-129,1.0
n,Mn-56,1.0
n,Nb-92,1.0
n,Cu-60,1.0
n,Yb-166,1.0
n,Lu-174,1.0
n,W-179,1.0
p,I-120,1.0
p,I-124,1.0
p,Cs-129,1.0
p,Zr-89,1.0
p,Ta-171,1.0
p,W-171,1.0
p,W-181,1.0
p,W-185,1.0
p,Re-175,1.0
p,Re-176,1.0
p,Re-179,1.0
p,Re-184,1.0
p,Na-24,1.0
p,Mn-54,1.0
p,Cu-64,1.0
p,Te-118,1.0
p,I-123,1.0
p,Cs-131,1.0
p,Te-119,1.0
p,Xe-125,1.0
p,Xe-121,1.0
p,Xe-123,1.0
p,Hf-171,1.0
p,Ta-180,1.0
p,Re-181,1.0
p,F-18,1.0
