volume,raw_value
Prompt511_UpperWShadow_upper_notched,1334.0
CsI_Bottom_Quadrant_03,708.0
CsI_Bottom_Quadrant_00,669.0
CsI_Bottom_Quadrant_02,578.0
CsI_Bottom_Quadrant_01,574.0
CsI_Side_Segment_00,360.0
Prompt511_UpperWShadow_lower_nonport_arc,348.0
CsI_Side_Segment_07,345.0
CsI_Side_Segment_01,323.0
CsI_Side_Segment_06,307.0
CsI_Side_Segment_02,290.0
CsI_Side_Segment_05,264.0
Passive_W_Bottom_Plate_detector_bay,120.0
CsI_Side_Segment_04_below_side_port,105.0
CsI_TopAnnulus_Segment_00,100.0
CsI_Side_Segment_03_below_side_port,92.0
CsI_TopAnnulus_Segment_07,92.0
CsI_TopAnnulus_Segment_06,76.0
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,73.0
CsI_Side_Segment_04_above_side_port,70.0
CsI_TopAnnulus_Segment_05,70.0
CsI_TopAnnulus_Segment_04,67.0
CsI_Side_Segment_03_above_side_port,64.0
ColdPlate_4K,63.0
CsI_Side_Segment_04_side_port_band_00,62.0
CsI_TopAnnulus_Segment_02,61.0
CsI_TopAnnulus_Segment_01,58.0
CsI_TopAnnulus_Segment_03,57.0
Plate_300K_Top_Service_Lid,52.0
CsI_Side_Segment_03_side_port_band_00,48.0
Passive_W_Liner_detector_bay_below_side_port,44.0
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,39.0
Passive_W_Liner_detector_bay_above_side_port,32.0
DR_MXC_Sinter_HEX_AgProxy,27.0
ColdPlate_Still_0p7K,25.0
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,23.0
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,18.0
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,17.0
ColdPlate_CP_100mK_intercept,15.0
Passive_W_Liner_detector_bay_side_port_band_00,15.0
Passive_Cu_Liner_detector_bay_below_side_port,12.0
Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01,10.0
ColdPlate_MXC_50mK_SD_anchor,10.0
Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00,9.0
NbTi_Bundle_4K_60K,8.0
Passive_W_Liner_detector_bay_side_port_band_01,8.0
DR_Still_Pot_Cu,7.0
W_Side_Aperture_Sleeve_collimator_YM_panel,7.0
ColdPlate_60K,6.0
Prompt511_UpperWShadow_port_below,6.0
TES_Pixel_L0,6.0
W_Side_Aperture_Sleeve_collimator_YP_panel,6.0
W_Side_Aperture_Sleeve_collimator_ZP_panel,5.0
NbTi_Bundle_Still_4K,5.0
Prompt511_UpperWShadow_port_above,5.0
Shield_60K_Al_side_window_side_wall_above_side_port,5.0
TES_Pixel_L2,5.0
TES_Pixel_L4,5.0
W_Side_Aperture_Sleeve_collimator_ZM_panel,5.0
Nb_SideEntry_Sample_Can_with_side_aperture_YM_panel,4.0
Passive_Cu_Liner_detector_bay_above_side_port,4.0
PreCool_FlexLink_Cu_remote_interface,4.0
TES_Pixel_L3,4.0
TES_Pixel_L5,4.0
Nb_SideEntry_Sample_Can_with_side_aperture_ZM_panel,4.0
ActiveShield_Al_Backplane_detector_bay_below_side_port,3.0
ActiveShield_Al_Backplane_detector_bay_side_port_band_01,3.0
NbTi_Bundle_bay_to_MXC,3.0
Passive_Cu_Liner_detector_bay_side_port_band_00,3.0
Passive_Cu_Liner_detector_bay_side_port_band_01,3.0
Nb_SideEntry_Sample_Can_with_side_aperture_YP_panel,2.0
ActiveShield_Flex_Kapton_detector_bay_below_side_port,2.0
DR_4K_Condenser_Cu,2.0
TES_Pixel_L1,2.0
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_below_side_port,2.0
ActiveShield_Al_Backplane_detector_bay_side_port_band_00,2.0
DR_Continuous_HEX_CuNi_MXC_to_CP,2.0
DR_MixingChamber_Cu,2.0
ActiveShield_Al_Backplane_detector_bay_above_side_port,1.0
Cu_SubstrateSupport_OpenRing_L5_ZM_panel,1.0
DR_Capillary_CuNi_4K_60K,1.0
NbTi_Bundle_CP_Still,1.0
Shield_4K_Al_side_window_side_wall_side_port_band_01,1.0
Still_Shield_Al_side_window_side_wall_above_side_port,1.0
Cryoperm_Horizontal_Sleeve_1p2mm_ZM_panel,1.0
Cu_SubstrateSupport_OpenRing_L2_YP_panel,1.0
Cu_SubstrateSupport_OpenRing_L4_ZM_panel,1.0
DR_Capillary_CuNi_MXC_CP,1.0
DR_Continuous_HEX_CuNi_CP_to_Still,1.0
DR_Still_PumpLine_SS_to_300K_top,1.0
Shield_4K_Al_side_window_side_wall_below_side_port,1.0
Shield_4K_Al_side_window_side_wall_above_side_port,1.0
