volume,nuclide,particle,raw_value
Prompt511_UpperWShadow_upper_notched,W-183,n,642.0
Prompt511_UpperWShadow_upper_notched,W-187,n,502.0
Prompt511_UpperWShadow_lower_nonport_arc,W-183,n,215.0
Prompt511_UpperWShadow_upper_notched,W-185,n,137.0
Prompt511_UpperWShadow_lower_nonport_arc,W-187,n,83.0
Prompt511_UpperWShadow_lower_nonport_arc,W-185,n,40.0
Prompt511_UpperWShadow_upper_notched,W-183,p,12.0
Prompt511_UpperWShadow_upper_notched,W-181,n,10.0
Prompt511_UpperWShadow_upper_notched,W-180,n,5.0
Prompt511_UpperWShadow_lower_nonport_arc,W-178,n,3.0
Prompt511_UpperWShadow_port_below,W-183,n,3.0
Prompt511_UpperWShadow_upper_notched,W-178,n,3.0
Prompt511_UpperWShadow_upper_notched,W-183,muminus,2.0
Prompt511_UpperWShadow_port_above,W-183,n,2.0
Prompt511_UpperWShadow_upper_notched,Ta-184,n,2.0
Prompt511_UpperWShadow_port_below,W-187,n,2.0
Prompt511_UpperWShadow_upper_notched,Hf-174,n,2.0
Prompt511_UpperWShadow_upper_notched,Re-182,p,2.0
Prompt511_UpperWShadow_lower_nonport_arc,W-187,muminus,1.0
Prompt511_UpperWShadow_lower_nonport_arc,W-185,muminus,1.0
Prompt511_UpperWShadow_lower_nonport_arc,Ta-182,n,1.0
Prompt511_UpperWShadow_lower_nonport_arc,W-180,n,1.0
Prompt511_UpperWShadow_port_above,W-187,n,1.0
Prompt511_UpperWShadow_upper_notched,Hf-175,n,1.0
Prompt511_UpperWShadow_upper_notched,Ta-185,n,1.0
Prompt511_UpperWShadow_lower_nonport_arc,Yb-166,n,1.0
Prompt511_UpperWShadow_lower_nonport_arc,W-174,n,1.0
Prompt511_UpperWShadow_port_above,W-181,n,1.0
Prompt511_UpperWShadow_port_above,W-185,n,1.0
Prompt511_UpperWShadow_port_below,W-185,n,1.0
Prompt511_UpperWShadow_upper_notched,Lu-174,n,1.0
Prompt511_UpperWShadow_upper_notched,W-179,n,1.0
Prompt511_UpperWShadow_upper_notched,Ta-171,p,1.0
Prompt511_UpperWShadow_upper_notched,W-171,p,1.0
Prompt511_UpperWShadow_upper_notched,W-181,p,1.0
Prompt511_UpperWShadow_upper_notched,W-185,p,1.0
Prompt511_UpperWShadow_upper_notched,Re-175,p,1.0
Prompt511_UpperWShadow_upper_notched,Re-176,p,1.0
Prompt511_UpperWShadow_upper_notched,Re-179,p,1.0
Prompt511_UpperWShadow_upper_notched,Re-184,p,1.0
Prompt511_UpperWShadow_lower_nonport_arc,W-183,p,1.0
Prompt511_UpperWShadow_upper_notched,Hf-171,p,1.0
Prompt511_UpperWShadow_upper_notched,Ta-180,p,1.0
Prompt511_UpperWShadow_upper_notched,Re-181,p,1.0
