component,material,change,baseline_mass_kg,candidate_mass_kg_est,delta_kg_est
Outer_Al_Mechanical_Shell_detector_bay,Aluminium,thickened 0.30 -> 0.80 cm radial side wall; caps adjusted,3.7150947907323237,9.906919441952864,6.19182465122054
ActiveShield_Al_Backplane_detector_bay,Aluminium,removed,0.5097183814966909,0.0,-0.5097183814966909
Passive_Cu_Liner_detector_bay,Copper,removed,0.9820598126804904,0.0,-0.9820598126804904
Passive_W_Liner_detector_bay,W,removed,1.8681419579178224,0.0,-1.8681419579178224
Vacuum_Jacket_Al_266mmClass_side_port,Aluminium,side wall 0.40 -> 0.50 cm,5.292726280663645,6.615907850829556,1.3231815701659109
Shield_60K_Al_side_window,Aluminium,side wall 0.15 -> 0.30 cm,1.3684070740690064,2.736814148138013,1.3684070740690064
Shield_4K_Al_side_window,Aluminium,side wall 0.12 -> 0.30 cm,0.732781568290092,1.83195392072523,1.099172352435138
Still_Shield_Al_side_window,Aluminium,side wall 0.10 -> 0.30 cm,0.36878496426033225,1.1063548927809965,0.7375699285206643
Nb_SideEntry_Sample_Can_with_side_aperture,Nb,BRIK panel proxy replaced by 2 mm x-axis open cylinder,0.16908262541027136,0.4989453576327144,0.32986273222244306
Cryoperm/MuMetal magnetic shield,MuMetal,1.2 mm BRIK Cryoperm proxy replaced by 2 mm x-axis MuMetal open cylinder,0.469025473854738,0.5516661832444911,0.08264070938975315
Al_50mK_Local_Can_side_entry / Cu_50mK_Local_Can_Cylinder_2mm,Copper,0.8 mm Al BRIK panel proxy replaced by 2 mm Cu x-axis open cylinder,0.10968516629684871,0.6267019928021287,0.5170168265052799
