case_id,label,family,exposure_s,exposure_Ms,exposure_day,Z_at_reference_flux,flux_3sigma_ph_cm2_s,method,source,native_exposure_s,native_flux_3sigma_ph_cm2_s
DEMO2_W1_mission_axis,DEMO2 legacy W1 mission-axis,DEMO2_legacy_pre_fix,10000.0,0.01,0.11574074074074074,0.058341265866874735,0.005142157879888159,legacy_pre_fix_documented_20d_Z_sqrt_exposure_scaling,core_md/VALIDATION.md step08_significance A_ref_Z20d,,
DEMO2_W1_mission_axis,DEMO2 legacy W1 mission-axis,DEMO2_legacy_pre_fix,100000.0,0.1,1.1574074074074074,0.18449128171676196,0.0016260930988629123,legacy_pre_fix_documented_20d_Z_sqrt_exposure_scaling,core_md/VALIDATION.md step08_significance A_ref_Z20d,,
DEMO2_W1_mission_axis,DEMO2 legacy W1 mission-axis,DEMO2_legacy_pre_fix,1000000.0,1.0,11.574074074074074,0.5834126586687474,0.000514215787988816,legacy_pre_fix_documented_20d_Z_sqrt_exposure_scaling,core_md/VALIDATION.md step08_significance A_ref_Z20d,,
DEMO2_W1_mission_axis,DEMO2 legacy W1 mission-axis,DEMO2_legacy_pre_fix,1728000.0,1.728,20.0,0.7669158563686436,0.000391177203481623,legacy_pre_fix_documented_20d_Z_sqrt_exposure_scaling,core_md/VALIDATION.md step08_significance A_ref_Z20d,,
DEMO2_W2_line,DEMO2 legacy W2 line,DEMO2_legacy_pre_fix,10000.0,0.01,0.11574074074074074,0.20809085409567138,0.0014416779694799691,legacy_pre_fix_documented_20d_Z_sqrt_exposure_scaling,core_md/VALIDATION.md line_window_sensitivity line_pm_3sigma_Z20d_time,,
DEMO2_W2_line,DEMO2 legacy W2 line,DEMO2_legacy_pre_fix,100000.0,0.1,1.1574074074074074,0.6580410591920993,0.0004558986036043417,legacy_pre_fix_documented_20d_Z_sqrt_exposure_scaling,core_md/VALIDATION.md line_window_sensitivity line_pm_3sigma_Z20d_time,,
DEMO2_W2_line,DEMO2 legacy W2 line,DEMO2_legacy_pre_fix,1000000.0,1.0,11.574074074074074,2.0809085409567136,0.0001441677969479969,legacy_pre_fix_documented_20d_Z_sqrt_exposure_scaling,core_md/VALIDATION.md line_window_sensitivity line_pm_3sigma_Z20d_time,,
DEMO2_W2_line,DEMO2 legacy W2 line,DEMO2_legacy_pre_fix,1728000.0,1.728,20.0,2.735425315169172,0.0001096721589642255,legacy_pre_fix_documented_20d_Z_sqrt_exposure_scaling,core_md/VALIDATION.md line_window_sensitivity line_pm_3sigma_Z20d_time,,
DEMO2_W2_spot_r90,DEMO2 legacy W2 spot_r90,DEMO2_legacy_pre_fix,10000.0,0.01,0.11574074074074074,0.34291920381891844,0.0008748416439180167,legacy_pre_fix_documented_20d_Z_sqrt_exposure_scaling,core_md/README.md focused-spot detector-coupled spatial sidecar,,
DEMO2_W2_spot_r90,DEMO2 legacy W2 spot_r90,DEMO2_legacy_pre_fix,100000.0,0.1,1.1574074074074074,1.084405737479293,0.0002766492186746924,legacy_pre_fix_documented_20d_Z_sqrt_exposure_scaling,core_md/README.md focused-spot detector-coupled spatial sidecar,,
DEMO2_W2_spot_r90,DEMO2 legacy W2 spot_r90,DEMO2_legacy_pre_fix,1000000.0,1.0,11.574074074074074,3.4291920381891843,8.748416439180168e-05,legacy_pre_fix_documented_20d_Z_sqrt_exposure_scaling,core_md/README.md focused-spot detector-coupled spatial sidecar,,
DEMO2_W2_spot_r90,DEMO2 legacy W2 spot_r90,DEMO2_legacy_pre_fix,1728000.0,1.728,20.0,4.50779,6.655145869705555e-05,legacy_pre_fix_documented_20d_Z_sqrt_exposure_scaling,core_md/README.md focused-spot detector-coupled spatial sidecar,,
v3p5_broad_480_550,v3p5 broad 480-550,v3p5_centerfinger_fullstat_v2_exactpos,10000.0,0.01,0.11574074074074074,0.4259674249701762,0.0007042792063759437,v3p5_time_dependent_cumulative_interpolation,v3p5 Step08 cumulative_significance_by_case.csv,,
v3p5_broad_480_550,v3p5 broad 480-550,v3p5_centerfinger_fullstat_v2_exactpos,100000.0,0.1,1.1574074074074074,1.4411527125643844,0.00020816669696730516,v3p5_time_dependent_cumulative_interpolation,v3p5 Step08 cumulative_significance_by_case.csv,,
v3p5_broad_480_550,v3p5 broad 480-550,v3p5_centerfinger_fullstat_v2_exactpos,1000000.0,1.0,11.574074074074074,4.255988589421696,7.048891078929421e-05,v3p5_time_dependent_cumulative_interpolation,v3p5 Step08 cumulative_significance_by_case.csv,,
v3p5_broad_480_550,v3p5 broad 480-550,v3p5_centerfinger_fullstat_v2_exactpos,1728000.0,1.728,20.0,5.523824724080572,5.431019537824571e-05,v3p5_time_dependent_cumulative_interpolation,v3p5 Step08 cumulative_significance_by_case.csv,,
v3p5_W2,v3p5 W2,v3p5_centerfinger_fullstat_v2_exactpos,10000.0,0.01,0.11574074074074074,0.47486119353850675,0.0006317635639259136,v3p5_time_dependent_cumulative_interpolation,v3p5 Step08 cumulative_significance_by_case.csv,,
