source_name,flux_Bq
S_CsI_Bottom_Quadrant_02_53128_z000,5.21768167
S_CsI_Bottom_Quadrant_02_53128_z009,10.4353634
S_CsI_Side_Segment_00_53128_z000,5.21768168
S_CsI_Side_Segment_00_53128_z001,5.21768168
S_CsI_Side_Segment_00_53128_z009,5.21768168
S_CsI_Bottom_Quadrant_00_53128_z000,5.21768168
S_CsI_Bottom_Quadrant_00_53128_z009,5.21768168
S_ColdPlate_60K_13028_z005,5.21768168
S_CsI_Side_Segment_01_53128_z005,5.21768168
S_CsI_Side_Segment_05_53128_z005,5.21768168
S_CsI_Side_Segment_06_53128_z005,5.21768168
S_CsI_TopAnnulus_Segment_01_53128_z005,5.21768168
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_13028_z005,5.21768168
S_Passive_W_Liner_detector_bay_above_side_port_74187_z005,5.21753519
S_Passive_W_Bottom_Plate_detector_bay_74185_z005,0.674587408
S_CsI_Bottom_Quadrant_00_55134_z000,0.0714322099
S_CsI_Bottom_Quadrant_00_55134_z009,0.0714322099
S_CsI_Side_Segment_00_55134_z000,0.0714322099
S_CsI_Side_Segment_00_55134_z009,0.0714322099
S_CsI_Bottom_Quadrant_02_55134_z005,0.0714322099
S_CsI_Side_Segment_04_side_port_band_00_55134_z005,0.0714322099
S_CsI_Side_Segment_06_55134_z005,0.0714322099
S_CsI_Side_Segment_07_55134_z005,0.0714322099
S_CsI_TopAnnulus_Segment_01_55134_z005,0.0714322099
