VN,ZA,nuclide,old_source_activity_Bq,new_groundstate_activity_Bq,scale,action,RP_yield,nubase_half_life_s,nubase_why,nubase_line,nubase_raw_value,nubase_raw_unit
CsI_Bottom_Quadrant_03,53128,I-128,8.288844413,8.288844415118415,1.0000000002555742,kept_rescaled,152.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Bottom_Quadrant_00,53128,I-128,7.907121319000001,7.907121317053751,0.9999999997538612,kept_rescaled,145.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Bottom_Quadrant_02,53128,I-128,7.3618025970000005,7.361802605532803,1.0000000011590644,kept_rescaled,135.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Bottom_Quadrant_01,53128,I-128,6.107569569000001,6.107569569034622,1.0000000000056686,kept_rescaled,112.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_00,53128,I-128,4.25273458,4.252734578977516,0.9999999997595701,kept_rescaled,78.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_01,53128,I-128,4.198954079,4.198954078711303,0.9999999999312454,kept_rescaled,77.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_07,53128,I-128,4.143670838,4.143670836673326,0.9999999996798312,kept_rescaled,76.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_06,53128,I-128,3.7081672380000006,3.708167238342449,1.0000000000923497,kept_rescaled,68.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_05,53128,I-128,3.7081672370000005,3.708167238342449,1.0000000003620249,kept_rescaled,68.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_02,53128,I-128,3.0537847860000005,3.053784784517311,0.9999999995144748,kept_rescaled,56.0,1499.3999999999999,nubase_ground,2498,24.99,m
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13028,Al-28,1.5814242640000002,1.5814242634107503,0.9999999996273928,kept_rescaled,29.0,134.70000000000002,nubase_ground,276,2.245,m
CsI_Side_Segment_03_below_side_port,53128,I-128,1.4178286486,1.417828649954466,1.00000000095531,kept_rescaled,26.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_TopAnnulus_Segment_01,53128,I-128,1.3632967752,1.3632967788023709,1.0000000026423967,kept_rescaled,25.0,1499.3999999999999,nubase_ground,2498,24.99,m
Passive_W_Bottom_Plate_detector_bay,74187,W-187,1.3087295826,1.3087281635201575,0.9999989156813895,kept_rescaled,24.0,85712.40000000001,nubase_ground,4206,23.809,h
CsI_TopAnnulus_Segment_07,53128,I-128,1.2542330346000001,1.2542330364981813,1.0000000015134198,kept_rescaled,23.0,1499.3999999999999,nubase_ground,2498,24.99,m
ColdPlate_4K,29064,Cu-64,1.254233033,1.2542330328210152,0.9999999998572954,kept_rescaled,23.0,45721.44,nubase_ground,914,12.7004,h
CsI_Side_Segment_04_below_side_port,53128,I-128,1.1997011644,1.1997011653460865,1.0000000007886019,kept_rescaled,22.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_TopAnnulus_Segment_00,53128,I-128,0.9815736784000001,0.9815736807377071,1.000000002381591,kept_rescaled,18.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_TopAnnulus_Segment_02,53128,I-128,0.9270418076000001,0.9270418095856122,1.0000000021418798,kept_rescaled,17.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_03_above_side_port,53128,I-128,0.8725099368000001,0.8725099384335174,1.0000000018722048,kept_rescaled,16.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_TopAnnulus_Segment_05,53128,I-128,0.8179780668000001,0.8179780672814225,1.0000000005885519,kept_rescaled,15.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_TopAnnulus_Segment_03,53128,I-128,0.8179780656000001,0.8179780672814225,1.0000000020555837,kept_rescaled,15.0,1499.3999999999999,nubase_ground,2498,24.99,m
ColdPlate_Still_0p7K,29064,Cu-64,0.817978065,0.8179780648832707,0.9999999998572954,kept_rescaled,15.0,45721.44,nubase_ground,914,12.7004,h
CsI_Side_Segment_04_side_port_band_00,53128,I-128,0.7634461960000001,0.7634461961293277,1.0000000001693998,kept_rescaled,14.0,1499.3999999999999,nubase_ground,2498,24.99,m
Plate_300K_Top_Service_Lid,13028,Al-28,0.7634461950000001,0.7634461961293277,1.0000000014792498,kept_rescaled,14.0,134.70000000000002,nubase_ground,276,2.245,m
Passive_W_Liner_detector_bay_above_side_port,74187,W-187,0.763425588,0.7634247620534252,0.9999989181046748,kept_rescaled,14.0,85712.40000000001,nubase_ground,4206,23.809,h
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,0.7536783737999999,0.7536783746128699,1.000000001078537,kept_rescaled,14.0,566.1,nubase_ground,263,9.435,m
CsI_TopAnnulus_Segment_06,53128,I-128,0.6543824532000001,0.654382453825138,1.0000000009553098,kept_rescaled,12.0,1499.3999999999999,nubase_ground,2498,24.99,m
ColdPlate_4K,29066,Cu-66,0.6543824530000001,0.654382453825138,1.0000000012609414,kept_rescaled,12.0,307.2,nubase_ground,951,5.120,m
DR_MXC_Sinter_HEX_AgProxy,47110,Ag-110,0.6543824528000001,0.654382453825138,1.000000001566573,kept_rescaled,12.0,24.56,nubase_ground,1954,24.56,s
CsI_TopAnnulus_Segment_04,53128,I-128,0.5998505814,0.5998505826730433,1.0000000021222673,kept_rescaled,11.0,1499.3999999999999,nubase_ground,2498,24.99,m
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13028,Al-28,0.4907868396,0.49078684036885356,1.0000000015665733,kept_rescaled,9.0,134.70000000000002,nubase_ground,276,2.245,m
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13028,Al-28,0.43625496880000003,0.4362549692167587,1.0000000009553098,kept_rescaled,8.0,134.70000000000002,nubase_ground,276,2.245,m
Window,13028,Al-28,0.4362549686,0.4362549692167587,1.0000000014137573,kept_rescaled,8.0,134.70000000000002,nubase_ground,276,2.245,m
ColdPlate_MXC_50mK_SD_anchor,29064,Cu-64,0.436254968,0.4362549679377444,0.9999999998572953,kept_rescaled,8.0,45721.44,nubase_ground,914,12.7004,h
Passive_W_Liner_detector_bay_below_side_port,74187,W-187,0.4362431932000001,0.43624272117338586,0.9999989179736862,kept_rescaled,8.0,85712.40000000001,nubase_ground,4206,23.809,h
CsI_Side_Segment_03_side_port_band_00,53128,I-128,0.3271912268,0.327191226912569,1.0000000003440466,kept_rescaled,6.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_04_above_side_port,53128,I-128,0.3271912268,0.327191226912569,1.0000000003440466,kept_rescaled,6.0,1499.3999999999999,nubase_ground,2498,24.99,m
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,12027,Mg-27,0.3226830019,0.32268300159728086,0.9999999990618684,kept_rescaled,6.0,566.1,nubase_ground,263,9.435,m
DR_MXC_Sinter_HEX_AgProxy,47108,Ag-108,0.272659356,0.2726593557604742,0.9999999991215198,kept_rescaled,5.0,142.92000000000002,nubase_ground,1908,2.382,m
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13028,Al-28,0.2726593556,0.2726593557604742,1.0000000005885519,kept_rescaled,5.0,134.70000000000002,nubase_ground,276,2.245,m
ColdPlate_CP_100mK_intercept,29064,Cu-64,0.272659355,0.27265935496109023,0.9999999998572954,kept_rescaled,5.0,45721.44,nubase_ground,914,12.7004,h
Passive_Cu_Liner_detector_bay_side_port_band_00,29064,Cu-64,0.272659355,0.27265935496109023,0.9999999998572954,kept_rescaled,5.0,45721.44,nubase_ground,914,12.7004,h
Plate_300K_Top_Service_Lid,12027,Mg-27,0.2689025015,0.26890250133106736,0.9999999993717699,kept_rescaled,5.0,566.1,nubase_ground,263,9.435,m
ColdPlate_60K,13028,Al-28,0.2181274848,0.21812748460837936,0.9999999991215199,kept_rescaled,4.0,134.70000000000002,nubase_ground,276,2.245,m
Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01,13028,Al-28,0.2181274844,0.21812748460837936,1.00000000095531,kept_rescaled,4.0,134.70000000000002,nubase_ground,276,2.245,m
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,12027,Mg-27,0.2151220016,0.2151220010648539,0.99999999751236,kept_rescaled,4.0,566.1,nubase_ground,263,9.435,m
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,12027,Mg-27,0.2151220016,0.2151220010648539,0.99999999751236,kept_rescaled,4.0,566.1,nubase_ground,263,9.435,m
Plate_300K_Top_Service_Lid,11025,Na-25,0.2151220012,0.2151220010648539,0.99999999937177,kept_rescaled,4.0,59.1,nubase_ground,238,59.1,s
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11025,Na-25,0.2151220012,0.2151220010648539,0.99999999937177,kept_rescaled,4.0,59.1,nubase_ground,238,59.1,s
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11024,Na-24,0.2151219888,0.21512198885501105,1.0000000002557203,kept_rescaled,4.0,53841.6,nubase_ground,223,14.9560,h
CsI_Bottom_Quadrant_02,55132,Cs-132,0.1742972148,0.17428635884412225,0.9999377158384878,kept_rescaled,4.0,559872.0,nubase_ground,2640,6.480,d
ColdPlate_Still_0p7K,29066,Cu-66,0.1635956136,0.1635956134562845,0.9999999991215199,kept_rescaled,3.0,307.2,nubase_ground,951,5.120,m
